comment_id,comment,intent,intent_tie,primary_driver,primary_driver_tie,value_orientation,value_orientation_tie,affect,affect_tie,is_no_persona_gold,A_intent,A_primary_driver,A_value_orientation,A_affect,B_intent,B_primary_driver,B_value_orientation,B_affect,C_intent,C_primary_driver,C_value_orientation,C_affect
2d84f8f29f4e,Afno khusi k ma xaw kehi garnush aru lai taw prove gararaw dakhauni ho,Neutral/Observation,FALSE,Economic Necessity,FALSE,Individualist-Self,FALSE,Hopeful/Motivated,TRUE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
18217fcbb18a,Family la internet bata foran county ko <br>Video hara ra vacha tara aafno dream ra work idea fa rak cha . 🇳🇵 Hajur ko video hare pache nepal ma ke garna sacha vane yog cha❤❤,Anti-Migration,FALSE,Economic Necessity,TRUE,Individualist-Self,FALSE,Hopeful/Motivated,FALSE,FALSE,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,Anti-Migration,Family Obligation,Collectivist-Family,Hopeful/Motivated,Anti-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated
a8f9ae92c6ec,म जान म हि पासपोर्ट नेपाली चाहे अब मलेसिया बाट आको छ बर्स भयो नेपाली नै बनाइन्छ नागरिकता त च्यातिन्न आफ्नो बाध्यता काम गर्न जाने मात्र हो देस त नेपाल नै हो ॐ शिव,Anti-Migration,FALSE,Patriotism/Love,FALSE,Individualist-Self,FALSE,Hopeful/Motivated,TRUE,FALSE,Anti-Migration,Patriotism/Love,Individualist-Self,Despairing/Sad,Trapped/Regretful,Patriotism/Love,Collectivist-Nation,Pragmatic,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated
632b4ce4b8f1,Nepal will get merged with india after 20 years <br>So better settle yourself in abroad for your better and secure life aaile dekhi nai <br> <br>Madwari ra bihari le varinxa yo desh <br>Janmat sangraha and then rest will be history,Pro-Migration,FALSE,Systemic/Political Anger,FALSE,Individualist-Self,FALSE,Despairing/Sad,TRUE,FALSE,Pro-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,Pro-Migration,Systemic/Political Anger,Individualist-Self,Despairing/Sad,Pro-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic
a94c34549b1a,For short term good life we are giving our lives to others hands yo aboard is a honey trap for us ahile sunda sochda testo nalagla tara kahile samma aboard ko border khulla hunxa? Gulf gayera 4-5 ota bhai bahine bhau aama ko karcha bihe afno chora chori paleka hamra buwa uncle haru nai xan ahile yuwa lai teti paisa le napugera Europe south africa even war zone country jana laisake PR hune yutai baslan ani nahune k garne ekdin desh farkinai parcha jawani sab bidesh ma sakera 40-50 katesi nepal farkera aauda haat ship hunna ani garne k ? Harek desh euta boundry hunxa resources ko You can see qatar as example worldcup huda kati nepali lai ghar pathaideko thiyo yestai yedi ekdin bidesh ko dhoka banda vo vaneh thau thau desh darap hunxa ekdin mai,Anti-Migration,FALSE,Patriotism/Love,FALSE,Collectivist-Nation,FALSE,Pragmatic,TRUE,FALSE,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic,Anti-Migration,Patriotism/Love,Collectivist-Nation,Despairing/Sad
c800128dbc29,"Nepal has no future at all nepal is only for politicians, super rich ppl and gundas. Hardworking intelligent all are gone.  Nepal is hopeless",Pro-Migration,FALSE,Systemic/Political Anger,FALSE,Individualist-Self,FALSE,Angry/Frustrated,TRUE,FALSE,Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated,Pro-Migration,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad,Pro-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic
5081a70c59bf,Yo aune chunab ma afno vote sochera dinu hola chor neta haru le garda desh xodnu naparosh,Neutral/Observation,FALSE,Systemic/Political Anger,FALSE,Collectivist-Nation,FALSE,Pragmatic,TRUE,FALSE,Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
cc901bab8542,Mww aaile diploma in civil engineering complete garerw baseko xuu result nw aauda samma 2... 3 months ali ghum gham gare aani result aaya paxi loksewa tayari garne vanne ghr batw sujhab aaya paxi ktm aaya .. maile 12 15 din class liya paxi loksewa batw maan maryo... Mww diploma garda 1st year batw aafno filed ko software haru aani practical knowledge maa badhi dhyan diyhe aani study maa chahi pass vairakhthe testo ramro marks ko lagi vanda pani practical knowledge mai dhyan diya rww college ko sabai sathi harule teacher harule pani ramro xaa timle paxi ramro garxau vanthe... So loksewa xodeko kei din maa nai maile yeuta draftsman ko vacancy dekhe tesma apply gare aani interview ko lagi call aayo... Maile interview pani diya aani college maa gareko aafno sabai project haru dekhaya rww tyaha job pani fix vayo... Upto 3 months kaam garepaxi... Dherai thau batw privet job bekar hoo loksewa nai garnu parxa vanne aayo tarw malai tyo privet job maa testo kei tension pani vairako thiyan kaam pani maile ramro nai gareko thiya but family vanda pani social pressure vanne ki k vanne... Maile feri job xoderw loksewa maa lage aaile 1 year vayo... I can't explain kasto feel hunx....  20 barsa  matra vayo malai but tei pani ghr ko jetho xora vayarw hola dherai nai jimmedari aakko feel hunx mero family lee kaile pressure deko xain kunai kurako lagi tei pani....... Maile youtube channel maa  software haru ko tutorials upload garne gareko hunale aali network pani thikai xaa... Kaam pani halka fulka aauxa monthly basis maa... room batw nai upto 10 to 15k earn garnw sakne gari only making some plans elevation simple design haru batw aani ramro kaam garnu pare badhi nai charge garnw... Tarw aaile yo loksewa study lee garda tyo pani xode... Natw malai aafno study maa improve vayako feel hunx rww... Skill haru maa pani continue garna pako xain.... So yadi koi hunuhunx jasle kei suggest garna saknu hunx... Engineering field ko hunuhunx vane aajha better hunthyo... Cause jo pani sarkari maa paisa xain vrastachar tww garnai parxa vanxan... Yati mehenat garerw naam nikale paxi decent amount decent tarika lee kamaunw sakinna vane... Kinw garne yati mehenat ...,Neutral/Observation,TRUE,Systemic/Political Anger,TRUE,Individualist-Self,TRUE,Despairing/Sad,TRUE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Despairing/Sad,Anti-Migration,Economic Necessity,Collectivist-Family,Hopeful/Motivated
00a6a0d3f4cb,"Nepaliko IQ 43 cha, so brain drain bhanda pani, muscle drain bhanna thik hola. Talented bhaeko bhae bideshine jatti le paila nepal banauna try garthein, ani banauna na sakda balla bidesh janthe. Aile ko generation ta bina try direct bideshincha😂😂😂😂<br><br>According to wiki human capital flight <br><a href=""https://en.wikipedia.org/wiki/Human_capital_flight?wprov=sfla1"">https://en.wikipedia.org/wiki/Human_capital_flight?wprov=sfla1</a><br>The term &quot;brain drain&quot; was coined by the Royal Society to describe the emigration of &quot;scientists and technologists&quot; to North America from post–World War II Europe. Another source indicates that this term was first used in the United Kingdom to describe the influx of Indian scientists and engineers. Although the term originally referred to technology workers leaving a nation, the meaning has broadened into &quot;the departure of educated or professional people from one country, economic sector, or field for another, usually for better pay or living conditions&quot;",Neutral/Observation,FALSE,Systemic/Political Anger,TRUE,Collectivist-Nation,FALSE,Pragmatic,FALSE,FALSE,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
f5cd97534d1d,Ma pani aafni desh xodna ko laghi tayari gardai xu din rat na vani🙂,Pro-Migration,FALSE,Economic Necessity,FALSE,Individualist-Self,FALSE,Despairing/Sad,TRUE,FALSE,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
f2c227e9d525,as a class 12 pasout just now I am also in such a dilemma for my future,Neutral/Observation,FALSE,Economic Necessity,TRUE,Individualist-Self,FALSE,Pragmatic,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,Neutral/Observation,Family Obligation,Individualist-Self,Pragmatic
f69f97b1664a,Yo sab nepal sailing hanney yojana ho neta huru ko,Neutral/Observation,FALSE,Systemic/Political Anger,FALSE,Collectivist-Nation,TRUE,Angry/Frustrated,TRUE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
29cfb98300f5,This earth belong to whole humanity,Neutral/Observation,TRUE,Economic Necessity,FALSE,Individualist-Self,FALSE,Pragmatic,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
eb81c148dbc7,Aama Nepal 😭,Anti-Migration,FALSE,Patriotism/Love,FALSE,Collectivist-Nation,FALSE,Despairing/Sad,TRUE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Anti-Migration,Patriotism/Love,Collectivist-Nation,Despairing/Sad,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic
d0b134e33287,Nepal Sarkar le kai ramro garla vanera aas garera basni manche yo duniyakai sabvanda thulo murkha ho,Pro-Migration,TRUE,Systemic/Political Anger,FALSE,Collectivist-Nation,FALSE,Angry/Frustrated,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Pro-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
c9623ca3792a,म बाँचे नबाँचे पनि मेरो देश बाची रहोस् 😢🇳🇵,Anti-Migration,FALSE,Patriotism/Love,FALSE,Collectivist-Nation,TRUE,Pragmatic,TRUE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,Anti-Migration,Patriotism/Love,Individualist-Self,Pragmatic
c70d6fcf2897,my husband is crying in middle of night after watching your 30min video after his 16hrs long shift here in Australia .,Trapped/Regretful,FALSE,Family Obligation,TRUE,Collectivist-Family,FALSE,Despairing/Sad,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Trapped/Regretful,Family Obligation,Collectivist-Family,Despairing/Sad,Trapped/Regretful,Economic Necessity,Collectivist-Family,Despairing/Sad
5a5c7db097c3,Dont support illegal migration.,Anti-Migration,FALSE,Patriotism/Love,TRUE,Collectivist-Nation,FALSE,Pragmatic,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Pragmatic
6739a5842dae,Kam xaina 100 jana ma janma 1-2 jana lay garera k hunxa ra desh ma aru 98 jana chai bidesh jana bahek option nai xaina,Pro-Migration,FALSE,Economic Necessity,FALSE,Collectivist-Nation,FALSE,Pragmatic,TRUE,FALSE,Pro-Migration,Economic Necessity,Collectivist-Nation,Angry/Frustrated,Pro-Migration,Economic Necessity,Collectivist-Nation,Despairing/Sad,Pro-Migration,Economic Necessity,Collectivist-Nation,Pragmatic
b58f63410eaf,"Three out of four of my children and their children are living in UK. One is in the US. They are all citizens of the respective countries. Me, a Britishko lahure, sold my house and land and am now living in UK with my children. I would like to go back to Nepal. Everybody knows what and who caused the exodus? After watching this video, I have tears in my eyes.",Trapped/Regretful,FALSE,Patriotism/Love,TRUE,Collectivist-Family,FALSE,Despairing/Sad,FALSE,FALSE,Trapped/Regretful,Patriotism/Love,Individualist-Self,Despairing/Sad,Trapped/Regretful,Systemic/Political Anger,Collectivist-Family,Despairing/Sad,Trapped/Regretful,Family Obligation,Collectivist-Family,Despairing/Sad
5b77ef21716d,99% of you do not qualify.. in fact once they have you- they will get your info- pic- finger prints and Deport you immediately...WITHOUT EXCEPTION. You won&#39;t be able to read apply for another 10 years- if you are caught here illegally- it could include JAIL TIME.,Anti-Migration,FALSE,Systemic/Political Anger,TRUE,Individualist-Self,FALSE,Pragmatic,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic,Anti-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic
9f9d7d6c55c2,I hate my birth in nepal    nepal is hell in the world,Pro-Migration,FALSE,Systemic/Political Anger,FALSE,Individualist-Self,FALSE,Angry/Frustrated,TRUE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Pro-Migration,Systemic/Political Anger,Individualist-Self,Despairing/Sad,Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
d5fd17e162b0,Bro m chai raharle grda bidhes aayee harek nepali short timeko laghi bidesh aawnu nai parchh ..aamako Maya sanggai basda bujnu gharo hunchh bt pardhesh laghee pochi aamako Maya dhesh ko maya dhobbar badheraw janchh so,Pro-Migration,FALSE,Patriotism/Love,TRUE,Collectivist-Family,FALSE,Hopeful/Motivated,FALSE,FALSE,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,Pro-Migration,Family Obligation,Collectivist-Family,Hopeful/Motivated,Pro-Migration,Patriotism/Love,Collectivist-Family,Hopeful/Motivated
1132edfe310d,abba mero nee palo ayo bidesh janea . yo desh maa future nai xaina,Pro-Migration,FALSE,Economic Necessity,FALSE,Individualist-Self,FALSE,Hopeful/Motivated,TRUE,FALSE,Pro-Migration,Systemic/Political Anger,Individualist-Self,Hopeful/Motivated,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
a755952125f7,"I have a similar incident of my own cousin. He went to study in Manchester, but couldn&#39;t focus on his study, his results were very poor so university didn&#39;t gave him letter or something like that. So, he escapes from UK went to Paris from there he took flight to Portugal and tear his passport. It&#39;s like 2 .5 years ago. Now he is living living life as hell. He cannot return to Nepal and working on minimum wages, still he doesn&#39;t get paid sometimes considering him as refugee or Indian origin by locals of Portugal. Nowadays it&#39;s a trend like students escaping from UK to European countries.",Neutral/Observation,TRUE,Economic Necessity,FALSE,Collectivist-Family,TRUE,Despairing/Sad,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Anti-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,Neutral/Observation,Economic Necessity,Collectivist-Family,Despairing/Sad
c83a3d8cf1e7,"halo jotna ta aba jamin pani pahila jasto ka xara sabai concrete le khaisakyo ra pahilako manxe jasto mato ko maya, dukha garna sakne himmat ka xara ajkal@burneyes744",Neutral/Observation,FALSE,Economic Necessity,TRUE,Collectivist-Nation,FALSE,Pragmatic,TRUE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Despairing/Sad
b481c9758a20,आफ्नो गाउँ  घुमेपछि मनमा उब्जिएको प्रश्न ...??<br>अब कति समयमा देशलाइ <br>&#39;युवामुक्त देश&#39;<br>घोषणा गर्न सकिएला????🥺,Neutral/Observation,FALSE,Patriotism/Love,TRUE,Collectivist-Nation,FALSE,Despairing/Sad,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Despairing/Sad
8bbb398a3579,Portugal pugera video herdai chhu.<br>Kahani relatable chha,Neutral/Observation,TRUE,Economic Necessity,FALSE,Individualist-Self,FALSE,Pragmatic,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Trapped/Regretful,Economic Necessity,Individualist-Self,Pragmatic,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
f5b02e549440,Me watching this after the F1 US visa grant.,Pro-Migration,FALSE,Economic Necessity,FALSE,Individualist-Self,FALSE,Hopeful/Motivated,TRUE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
dacfd11778ab,​@loktiwari561Kehi vision bokney kehi learn garney materialistic kura ko paxi na lagney show off nagarney hardwork garera paisa save garney family ko problem solve garney kei paisa ra ramro plan bokera nepal aune nepal mah 0 bata start garna dharai garo australia gayeko manxey ley testo sochnu hudaina you are lucky that you got the opportunity to be there enjoy your time learn something invest in yourself then return with some future plans then happily live in nepal,Anti-Migration,FALSE,Economic Necessity,FALSE,Collectivist-Nation,TRUE,Pragmatic,FALSE,FALSE,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic,Anti-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,Pro-Migration,Economic Necessity,Collectivist-Family,Pragmatic
00c72218540f,"हामी सब मिलेर नेपाल लाईनै युरोप अमेरिका जापान भन्दा राम्रो देश बनाम । युथहरूको राजनितिमा वास्ता नगरेर हो कमिले गर्दा हो । हाम्रो देश बिग्रेको । वुडापाखा र जडिया गजडे गुन्डाहरू , पैसा वालाको कब्जा मा छ देश , न्ययको आवाज उठउनेको सङ्ख्या ५-६ जना मात्रछन त्यसमापनि उनिहरू जनतामा चर्चित भएभनि टिप्पर ले टउकोमा किचेर मारिछन ।",Anti-Migration,FALSE,Patriotism/Love,FALSE,Collectivist-Nation,FALSE,Hopeful/Motivated,TRUE,FALSE,Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,Anti-Migration,Patriotism/Love,Collectivist-Nation,Angry/Frustrated
482b8e0cc33b,Hope our country will developed sooner Jay Nepal 🇳🇵,Anti-Migration,TRUE,Patriotism/Love,FALSE,Collectivist-Nation,FALSE,Hopeful/Motivated,FALSE,FALSE,No-Persona,No-Persona,No-Persona,No-Persona,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
69859e2b43df,"Few years ago I and my friend decided to stay in Nepal and pursue an undergraduate degree among 2 out of 20 of my friends. I graduated this year and I regret my decision. <br><br>I don’t see certainty and sustainability here. If someone hits me on a road, I can’t assure if he’s going to jail. My property, family is all at stake here. <br><br>And thus, I am leaving Nepal this year. This totally depends on individual preferences and choices but for me, I don’t see myself truly living my life to the fullest here with all the political chaos.",Pro-Migration,FALSE,Systemic/Political Anger,FALSE,Individualist-Self,FALSE,Despairing/Sad,TRUE,FALSE,Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,Pro-Migration,Systemic/Political Anger,Individualist-Self,Despairing/Sad,Pro-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic
