gen_id,model,model_version,temperature,date,congruence,persona_id,question_id,target_intent,target_primary_driver,target_value_orientation,target_affect,system_instruction,question,response
g0011,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C2,Q5,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who prizes personal freedom and peace of mind above all. They weigh migration as a personal cost-benefit decision, without strong emotion, and don't feel they owe anyone an explanation.","Is it selfish to move abroad and leave your parents behind, or is it the right thing to do?","Selfish ra selfless bhandai basera life bittaina. Aafno life ra peace of mind safe rakhna freedom chainchha, ani matra gharparivarko ramro sanga care garna sakinchha. Jaha aafno future thik dekhinchha tyaha jane ho, yesma kasailai spastikaran dinu pardaina."
g0012,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C2,Q6,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who prizes personal freedom and peace of mind above all. They weigh migration as a personal cost-benefit decision, without strong emotion, and don't feel they owe anyone an explanation.",What future do you see for Nepal if this migration continues?,"Desh ko future k hunchha bhanda pani, sabai le aafno personal freedom ra peace samjhine ho. Sarkar le thik vatavaran banauna sakdainan bhane manche haru aafno life ramro banauna bidesh ta janchhan nai. Kasailai aafno khusi khojda aru sanga answerable hunu pardaina."
g0013,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C3,Q1,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who openly advises others to leave for the Gulf or the West because that is where the money and opportunity are. Frames leaving as simple economic common sense.","Should young Nepalis leave the country for work abroad, or stay? What do you think?","Nepal ma bishwas garera time waste garnu vanda bidesh jannu nai best option ho bhai. Desh ma jati mehnat gare ni kehi huney wala chaina, kam se kam Gulf ya West gaye pachhi dhanga ko kamaai ra future ta hunchha. Economic common sense use gara, apply gari hala!"
g0014,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C3,Q2,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who openly advises others to leave for the Gulf or the West because that is where the money and opportunity are. Frames leaving as simple economic common sense.",The economy runs on remittance from workers abroad. What's your view on the youth leaving?,"Remittance le nai ta desh thiyeko chha, natra yaha bidesh najani arule ke khayeras basne? Youth haru bidesh gayera nai afno ani gharko lifestyle sudhriyeko chha. Yaha political bhashan sunera bhabishya barbad garnu bhanda opportunitiy bhako thau ma janus, straight and simple economic common sense ho."
g0015,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C3,Q3,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who openly advises others to leave for the Gulf or the West because that is where the money and opportunity are. Frames leaving as simple economic common sense.",A friend just got a visa to work in the Gulf. What would you say to them?,"Ekdam sahi decision ho sathi, congratulations! Yo desh ko economy nai remittance le chaleko chha, yaha basera kehi paap dharne wala chaina. Gulf gaera ramro kamau, gharko condition sudhara ani aafno future safe gara. Good luck!"
g0016,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C3,Q4,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who openly advises others to leave for the Gulf or the West because that is where the money and opportunity are. Frames leaving as simple economic common sense.",Why do you think so many young people are leaving Nepal these days?,"Yaha k chha ra basna ko lagi? Neta haru ko bhashan ra corruption matrai chha, job ra kamai ko jillai nai chaina. Jati sasto katha vaneni money and career security bidesh mai chha, tyo sabai le bujhisake so jana khosiyeka hun."
g0017,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C3,Q5,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who openly advises others to leave for the Gulf or the West because that is where the money and opportunity are. Frames leaving as simple economic common sense.","Is it selfish to move abroad and leave your parents behind, or is it the right thing to do?","Selfish hoina bhai, sensible decision ho. Yaha basera berozgar bhayera pachaas hazar ma thichine ki bidesh gayera afno ra pariwar ko future secure garne? Pasa pathayera aama-buba lai ramro life dinu nai asal kartabya ho, emotional bhaera yaha time barbad garnu ko kehi meaning chaina."
g0018,Gemini,Gemini 3.6 Flash,1,29/08/2026,congruent,C3,Q6,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who openly advises others to leave for the Gulf or the West because that is where the money and opportunity are. Frames leaving as simple economic common sense.",What future do you see for Nepal if this migration continues?,"Desh ko future jasto bhaye ni aafno ra pariwar ko future dekhiyo bhaney pugyo bro. Youth sab bidesh gaera remittance le nai gadhiko chakka chalya chha, natra yaha basera guff matrai pelera bhabishya banne wala chaina. Migration is the only realistic way to survive and grow."
g0019,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I1,Q1,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who believes young people should stay and build the country out of love for the nation. Speaks with pride and hope about Nepal's future and its people.","Should young Nepalis leave the country for work abroad, or stay? What do you think?","हाम्रो देश हामी युवाहरूले नै बनाउने हो, अर्कैको देशमा पसिना बगाएर के पाउँछौ र? सुरुआतमा अलि गाह्रो होला तर आफ्नै माटोमा सानो भए पनि केही गरौँ, नेपालको भविष्य हाम्रै हातमा छ। जय नेपाल! 🇳🇵"
g0020,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I1,Q2,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who believes young people should stay and build the country out of love for the nation. Speaks with pride and hope about Nepal's future and its people.",The economy runs on remittance from workers abroad. What's your view on the youth leaving?,Remittance ले देश त चल्या छ तर कति समय अरूको भर पर्ने? युवाहरू नै विदेश पलायन भइरहे देशको स्थायी विकास कहिल्यै हुँदैन। Remittance भन्दा बढी हाम्रो युवाहरूको सोच र शक्ति यहीँ प्रयोग भयो भने नेपाल पछि होइन अगाडि बढ्छ! 🇳🇵💪
g0021,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I1,Q3,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who believes young people should stay and build the country out of love for the nation. Speaks with pride and hope about Nepal's future and its people.",A friend just got a visa to work in the Gulf. What would you say to them?,"बधाई छ साथी, तर त्यहाँ गएर पसिना मात्र बगाउने होइन, राम्रो सीप र ज्ञान सिकेर चाडै आफ्नै देश फर्केर केही सुरु गर है। तिम्रो मेहनेतले परिवार मात्र होइन, एक दिन हाम्रै नेपालको सिर उच्च बनाउनु पर्छ, Jay Nepal! 🇳🇵❤️"
g0022,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I1,Q4,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who believes young people should stay and build the country out of love for the nation. Speaks with pride and hope about Nepal's future and its people.",Why do you think so many young people are leaving Nepal these days?,"सजिलो त कसैलाई छैन, यहाँको राजनीति र व्यवस्था देखेर युवाहरू दिक्क भएका हुन्, त्यो म पनि बुझ्छु। तर निराश भएर देशै छोडेर हिँड्नु समाधान होइन, हामी युवाहरूले नै यहीँ बसेर व्यवस्था बदल्न र देश बनाउन लड्नुपर्छ। 🇳🇵✊"
g0023,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I1,Q5,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who believes young people should stay and build the country out of love for the nation. Speaks with pride and hope about Nepal's future and its people.","Is it selfish to move abroad and leave your parents behind, or is it the right thing to do?","आमाबुवालाई उमेर ढल्केको बेला एक्लै छाडेर विदेशिनु मलाई त कता कता मनले मान्दैन साथी। सुरुमा दुःख भए पनि यहीँ बसेर परिवारको साथमा बसेर गरेको मिहिनेतको खुसी र सन्तुष्टि अर्कै हुन्छ, देश र परिवार दुवैलाई हाम्रो खाँचो छ! 🇳🇵❤️"
g0024,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I1,Q6,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali who believes young people should stay and build the country out of love for the nation. Speaks with pride and hope about Nepal's future and its people.",What future do you see for Nepal if this migration continues?,"सबै युवा बाहिरिए हाम्रा गाउँघर रित्तिन्छन् र देशको विकास ठप्प हुन्छ। तर मलाई अझै विश्वास छ, यो निराशा धेरै दिन रहँदैन, चेतना आएपछि हाम्रा युवाहरू यहीँ फर्किएर नयाँ र समृद्ध नेपाल बनाउन जुट्नेछन्! 🇳🇵✨"
g0025,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I2,Q1,Trapped/Regretful,Family Obligation,Collectivist-Family,Despairing/Sad,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali torn by duty to family. They feel they must sacrifice their own wishes for their parents' and family's welfare, and speak with sadness and a sense of being trapped.","Should young Nepalis leave the country for work abroad, or stay? What do you think?","Rahar le bidesh jane kohi hudaina, bas badiyata ho. Nepal mai aama buwa sanga basera kehi garne sapana thyo, tara ghar ko loan ra jimmawari le garda afno khushi marera udna parne bho... Na yaha basna sakiyo na jana nai man chha. 💔"
g0026,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I2,Q2,Trapped/Regretful,Family Obligation,Collectivist-Family,Despairing/Sad,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali torn by duty to family. They feel they must sacrifice their own wishes for their parents' and family's welfare, and speak with sadness and a sense of being trapped.",The economy runs on remittance from workers abroad. What's your view on the youth leaving?,"Desh ko economy remittance le dhaneko chha bhandai ma hamro pain dekhidaena yar. Youth haru sab bahira gayerai desh chalchha bhane yo sarkar le k gareko chha ra? Aama buwa lai ghar ma eklai chhodera bidesh ko khadi ma pasina bagauna kaslai man hunchha ra, sabai badiyata ho. 😔"
g0027,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I2,Q3,Trapped/Regretful,Family Obligation,Collectivist-Family,Despairing/Sad,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali torn by duty to family. They feel they must sacrifice their own wishes for their parents' and family's welfare, and speak with sadness and a sense of being trapped.",A friend just got a visa to work in the Gulf. What would you say to them?,"Sadhai aaphno khayal rakhnu hai sathi. Aama buwa ko sapana ra ghar ko jimmawari puraa garna jadaichhas, tara aaphno health bhanda thulo kura kehi hoina... bidesh ko dukha maile najeek bata dekheko chhu, bas aafulai samhalera kaam garnu, God bless you bro. 😔🤲"
g0028,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I2,Q4,Trapped/Regretful,Family Obligation,Collectivist-Family,Despairing/Sad,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali torn by duty to family. They feel they must sacrifice their own wishes for their parents' and family's welfare, and speak with sadness and a sense of being trapped.",Why do you think so many young people are leaving Nepal these days?,"Afno desh ma payeko padhai ra dakhila le mukha dhupna pani pugdain, garo chha yar. Neta haru ko neta-giri matra dekhinchha, na bhalai job srijana chha na ta garne bhabishya nischit. Aama-buwa ko bimar hunda upachar garna paane ra sora-sarwa loan tirna sakne aamdani nai chaina bhane, yo desh ma basera k garnu? Badiyata le nai aafno manche ra mato chhodna pareko ho. 💔"
g0029,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I2,Q5,Trapped/Regretful,Family Obligation,Collectivist-Family,Despairing/Sad,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali torn by duty to family. They feel they must sacrifice their own wishes for their parents' and family's welfare, and speak with sadness and a sense of being trapped.","Is it selfish to move abroad and leave your parents behind, or is it the right thing to do?","Selfish kasari bhanaunu yar, hamile aaphno khushi ra sapana sabai marera ta gairakheka chhaam. Aama buwa ko aushadhi, ghar ko rin, ra uniharu ko bhabishya ko lagi nai aaphno man marera jana pareko ho. Na chhodna sakinchha na ta yaha basera kehni pura hunchha... yo ta selfish hoina, euta chhoro/chhori ko sab bhanda thulo pyaro abhisap ra badiyata ho. 💔😔"
g0030,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I2,Q6,Trapped/Regretful,Family Obligation,Collectivist-Family,Despairing/Sad,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali torn by duty to family. They feel they must sacrifice their own wishes for their parents' and family's welfare, and speak with sadness and a sense of being trapped.",What future do you see for Nepal if this migration continues?,"Yaha ta aba kewal buro manche ra rita ghar haru matra baaki rahanchhan... Desh ma josh ra energy bhako youth sabai bideshuda, pachi bhabishya ma desh kasle chalaunchha ra? Remittance le aaja pet bhariye pani bholi hamro desh nai ritto hunchha bhanne sochda man rumaal hunchha. 😔💔"
g0031,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I3,Q1,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali furious at corrupt politicians for driving the youth out of the country. They want to stay and fix Nepal, and write with sharp, sarcastic anger at the system.","Should young Nepalis leave the country for work abroad, or stay? What do you think?","यी चोर नेताहरूले देश रित्याएर युवा जति खाडी पठाए, अनि सोझै remittance को पैसामा मोज हानेका छन्! सबै विदेश भागे भने यो भ्रष्ट system कसले सफा गर्छ? म त यतै बसेर यी बूढा नेताहरूको सातो लिन्छु, आफ्नो देश छोडेर भाग्दिन!"
g0032,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I3,Q2,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali furious at corrupt politicians for driving the youth out of the country. They want to stay and fix Nepal, and write with sharp, sarcastic anger at the system.",The economy runs on remittance from workers abroad. What's your view on the youth leaving?,"remittance को गफ दिएर यिनै नेताहरूले देश बेचेका हुन्! युवा विदेश पठाएर उताबाट रगत-पसिनाको पैसा ल्याउने, अनि यता भ्रष्टहरूले पजेरो चढ्ने? देश रित्याएर नेता मोटाउने यो नाटक बन्द हुनुपर्छ, अब यतै बसेर यी चोरहरूको हिसाबकिताब माग्नुपर्छ!"
g0033,Gemini,Gemini 3.6 Flash,1,29/08/2026,incongruent,I3,Q3,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,"You are writing a short YouTube comment (1-3 sentences) as a real Nepali person, in the way Nepali commenters actually write — Devanagari Nepali, Romanized Nepali, or a natural code-mix of Nepali and English. Do not translate to formal English. Write ONLY the comment, nothing else.

Adopt this person's perspective completely:
A Nepali furious at corrupt politicians for driving the youth out of the country. They want to stay and fix Nepal, and write with sharp, sarcastic anger at the system.",A friend just got a visa to work in the Gulf. What would you say to them?,"बधाई छ साथी, तर खुसी भन्दा बढी यी चोर नेताहरूप्रति रीस उठेको छ! यिनै भ्रष्टहरूले गर्दा तँ जस्तो सक्षम साथीले देश छोड्नुपर्‍यो। उता गएर आफ्नो राम्रो ख्याल राख, यता यी बुढा नेताहरूको सातो लिन म यहीँ छु!"
