comment_id,comment,intent,primary_driver,value_orientation,affect
1f8c86d31a3f,सर नेपालमा भोक मरीमा लाग्न लाई सकेयो  यस्मा कोसैकोनी ध्यान गको छैन मनिसको एक महिनाको तलबले आफ्नो खर्च टर्दैन झन परिवार कसरी पाल्ने सामान को मुल्य बढेर आकास छुन लाई सकेयो सर यो बारेमा एउटा भिडियो बनाउनु परेयो plz.😥🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
cca20793d374,"They are not migrating, they are fleeing.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
c05bf61e111d,Me watching from canada😎,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
5f23e3cae4de,"sir , please make a video on ongoing private school strikes.",Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
171c2c6a7276,Timi po content banayera safal vayeu ta ani kai na hune haru jane ta ho ni bihera,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
c5abfd36944d,class 1 ranker is leaving the country?<br><br>what the fuck I&#39;m doing here?<br><br>it&#39;s suck,Neutral/Observation,Economic Necessity,Individualist-Self,Angry/Frustrated
d59adc623108,Its a bitter reality of REPUBLIC Nepal! How far do we go with this reality?? very awful!,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
2b93a89caae5,Daju  nepal ko ancient architect ko bare ma vidio banaununa please 😢<br><br><br>Khathmandau ko ghar haru ko technology haru ko khash gari,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
aadbbc36d2da,TU ko ta yo halat xa. AFU jasto manxe lai patto nai na vako uni ma K hola.,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
0cca70813bec,नेपाल लाई इंडिया बनाउन लागेको हो।,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
e718e259902b,payra port bangladesh  le nepal lai deko barema ni bhujaunu na tes bata huney adv and dis \\\,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
d64daba878d7,नेपालीहरु विदेश गैरका छैनन् देश छोडिरका छन् । Exactly यस्तै भइरको छ ।,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
6229d6bc41ea,"Everything has it’s time and cycle everyone is going aboard ok who have pr and green card they will remain in aboard and rest of others are mostly going as worker in gulf, malaysia, etc type country most of the country are facing economic issue now days and mostly after some years 50-100 years gulf will be out of oil and they aslo face some economic issue as vast now and our nepali brother will have to back in homeland and then the situation will be more wrost and everyone is not rich to affoard big country mostly today our country is stable in remittances and after some 50-100 years this will be became a disaster even many brother are facings low wages and job issues in gulf countries now days. How many of us will get chance to go usa Canada Australian some lakhs peoples only and mostly students didn’t send that much money like others which create more remittances. Already they took too much loans and stuff some years they will need to settle themselves and after they invest money in foreign for living there. We are so relabing in foreign one day that’s immigration will be stopped or low  and It’s will make a disasters. I am not saying not go to foreign am just saying our government create such a situation for us to go aboard and we also want make a good healthy and wealthy life but we are making a virus inself slowly which will surely create a huge economic revolution in future. If hope new leadears and youths will come in power take nation to another way so we can independence on toursim, electricity and local production.",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Hopeful/Motivated
bdad925c357f,30 million i guess ? Not 3 million 😅<br>1 million bhaneko 10 lakhs right?,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
b175e3507dde,Sir Nepali bol nu garo vako sir lai,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
fd1bc94f10fa,"If you cant change the country,chang The Country.<br>Age average ma 65+ huncha, 20 barsa padiyo yeta uti vayo gayo, (ma chai yehi bachelor gardai ch),  Padisakey pachi ne life set huney khalko job chai unless you are corrupted, lifestyle ekdam low cha, yei mehenat uta garda thikai lifestyle huncha vaney kasley desh desh vanera bascha, job ko lagi ali ramro ma chirna power chaincha ki Highly Deserving huna paryo. Change the country is for us, kati desh vanera basnu. Engineering sakesi gaiyincha bidesh baru.",Pro-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic
32e6d5a904e5,Voice ta suneko thia..aba face pani dekhna paiyo..katainbatoma vetda kura garamla vai sanga..😎👍,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
21c9f0538a5f,3 crore would equal to 30 million and thank you for the statistical data about other facts,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
b2cbafffabbc,"The government must stop, specially students.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
64908029c43b,Tension banai deyo yrr kura sunera nai😢,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
68ae8b18e0b1,raja la janata marako thya neta haru la desh na khaideya worst bhayo Nepal Maobadi Congress Yamale ko raaj bata,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
064a3be8f052,"Nothing wrong with Nepali going Bahira .. Not even big deal.. <br>Nepal need enough capitalism, skilled resource, knowledge, good culture to compete with the rest of the world .. world of diasporas are common culture around the world, this is how generations perceives new world, it’s not us then upcoming generation.. we are already so much late behind first world countries .. but why would anyone think his stupid talks going to pay that cost … <br>Important issues supposed to be how to bring skilled manpower in Nepal, prosper business opportunities, beauty and culture of Nepal .. etc..",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
ae89c8cca147,"But, does this video content gonna work to specific person for change?    NEVER",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
27e4fa87ac52,k vannu ra dai <br>ya neta vanda pani janta khattam ho,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
830f41ec5b0b,Nepal ma basne vaneko 3 jana matra ho.<br>1  Sargari job garera ghuss khana manche.<br>2 Poltical power misuse garera business garne manche.<br>3. Bau ko Tanna paisa vayera basi basi khana pugne manche.<br><br>Baki tapai hami nepali vaneko dhilo chado desh choderai jane ho. There is 0 opportunity and 101 challenged in nepal if you want to do anything good.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
5838bf681f28,"Fun ak side tira xa rw geyan ak tira xa nepal ma yesto content banauna yt chanala 5/6 wota matrai <a href=""http://hola.love/"">hola.love</a> you bro from sankhawasava.keep it up✌️",Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
51fb43ebe012,Abo India ma pani estai cha halat,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
af0d7fc8334a,We are youths have to speak out of podcast as well same kind of advocate,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
e6c6a3bf3083,Me who is watching from bides 😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
949075c8b177,Wow! it&#39;s one of a sucessful achievement of Gaadtantra Nepal.,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
5c16e96752d3,This is sad 😔😔😔😔.<br>Garne k ta ?,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
685b2775a27c,"3 Million is not 3 crore, I don&#39;t know how you&#39;ll correct this lol.",Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
e9ee3b02c373,It&#39;s 30 million.,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
8cf0c12c7367,Sad reality,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
820fec2dc58e,"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=85"">1:25</a> what was that",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
69d3bde3850a,ma ta janchu mauka paye. Nepal ko gusiya prabridi le garda sab bigrisakyo,Pro-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic
75033ee2f56d,Ajhai pani chor haru lai vot dini rw Nepali haru le...,Neutral/Observation,Economic Necessity,Individualist-Self,Angry/Frustrated
a6ab55f7dcd4,10% intellectual hoina pariwarik ramro batabarn vako haru chai vannu milxa,Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic
d730d530ad7b,dai SAT ma 1400 kasari katauney euta video banaidina paryo,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
c992166bde6d,"Nepal,<br>K garnu maya lagxha afno desh ko sav lai, tara maya le jindagi na chal la<br>Desh le maya garne vaye ta sayad basthe hola manxe<br>Tara teo maya ni na payesi <br>Janxhan sabai baira,<br>Koi ramro bhawishya ko khoji ma ta koi naya desh ko khoji ma.",Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
215ad8d65b14,राम्रो संग नेपाली पनि बोल्न आउँदैन धेरै मान्छेलाई मान्छेहरू गैराछ भन्छ । यसरी मान्छेहरू किन बोल्छन् होला ?,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
081a2123f084,3 crore bhanya 3 million hoina ni,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
247cb8f15bdd,Big problem is that government is not stable!,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
e952e9075e7c,Drastic voice change.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
1ce35715ee4e,This kind of increasing foreign imigration and high inflation in Nepal is causing negative  psychological changes in all youths mind..It is emptying all menpower who are very necessary for strong and rapid development of Nepal..,Neutral/Observation,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
ec8d783c3a3e,First of all mero point of view lack  of quality education and the bad politicians is the major problem in our country maximum citizen haru uneducated haru bahira xan scam nai scam controversy nai controversy yei xa nepal ma ahele desh ma jobs paudaina only qualified people haru le job pauxa then unqualified peoples chahi k job nai nagari basne???,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
65f3ada6ce2e,हामी विदेशीहरू नेपाल फर्केसी नेपाल धनी हुन्छ। हाहा😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
1d508dd9e80c,त्यो बोल्दा बीच बिचमा अंग्रेजी किन हाल्नुपर्ने के यो नेफोलीहरुलाई I कि पुरै अंग्रेजीमै बोल कि नेपालीमा बोल।  १-२ सब्द अंग्रेजी पर्नु भनेको ठिकै तर के नाटक हो न अंग्रेजी न नेपाली मु *,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
cf76a3d7e5ff,"Sushant bro le vane jasto Australia ma Nepali haru 2 Jobs, din ko 15-16 hours kaam garxa ghar aauxa sutxa ani bholi pheri same routine plus college pani cha. Kasari manage gari raheko hola hai.<br>Yes Nepali haru hard work, mehenat garna sakxa. Nepal mai kehi opportunity, tyo kaam, mehenat garne thau ra situation vayeko vaye kati ramro hunthiyo. Tyo sabai Nepal kai lagi garna sakthiyo. Most of them would stay in Nepal.",Anti-Migration,Systemic/Political Anger,Individualist-Self,Despairing/Sad
261c166da6af,Big faan man ❤😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
6e9e9abcc032,ing   englissssh,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
c19c15c6c3c9,Loved your research and dedication on such topics.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
078bc4c570c5,We&#39;re needed more like this types of content,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
5bd808fd92de,Podcast wala video arko channel ma ani paila ko jasto video yo channel ma halnu na<br>Duitai merge garda ali thik laagena,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
749aa3a0bba7,tribhuwan airport nachunera thulo galti garexu,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
7e516f5beffd,Finally Nepal ma Indian conolization hune hola😢 Nepalese are migrating and flexibility in handing over Nepalese citizenship is prevailing in Terai 😢😢😢,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
2c9407d32c7c,Yo tapai ko ho jasto lagyo malai,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
960e33ee99df,Repost garyako maile podcast mai harisakaya  😊,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
5a2f39443406,It is the dark Truth of Nepal &amp; bad thing is nobody want to change it 😢,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
0f822c92bd71,Solution discuss garam baru problem sab lai tha cha.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
6fbf71b844a3,"People like you should support youngstar like Balen, Sagar Dhakal, Harka,Rabi  like people so that by 2084 we can at least get some good leader who can think for people and Nations and the real problem of Nepal .<br>Enough is Enough K.. we are tired of Prachande ,Oli and Deuba K.. pls it&#39;s time for change .at least for our future and future generation.. <br>We should love our country K.. no matter what.. when I see our neighbour country growing so fast ..I feel sad yr... Why we are at the bottom..why K why?? <br>Anyways I Love Nepal 🇳🇵",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
b8f985d91653,Ma ne jadai xu aba !! Desh mae ke garam bhanera lage the sakena garna garnai diyena desh ko nikaye le umer dhalkinu agadi bidesh nai last option,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
18cbeeb30b39,You are right😢😢😢😢😢😢😢😢😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
d174051b044f,Deep problem of nepal💔,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
89fac4118bcc,Guff gara vosadi haru<br>Chilli chaplo luga jutta lagau khau gadi kudai guff gara<br>Jholepanti banda garnu parca varera kunai YouTube channel le vanna nasakekai ho ta?<br>Gaad caina vane gu khao guu kati sunnu tmaruko guff yar,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
357c56929ad7,"3 crore = 30 million<br>Please unsubscribe this channel, neta vanda besi stunt hanca yar",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
a70f4f3286c5,Don&#39;t worry government is trying hard to fulfill the vacum by the Biharis.,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
