Author,Text,Published At,Likes,Type,Parent ID,script,language,emoji_count,word_count,source
@burneyes744,K Halo jotnu basnu Ani paisa Pani hudaina family kasari palxau😂,2024-03-24T08:16:09Z,0,Reply,UgzhZOyjX2RoYBOnRuB4AaABAg,roman_nepali,nepali,1,11,youtube
@kritika0li742,"halo jotna ta aba jamin pani pahila jasto ka xara sabai concrete le khaisakyo ra pahilako manxe jasto mato ko maya, dukha garna sakne himmat ka xara ajkal@burneyes744",2024-03-27T11:02:27Z,0,Reply,UgzhZOyjX2RoYBOnRuB4AaABAg,roman_nepali,nepali,0,28,youtube
@badalkshetri3123,Bhai na aau gara deshmai aafnai desh ramro chha yeha paisa chha khusi self respect ani aafno manchhe jo huda timi harna ni tayar chhau koi ni hunna 😌,2024-03-31T08:12:04Z,2,Reply,UgzhZOyjX2RoYBOnRuB4AaABAg,roman_nepali,nepali,1,28,youtube
@premthakuri2049,नेपालमै गएर केही गर्छु भन्दा भन्दै UAE 🇦🇪 मा १४ बर्ष भएको म एउटा गतिलो उदाहरण,2024-03-20T16:54:31Z,183,Comment,,code_mixed,nepali_english,2,15,youtube
@sumitshrestha7116,Estai xa đại Nepal,2024-03-20T18:44:10Z,1,Reply,UgwO9AArL_zZFogFHNV4AaABAg,roman_nepali,nepali,0,4,youtube
@rakeshkhattri4758,Same here,2024-03-20T21:49:31Z,1,Reply,UgwO9AArL_zZFogFHNV4AaABAg,latin,english,0,2,youtube
@anamak2000,नेपाल मा केहि छैन । लुटन र ठग्न सक्नुहुन्छ भनेमात्र एता आउनु ठिक हो ।,2024-03-21T00:31:53Z,7,Reply,UgwO9AArL_zZFogFHNV4AaABAg,devanagari,nepali,0,15,youtube
@Carfreak0,khatrrai paisa pathaunu bhayo hola nepal ma tesobhaye?,2024-03-21T05:52:07Z,1,Reply,UgwO9AArL_zZFogFHNV4AaABAg,roman_nepali,nepali,0,8,youtube
@roshanmahato6079,In the era of leaving the nation we are here to rebuild it<br><br>We are not alone let's believe in it and  work for it ✊,2024-03-23T13:50:44Z,176,Comment,,latin,english,1,26,youtube
@akshaythapa1575,"Everyone want to see nepal in the name of developed country but due to political unstable, corruption unemployment etc. no one want to stay in Nepal. Everyone need to feed stomach . Only national love isn't enough to feed hunger, i am also facing frustrating and anxiety about my future ❤ desh ko maya tw dherai xa ke garnu",2024-03-25T14:43:56Z,4,Reply,UgxnH-xbvnta8rtstel4AaABAg,roman_nepali,nepali,1,58,youtube
@Elitemotivation-o2w,@roshanmahato6079 comment chai bahira desh basera ho 😂,2024-03-29T09:20:54Z,0,Reply,UgxnH-xbvnta8rtstel4AaABAg,roman_nepali,nepali,1,6,youtube
@roshanmahato6079,@Elitemotivation-o2w  aaile samma Testo din aako xaina,2024-03-29T10:17:54Z,3,Reply,UgxnH-xbvnta8rtstel4AaABAg,latin,english,0,7,youtube
@nepalcricketanalysis626,Bhai u Will also come foreign don't worry,2024-04-09T13:50:39Z,2,Reply,UgxnH-xbvnta8rtstel4AaABAg,roman_nepali,nepali,0,9,youtube
@BlgPEAnuT,"Vanna sajilo xa bro , desh chalai nai veda garu le xan, nepal ko top university tu ko halat testo xa opportunities kei xaina desh ma, unemployment matra , yessari hunxa hola desh developed 300 barsa samma",2024-04-27T09:49:51Z,2,Reply,UgxnH-xbvnta8rtstel4AaABAg,roman_nepali,nepali,0,35,youtube
@Chasme_Dai,अब नेपालमा परिवर्तन को खाँचो छ<br>हामीलाई यी पुराना नेता मन्त्री हैन देश को लागि केही गर्ने एउटा leader चायको छ,2024-03-20T17:07:36Z,176,Comment,,code_mixed,nepali_english,0,21,youtube
@chroniclesCubing_01,One and only Balen can change the situation if we all citizens think and care about our country.,2024-03-20T20:03:54Z,6,Reply,UgxPXtKj2vAWdeNtAlB4AaABAg,latin,english,0,18,youtube
@Ram-f9u3e,पहिला त हामी जनता को चेतना स्तर बृद्धि गर्न आवश्यक छ।।,2024-03-21T06:00:56Z,6,Reply,UgxPXtKj2vAWdeNtAlB4AaABAg,devanagari,nepali,0,11,youtube
@chotatech9719,Jun sarkar le Nepal ma change layaune try garne ho tyo sarkar fix dhalne ho kinaki nepali haru    actual ma change chahadainan. Jo change laune try garxa tesko birudha nepali Janta andolan garxan,2024-03-21T15:09:43Z,0,Reply,UgxPXtKj2vAWdeNtAlB4AaABAg,roman_nepali,nepali,0,33,youtube
@EthackCreation,"khacho xa, chaiyeko xa, garnu parxa. Tara garne kasle. Nepal thau ramro tara manxe alxi ho. Pahila nai british haru le kabja garera taha lagako bhayo kei hunthiyo hola. Aba ta garo xa.",2024-03-22T12:49:58Z,0,Reply,UgxPXtKj2vAWdeNtAlB4AaABAg,roman_nepali,nepali,0,33,youtube
@portgastube6159,Nepali sab veda haru hun pache aaba chunab ma taha huncha nepali lai k chaicha vaanara,2024-03-23T02:10:37Z,0,Reply,UgxPXtKj2vAWdeNtAlB4AaABAg,roman_nepali,nepali,0,16,youtube
@ayush5946,आँखा मा आसुनै आयो तपाईंको भिडियो हेरेर यति राम्रो भिडियो बनाउनु भएकोमा धनयवाद।❤️,2024-03-21T01:59:27Z,155,Comment,,devanagari,nepali,1,13,youtube
@rakshyamagar3899,my husband is crying in middle of night after watching your 30min video after his 16hrs long shift here in Australia .,2024-03-29T13:24:57Z,147,Comment,,latin,english,0,21,youtube
@loktiwari561,I’m in canada I feel like I am a modern slave <br>We are here by design,2024-06-04T23:34:50Z,16,Reply,Ugzt7KmoMXJN7CdFW4l4AaABAg,latin,english,0,17,youtube
@gorakhsyak,exactly i feel the same from sydney,2024-06-24T05:17:42Z,5,Reply,Ugzt7KmoMXJN7CdFW4l4AaABAg,latin,english,0,7,youtube
@dipudeuba3287,​@loktiwari561Kehi vision bokney kehi learn garney materialistic kura ko paxi na lagney show off nagarney hardwork garera paisa save garney family ko problem solve garney kei paisa ra ramro plan bokera nepal aune nepal mah 0 bata start garna dharai garo australia gayeko manxey ley testo sochnu hudaina you are lucky that you got the opportunity to be there enjoy your time learn something invest in yourself then return with some future plans then happily live in nepal,2024-07-27T17:52:57Z,0,Reply,Ugzt7KmoMXJN7CdFW4l4AaABAg,roman_nepali,nepali,0,77,youtube
@dipudeuba3287,Kehi vision bokney kehi learn garney materialistic kura ko paxi na lagney show off nagarney hardwork garera paisa save garney family ko problem solve garney kei paisa ra ramro plan bokera nepal aune nepal mah 0 bata start garna dharai garo australia gayeko manxey ley testo sochnu hudaina you are lucky that you got the opportunity to be there enjoy your time learn something invest in yourself then return with some future plans then happily live in nepal,2024-07-27T17:53:22Z,10,Reply,Ugzt7KmoMXJN7CdFW4l4AaABAg,roman_nepali,nepali,0,78,youtube
@joraS_Mhrjn,Sad to know 😢,2026-02-23T20:08:27Z,0,Reply,Ugzt7KmoMXJN7CdFW4l4AaABAg,latin,english,1,3,youtube
@Ashishchy-op7hj,म आफै बिदेश छु तर यसरी देश बाट बाहिर जानेको संख्या सुन्दा सारै मन दुख छ।😢,2024-03-20T22:15:34Z,147,Comment,,devanagari,nepali,1,16,youtube
@sarojgurung4521,विदेशमा काम गर्दागर्दै कति छिटो १६ बर्ष पनि गएछ! हेर्दाहेर्दै उमेरले ४० पुग्न लाग्याछु। जिन्दगी तोर्र्ल्याङ्ग !,2024-03-20T18:12:43Z,114,Comment,,devanagari,nepali,0,16,youtube
@pramod4296,Kati kamayo ta 16 Barssa ma 🤔,2024-06-19T14:48:26Z,2,Reply,UgyOeroCFpieMnLxSyF4AaABAg,roman_nepali,nepali,1,6,youtube
@techaxisacademy,"The choice between staying in Nepal or seeking opportunities abroad is complex, with valid arguments on both sides. It's a decision many of us can relate to, and it's important to weigh the pros and cons carefully before making such a significant life choice.",2024-03-20T16:45:14Z,99,Comment,,latin,english,0,46,youtube
@blackdanger7872,So true!!,2024-03-20T16:57:39Z,0,Reply,UgwVwa1_2Dl-BQz2whx4AaABAg,latin,english,0,2,youtube
@vermabhaijaan5607,Foreign is better,2024-03-20T17:06:07Z,1,Reply,UgwVwa1_2Dl-BQz2whx4AaABAg,latin,english,0,3,youtube
@precious-x4k3u,@vermabhaijaan5607why indians are here💀,2024-03-20T17:42:11Z,4,Reply,UgwVwa1_2Dl-BQz2whx4AaABAg,latin,english,1,3,youtube
@pirate3t508,@vermabhaijaan5607 pyaro dhoti afno desh hera hamro haina,2024-03-20T18:35:20Z,0,Reply,UgwVwa1_2Dl-BQz2whx4AaABAg,roman_nepali,nepali,0,7,youtube
@DeebasVlog,कसैले त आशा देखाउछ र त नेपाल फर्केर केही गर्ने आशा अझै मरेको छैन❤,2024-03-20T21:04:35Z,88,Comment,,devanagari,nepali,1,14,youtube
@sanjushahi9890,Kasaile aasha dekhauxa Matlab ?,2024-03-24T06:32:54Z,0,Reply,UgyAThJog7etumuu0B54AaABAg,latin,english,0,4,youtube
@DeebasVlog,@sanjushahi9890 din rat bigreko maatra news matra sunnu parxa positive news le kei hope jagauxa bidesh baseko 7 barsa bhayo nepal ma jhole nabane samma kei garna sakinna yo video herda kei positive paye tei ho,2024-03-24T08:13:21Z,0,Reply,UgyAThJog7etumuu0B54AaABAg,roman_nepali,nepali,0,35,youtube
@aakashbhusal5484,"समस्या सङ्ग भाग्ने हैन , डटेर लड्ने हाे । जय नेपाल 🇳🇵🎯<br> भबिस्य देशमै छ , एशियामा नै छ",2024-03-21T03:14:31Z,79,Comment,,devanagari,nepali,3,16,youtube
@bishnukarki6737,Market ma job nai xoina k loksewa ko from varey raw Basne 😢,2024-03-22T15:57:22Z,2,Reply,UgxVjNPBziHGzHGcPd54AaABAg,roman_nepali,nepali,1,12,youtube
@portgastube6159,Kera cha vawaisa des ma,2024-03-23T02:08:06Z,3,Reply,UgxVjNPBziHGzHGcPd54AaABAg,roman_nepali,nepali,0,5,youtube
@gopal908,"😂😂 this patroitism wont last my mate, wait till you see the real side of it. You'll get your reality check in mid 30's",2024-03-23T02:56:09Z,1,Reply,UgxVjNPBziHGzHGcPd54AaABAg,latin,english,2,25,youtube
@whistleblower7718,"Politicians Haru lai hereko cha , Tini Haru le Garda desh kasto banayeko cha.",2024-03-23T03:01:10Z,0,Reply,UgxVjNPBziHGzHGcPd54AaABAg,roman_nepali,nepali,0,13,youtube
@AshishPandey-om7nx,Napis 😂😂😂 विदेश बाट cmnt हान्दै basxhas 😂,2024-03-23T04:56:57Z,0,Reply,UgxVjNPBziHGzHGcPd54AaABAg,code_mixed,nepali_english,4,6,youtube
@TheMindsetNepal,अब पालो क्रान्ती को हो नेपालमै बसुम येहि केहि गर्न सकिन्छ युवाहरु🔥 Jay Desh Jay Nepal🇳🇵,2024-03-21T00:52:18Z,77,Comment,,code_mixed,nepali_english,3,16,youtube
@binaypoudel4015,गर्नु के ?????,2024-03-21T09:05:52Z,1,Reply,UgzA0o_BwxCaii2M0F94AaABAg,devanagari,nepali,0,2,youtube
@Zocee,प्रचण्ड शेरे केपी जस्ता राडाबानहरु हुदा सम्म केही हुने वाला छैन,2024-03-21T10:07:05Z,3,Reply,UgzA0o_BwxCaii2M0F94AaABAg,devanagari,nepali,0,11,youtube
@bishnukarki6737,Maeley Diploma in civil engineering Garey .<br>Maeley Afno field  job garna khojey kae job payena . <br>Aeley ma language seke Ra xu .,2024-03-22T15:55:19Z,0,Reply,UgzA0o_BwxCaii2M0F94AaABAg,latin,english,0,21,youtube
@realukjourney,Sakne le bidesh jane ho,2024-03-23T23:08:00Z,0,Reply,UgzA0o_BwxCaii2M0F94AaABAg,roman_nepali,nepali,0,5,youtube
@everestgamer9162,"Apply गरेको छ महिना भइसक्यो यो बीचमा धेरै पैसा खर्च भइसक्यो। पहिले आफूलाई नचिन्नाले बिदेस मात्र भविष्य हो भनी apply gariyo अब देश छोड्ने कुरा सोच्दा आँखा बाट आँसु बग्छ । सायद यस्तै दोधारे स्थितीमा बाँच्नु लाई नै जीवन भनिँदो रैछ। तर अब विदेश मा पढाइ सकेर देश फर्की देशलाई बनाउने आफै सँग कसम खाएको छू। मेरो देश लाई सुन्दर ,समृद्ध र शान्तिपूर्ण बनाउन अवस्य देश फर्किने छु। 🇳🇵💓",2024-03-21T17:57:15Z,57,Comment,,code_mixed,nepali_english,3,68,youtube
@Donlee845,Bro timle man jiteu yaar ❤❤,2024-06-24T22:05:54Z,0,Reply,UgxCbz93cRRl2V8VjLN4AaABAg,latin,english,2,5,youtube
@fexz.com23,don't worry bro take it easy ❤,2024-11-05T09:11:58Z,1,Reply,UgxCbz93cRRl2V8VjLN4AaABAg,latin,english,1,7,youtube
@erioxff785,"I am from a middle-class family. my father earns 25k to 30k per month, and my mom is a housewife. For my better future, my dad is sending me to college, whose monthly fee is 10k per month. My 12th grade is going to finish in 1.5 months. What should I do now? Stay in this country for the next 4 years? What after 4 years? If I were successful in the field I am in, I would earn a maximum of 50k to 2 lakh per month, which has very little chance. Is that sufficient? Okay, my dream is to get a car and buy a house. A house costs around 2.5 cr to 3 cr, which may take around 20 to 25 years for me to buy the house I want, and a car costs 20 to 30 lakhs, which may take 2 to 3 years for me. To complete my dream, it may take 25+ years. I am 18 years old, and at that age, I may be 40 to 45+ years. Will I be happy? Will my parents still be there to see the success they have been waiting for? I am scared of my life in this country.<br>My neighbor's son went to Dubai to work as a staff for 13 years and now has been promoted to manager and earns more than 10 lakhs. He built a beautiful home and owns a car. His parents have gold necklaces, bracelets, and rings. He is 31 years old, I guess, and has a good life. <br>Seeing all this, will I still like to live in this country? Of course not! Yes, I love my country, but can't forget the sacrifices my parents have done for me so far.",2024-03-22T04:58:37Z,55,Comment,,latin,english,0,297,youtube
@rakshyapokharel516,You are right bro...emotional kura garera zindagi chaldaina...voli parents birami huda old agema medical treatment garauda ni hospital bills tirna ko lagi paisa chahinxa philosophical kurale zindagi chaldaina sadhai,2024-03-23T12:32:14Z,8,Reply,Ugzgkayvq_R_Kk9NvwZ4AaABAg,latin,english,0,31,youtube
@eleven-b5f,Recent situations of country try to say that you should leave the country.....,2024-03-24T04:21:51Z,0,Reply,Ugzgkayvq_R_Kk9NvwZ4AaABAg,latin,english,0,13,youtube
@saraswotitamang7077,Maile ni 18 barsa dekhi kaam garey Nepal ma 8 barsa ani bidesh aaye vai...k garnu 8 barsa ma nakamako paisa 1 barsa nahudae kamainxa...,2024-03-25T10:01:05Z,1,Reply,Ugzgkayvq_R_Kk9NvwZ4AaABAg,roman_nepali,nepali,0,26,youtube
@Asim_Silwal,Go to India<br>Lots of opportunities,2024-03-25T11:36:28Z,1,Reply,Ugzgkayvq_R_Kk9NvwZ4AaABAg,latin,english,0,6,youtube
@chad6769-o,It's completely your choice brother and we respect that. Tara Nepal Mai tyo 10 lakhs vanda badi kamaune ra tyo Vanda ramro lifestyle vayeko manxe haruko example Pani xa. Beauty lies in the eye of the beholder. Timle opportunity dekhdainau vandaima Yaha opportunity navayeko chai pakkai haina. All the best for your future.🎉,2024-03-27T00:25:50Z,1,Reply,Ugzgkayvq_R_Kk9NvwZ4AaABAg,roman_nepali,nepali,1,54,youtube
@welcomepanda3135,"Inspiring video to them who are here, we will do here no matter what",2024-03-20T16:44:29Z,51,Comment,,latin,english,0,14,youtube
@je.buddhawaiba2504,26:45...<br>Simple life....<br>सामाजिक सम्मान....<br>खानलाई पुगोस्<br>लाउनलाई पुगोस्<br>समस्या पर्दा समाधान गर्न सकुँ ।....<br>बस यति चाहन्छु।,2024-03-22T08:23:33Z,48,Comment,,code_mixed,nepali_english,0,19,youtube
@anilmahara235,म पनी,2024-03-26T10:34:33Z,1,Reply,UgxRJHkfsusRfxJC6QV4AaABAg,devanagari,nepali,0,2,youtube
@bibekyadav5059,Ani buwa aama le rin liyera padhayeko ko rin kasari tirxn t  sab ko family ek jasto hudaina,2024-03-27T16:51:04Z,1,Reply,UgxRJHkfsusRfxJC6QV4AaABAg,roman_nepali,nepali,0,18,youtube
@parvatbhusal,Yo ta sabai ko chahana nai hunchha tara baddo umer ra baddo jimmebari le afno lagi bhanda ni aru ko lagi bachne garaidinchha sir,2024-03-28T11:31:05Z,0,Reply,UgxRJHkfsusRfxJC6QV4AaABAg,roman_nepali,nepali,0,24,youtube
@Elitesguild_,"Google a term ""Hierarchy of needs""",2024-04-04T14:00:14Z,0,Reply,UgxRJHkfsusRfxJC6QV4AaABAg,latin,english,0,6,youtube
@indiaserver5647,"24:34 <br><br>""""""बाबु, अब तिम्रो साथी त हामीलाई<br>एक्लै छाडेर जाने भयो। यो गएसी हाम्रो छोरा भन्नु नै तिमी नै हौ, यसो कहिले के उ नाहुँदा पनि आउँदै गर्नु है। """"""<br>This line hits ❤",2024-03-24T08:19:51Z,44,Comment,,code_mixed,nepali_english,1,33,youtube
@NimusEnvision,"Currently, I am government job holder whereas most of my friends are in US, Australia and other European countries. They are earning a lot of money in comparison to me. Truely speaking, I havent take any money from our service taker. But the vision of our people towards government job holder is really negative which constantly motive me to resign from the job 😢<br>This video is encouraging me to stay here and serve nation and seek future , no matter what!!! Thank you so much !!",2024-03-23T10:00:12Z,44,Comment,,latin,english,1,84,youtube
@lmzvlogs,same here sir👏,2024-08-12T14:33:24Z,0,Reply,UgwiSkX8HYtGmy-wYQJ4AaABAg,latin,english,1,3,youtube
@avilasha9292,Same here sir! Australia apply garau ki bhanne soch thiyo!🥲,2024-10-25T12:47:09Z,0,Reply,UgwiSkX8HYtGmy-wYQJ4AaABAg,roman_nepali,nepali,1,10,youtube
@riteshdhungel9932,"As someone who stayed abroad for almost a decade and currently in Nepal, my view points on why Youths are leaving (and will continue to leave):<br>1) Pressure from family and society. Aruko chora chori le esto garyo testo kinyo etc. People here feel discouraged.<br>2) To much talk only about politics jata gaye pani. Blaming Netas for everything while not realizing how corrupt we have become. Corruption in rampant in this country. <br>3) Blame game, j ni arulai dos layo. <br>4) Country cant just survive on IT sector ko ali ali jobs, we need to create niche exports for long-term to create jobs outside IT.  <br>5) People need to stop being individualistic and work for greater good. <br><br>6) Solid Development roadmaps.<br><br>I am still bullish on Nepal and will continue to work here till its possible to sustain livelihood.",2024-03-21T02:13:22Z,44,Comment,,roman_nepali,nepali,0,141,youtube
@chandratamang2487,1 no chahi ekdam malai ni relatable bhayo hau nepal mai basera khi garchu government job nai garchu bhanda pani kahilay selection huncha tyati kamai ley k huncha bhanera dimag kharab gardinu huncha relative family neighbor ley😢,2024-03-21T04:22:15Z,5,Reply,UgwSEEK80CtA6YcXQH14AaABAg,roman_nepali,nepali,1,37,youtube
@portgastube6159,Bahera bata paisa kamayara aaune ane nepal aayara thulo kura garne,2024-03-23T02:09:13Z,1,Reply,UgwSEEK80CtA6YcXQH14AaABAg,latin,english,0,11,youtube
@rakshyapokharel516,​@chandratamang2487 gharbata bidesh gainas vanera lyang lyang garxan yaar.,2024-03-23T12:05:30Z,1,Reply,UgwSEEK80CtA6YcXQH14AaABAg,latin,english,0,8,youtube
@XYZ0733,​@chandratamang2487 Same malae pani,2024-03-24T12:59:06Z,0,Reply,UgwSEEK80CtA6YcXQH14AaABAg,roman_nepali,nepali,0,3,youtube
@nishantsah2416,1 no. Line relates to me 😢also,2024-03-28T04:41:55Z,0,Reply,UgwSEEK80CtA6YcXQH14AaABAg,latin,english,1,7,youtube
@RajivKumar-dp8ff,"After finishing my MBA, I find myself in Kathmandu, preparing for the IELTS to pursue my dreams of following in my uncle's footsteps to the USA. However, my deep love for my country keeps pulling me back, making it difficult to leave. I'm torn between my aspirations and my affection for home, unsure how long I can resist the urge to stay.😭😭",2024-03-21T02:38:44Z,41,Comment,,latin,english,2,64,youtube
@manishlekhak6779,"Same here, just graduated in civil engineering, and looking for assistantship of USA. Moreover, I couldn't get something worthy on freelancing for us.😭",2024-03-23T08:14:28Z,3,Reply,Ugx7T0P7cocRSGlcPet4AaABAg,latin,english,1,24,youtube
@rakshyapokharel516,Bro I am also an MBA graduate but there's lack of good opportunities for us here.,2024-03-23T12:09:18Z,1,Reply,Ugx7T0P7cocRSGlcPet4AaABAg,latin,english,0,17,youtube
@DilipLimbu-vo7gn,Same here bro<br>.. Freelancing,2024-03-27T14:13:15Z,1,Reply,Ugx7T0P7cocRSGlcPet4AaABAg,latin,english,0,4,youtube
@hemant07,"i am crying right now ,<br>mero sathiharu and relatives almost sabai bidesh gayeka xan ,malai pani bidesh jau bhanera dherai choti bhaniyo but i am stydying Bsc CSIT in nepal right now and i want a better nepal by investing myself in my own country ,<br><br>dhanyabadd dai yo video le yedi yeuta matra 12th pass gareko student lai nepal mai basna prerit garxa bhane pani Nepal lai faida hune xa",2024-03-21T02:58:57Z,32,Comment,,roman_nepali,nepali,0,70,youtube
@rajuguragain2626,Afno khusi k ma xaw kehi garnush aru lai taw prove gararaw dakhauni ho,2024-03-22T06:14:08Z,1,Reply,UgzWpWwO5b-mDwtCbZJ4AaABAg,roman_nepali,nepali,0,14,youtube
@_PraTha9,Only channel who deserves millions of views and subscribers ❤<br>म अहिले civil engineering दोस्रो वर्ष अध्यन गर्दै छु। मेरो पहिले बाट नै आफ्नो देश मा केहि गर्छु भन्न्यो धारणा थ्यो र हुने पनि छ।यो विडियो हेर्दा झन् म भित्र बाटै यही केही गर्नेछु भन्ने भावना पलायो।,2024-03-21T10:20:20Z,32,Comment,,code_mixed,nepali_english,1,46,youtube
@Vexy007,15k salary 😂😂,2024-03-26T04:02:16Z,0,Reply,UgzdmSwQCHwTaOHOT554AaABAg,latin,english,2,2,youtube
