comment,intent,primary_driver,value_orientation,affect
"Hamro desh ko halat ramro vako vaya yesto hudaina thiyo, desh bechi sako neta haru la",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
But now Croatia is also schengen,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Kehi dikkat huna,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Rahar le gako ho bro tya <br>Bhadyata t khadi ho,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
You are the best😊,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Thank god there are some channels who raise the issues that no body talks about <br>Jay Nepal,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated
"Wow how beautifully you presented this issue 💖<br>You didn&#39;t even ask for Like,  comment,  share blahh blahh, <br>Truly appreciable 🍀🍀",Neutral/Observation,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
Rather than giving 40-50 lakhs to agents to travel illegally it is easier to study engineering or nursing and migrate to australia.,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
what if there&#39;s a movie on this journey? 🙂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Illegal stuffs lai promo grnu hunna hai,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Truth is hard 😢 please don’t travel illegally ❤,Anti-Migration,Economic Necessity,Collectivist-Nation,Despairing/Sad
Dai every 7 day ma vedio dinuna kamse kam vadi ma day by bay,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Ek janna le 15 20 lakh garna hune tara Nepal ma tai paisaa le kehi business garxu vanne aatt naaune!! Hait toit,Anti-Migration,Economic Necessity,Collectivist-Nation,Angry/Frustrated
"Sir , it was the great knwoledge  and hats off for your work research 🙌",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
If want go america when i got visa not just some ****alien way,Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic
This video was so disturbing to watch just had to stop the video at so many points.,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
Thanks दिपेश सर लाइ यति धेरै मेहनत गरेर यो भिडियो बनाउनु भएकोमा 🙏🙏😍,Neutral/Observation,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
Mangsir 4 ma afno chhora chhori lai yesari bidesh jana naparne gari vote garnus.,Anti-Migration,Systemic/Political Anger,Collectivist-Family,Hopeful/Motivated
Indian haru cycle ma tarkari bechera Afno Nepal ma baseko kharcha samma katera 20000+ Indian rupees saving garera Nepal bata India pathauxan... Ani hami Nepali lai jahelay maya bidesh KO ra Nepal ma kei hunna bhanni Soch... Garo cha🙏🙌,Anti-Migration,Economic Necessity,Collectivist-Nation,Angry/Frustrated
Dang bata nai holaan sabai vanda badhi USA jaani haru … harek ghar bata ek jana hunxan,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
And the government is still worried about how to win the Election 😵‍💫😵‍💫,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
"यस्तो जटिल यात्राको बारेमा अध्ययन अलिकति पनि पुगेन। अलि धेरै मेहनत गरेर अलि राम्रो vdo बनाउनु पर्यो भाई। यो एकदमै सतही VDO भयो। पोर्चुगल मा कुनै तथ्य बिना 50 हजार नेपाली छन् सम्म भनेको सुनियो, यो अलि बढी नै भयेन र🙈🙈 सायद अहिले सम्म कै कमजोर प्रस्तुति भयो यो।",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
hat&#39;s off to you sir for your quality content.,Neutral/Observation,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
"Dherai Dherai Dhanyabaad mitra... timro present garne tarika nai kati vabuk lagyo. Nepali le Nepal banaunai parcha... sahi vote garne bela aayeko cha aba. sahi lai nachunne ho vane vaaaard mei jawos sabai. murkha ko pani had huncha... paisa ka tattu haru, hami sabai.",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Mo US gako ho illegally jati vaninxa teti khatra pani xaina… panama jungle 2/3 matra hoo hidne … hajur le vanne ko batoo ahile ko ho pahile tiyoo batoo hudai jadina the South America samma…,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
Paisako Lagi kina janu paryoo katha morey hunxa ..,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Mero dai ko sathi pani 45 lakh ma illegal gako xa usa<br>Daaku haru ley sabai lutdinxan kattu samet,Neutral/Observation,Economic Necessity,Collectivist-Family,Despairing/Sad
Yesari janey pagal haru hun,Anti-Migration,Economic Necessity,Collectivist-Nation,Angry/Frustrated
America ra Europe jana lai pahila consultancy bujhera jana parcha😍😍❤️,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
That&#39;s why knowledge is important.,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
"2014 tir ma Schengen country vaner hineko thye 9 month russia ani donkey route hudai estonia samma pugeko thye , paisa ra samay barbad ani jindagi ko mahatopurna umer refugee vayer basnu parne  sabai kura ko yaad , pressure ani torture ajhai nai taja chha.",Trapped/Regretful,Economic Necessity,Individualist-Self,Despairing/Sad
Thank you soo much dai for this documentry😊,Neutral/Observation,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
Again we need details information about Nepal to USA illegally…<br><br>Only channel to give real content,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
Such a great content.,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
I am just curious if they are ready for spent that much money why don&#39;t they use legal way to reach usa and others country,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
US jana kati samma kharcha huncha😅😅😅😅😅😅,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Dv vareko ta मतलबै भएन नी,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Very well said,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Well Done bro as always you are a star. Thank you 🙏🙂👍,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
"Congratulations Dipesh, I admire your videos. Thank you for making meaningful vlogs. At least you are doing something good for Nepali <a href=""http://people.you/"">people.You</a> are potential to become Nepali&#39;s Dhruv Rathee, and leave behind all the mainstream Nepali TV Chanels. Most of them are compromised and corrupted.  Please keep working.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated
"Yes, You are right we receive more than 100 Nepalese coming from different parts of Europe i.e Romania 🇷🇴, Croatia 🇭🇷, Bulgaria 🇧🇬 etc..",Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
Qualtiy content,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Great content, keep it up ❤️",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Such a informative video thank you so much sir.. ❣️❣️,Neutral/Observation,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
"Awesome content as usual. Keep going, Dipesh Bro!",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
another amaing vid,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
You are contain are marvelous keep up the work. :),Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Good content,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Bro Respect+ for your Quality content.. On point research and commitment for content 👍,Neutral/Observation,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
Best youtube channel in nepal..bestest contents..keep growing..we all love you,Neutral/Observation,Economic Necessity,Collectivist-Nation,Hopeful/Motivated
Shit  man .<br>mah nii Portugal jana lagya theya yesari naie 😅,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Ramrari padha kta ho, ramro jaagir khau, sano tino business gara tei ho, yesto kam chai nagara ..",Anti-Migration,Economic Necessity,Collectivist-Nation,Pragmatic
Informative video keep going,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
love your content  . Hope see more videos ❤️,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Bro Sky SIM ko rise ra downfall ko Barey ma new video paum na plz ❤️,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Nepal ma garne taw ho ...<br>Tara garne k bato k ? Ma sanga degree taw xa Tara haat ma kunai sip xaina ....,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Love your content. Hope to see more,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
Yeah man some of my villagers paid 40 lakh to go USA through illegal way and they made it but I always think it is a risky way <br>Your life&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;usa,Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic
