comment,intent,primary_driver,value_orientation,affect,verdict
"What do we export? There&#39;s a very few list for it.<br>what do we import? Almost everything....<br>For our country&#39;s economy to get running it must export something huge to compensate the gap between export and import, and that&#39;s exporting human resource. Otherwise there is no way to run our country.<br>(I am not an expert in terms of economy, but this is what I think.)",Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,correct
"solti ko himmat lai mane, raja ko dynasty sakaune tauke haru lai aula dekhaunu, sabai lai tha vakai kura third world country ko government first world ka direct working mafia huna, no matter which third world country",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
Yo dui teen sal dekhi youth haru bidesh Jane wave chali ra xa friends circle nai sanu hundai goi ra xa ani yo pani sahi ho ki 6 to 10 years ma nepal old age nation hunxa,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,correct
दाई डर लाग्छ ।,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad,correct
यो देश कहिलै बन्दैन 😭😭 यो देश लिज मा दिय हुन्छं अब 😭😭😭,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad,correct
I&#39;m thankful to have this type of channels in nepal❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
__Bitter truth 😢😢😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad,correct
"This really hits close to home. Aile ko bela ta if a student jolle mehenat garera ramro sanga padhna sakxa  has only so few options if he/she wants to secure their future. Kita Kathmandu ayera interest na bhayeni MBBS/engineering/CA jasta course whose scope is slowly drying in the country liyera padha kita Bidesh nai jau. Aru course haru liyeni gambling jasto situation huna aunxa (Ramro job payela kinai, ramro k bhanne job nai payela ki nai bhanera) . At least bidesh ma gayera bhada Majera bhayeni money source hunxa ra ramro garna sake afno future gen ko life ta secure hunxani. These are the thoughts that every student has in their mind.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
I am in UAE right now doing my internship . Yeta aya pachi desh ko halat dhekhera auna maan lagako chaina. Ayera k garna politics ra economy dekhera hope nai audaina k garna vhanera . Din dinai corruption crime,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Hopeful/Motivated,correct
Bitter But It’s Truth Reality Of Our Country 😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad,correct
Ke pura nepali ke pura english bolna paroo k bro yr yo nepangaraji aali vayana,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic,correct
"Last week, we went to The Sushant Pradhan Podcast, and we talked about IN-Depth Story, Politics, Media, Brain Drain, Movies and many more. <br>Link to the podcast;<br><br><a href=""https://www.youtube.com/watch?v=lk9CCsedKdg"">https://youtu.be/lk9CCsedKdg</a>",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic,wrong
hlw sir <br>you are a best sir❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
