comment,intent,primary_driver,value_orientation,affect
​@loktiwari561Kehi vision bokney kehi learn garney materialistic kura ko paxi na lagney show off nagarney hardwork garera paisa save garney family ko problem solve garney kei paisa ra ramro plan bokera nepal aune nepal mah 0 bata start garna dharai garo australia gayeko manxey ley testo sochnu hudaina you are lucky that you got the opportunity to be there enjoy your time learn something invest in yourself then return with some future plans then happily live in nepal,Anti-Migration,Needs Human Review,Collectivist-Family,Needs Human Review
Kehi vision bokney kehi learn garney materialistic kura ko paxi na lagney show off nagarney hardwork garera paisa save garney family ko problem solve garney kei paisa ra ramro plan bokera nepal aune nepal mah 0 bata start garna dharai garo australia gayeko manxey ley testo sochnu hudaina you are lucky that you got the opportunity to be there enjoy your time learn something invest in yourself then return with some future plans then happily live in nepal,Needs Human Review,Economic Necessity,Collectivist-Family,Pragmatic
Sad to know 😢,Neutral/Observation,Needs Human Review,Individualist-Self,Despairing/Sad
म आफै बिदेश छु तर यसरी देश बाट बाहिर जानेको संख्या सुन्दा सारै मन दुख छ।😢,Neutral/Observation,Needs Human Review,Individualist-Self,Despairing/Sad
विदेशमा काम गर्दागर्दै कति छिटो १६ बर्ष पनि गएछ! हेर्दाहेर्दै उमेरले ४० पुग्न लाग्याछु। जिन्दगी तोर्र्ल्याङ्ग !,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Kati kamayo ta 16 Barssa ma 🤔,Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
"The choice between staying in Nepal or seeking opportunities abroad is complex, with valid arguments on both sides. It's a decision many of us can relate to, and it's important to weigh the pros and cons carefully before making such a significant life choice.",Needs Human Review,Economic Necessity,Individualist-Self,Pragmatic
So true!!,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Foreign is better,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
@vermabhaijaan5607why indians are here💀,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
@vermabhaijaan5607 pyaro dhoti afno desh hera hamro haina,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
कसैले त आशा देखाउछ र त नेपाल फर्केर केही गर्ने आशा अझै मरेको छैन❤,Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
Kasaile aasha dekhauxa Matlab ?,Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
@sanjushahi9890 din rat bigreko maatra news matra sunnu parxa positive news le kei hope jagauxa bidesh baseko 7 barsa bhayo nepal ma jhole nabane samma kei garna sakinna yo video herda kei positive paye tei ho,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
"समस्या सङ्ग भाग्ने हैन , डटेर लड्ने हाे । जय नेपाल 🇳🇵🎯<br> भबिस्य देशमै छ , एशियामा नै छ",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Market ma job nai xoina k loksewa ko from varey raw Basne 😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Kera cha vawaisa des ma,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"😂😂 this patroitism wont last my mate, wait till you see the real side of it. You'll get your reality check in mid 30's",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
"Politicians Haru lai hereko cha , Tini Haru le Garda desh kasto banayeko cha.",Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic
Napis 😂😂😂 विदेश बाट cmnt हान्दै basxhas 😂,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
अब पालो क्रान्ती को हो नेपालमै बसुम येहि केहि गर्न सकिन्छ युवाहरु🔥 Jay Desh Jay Nepal🇳🇵,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
गर्नु के ?????,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
प्रचण्ड शेरे केपी जस्ता राडाबानहरु हुदा सम्म केही हुने वाला छैन,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
Maeley Diploma in civil engineering Garey .<br>Maeley Afno field  job garna khojey kae job payena . <br>Aeley ma language seke Ra xu .,Needs Human Review,Economic Necessity,Individualist-Self,Pragmatic
Sakne le bidesh jane ho,Pro-Migration,Patriotism/Love,Individualist-Self,Pragmatic
"Apply गरेको छ महिना भइसक्यो यो बीचमा धेरै पैसा खर्च भइसक्यो। पहिले आफूलाई नचिन्नाले बिदेस मात्र भविष्य हो भनी apply gariyo अब देश छोड्ने कुरा सोच्दा आँखा बाट आँसु बग्छ । सायद यस्तै दोधारे स्थितीमा बाँच्नु लाई नै जीवन भनिँदो रैछ। तर अब विदेश मा पढाइ सकेर देश फर्की देशलाई बनाउने आफै सँग कसम खाएको छू। मेरो देश लाई सुन्दर ,समृद्ध र शान्तिपूर्ण बनाउन अवस्य देश फर्किने छु। 🇳🇵💓",Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad
Bro timle man jiteu yaar ❤❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
don't worry bro take it easy ❤,Neutral/Observation,Economic Necessity,Individualist-Self,Needs Human Review
"I am from a middle-class family. my father earns 25k to 30k per month, and my mom is a housewife. For my better future, my dad is sending me to college, whose monthly fee is 10k per month. My 12th grade is going to finish in 1.5 months. What should I do now? Stay in this country for the next 4 years? What after 4 years? If I were successful in the field I am in, I would earn a maximum of 50k to 2 lakh per month, which has very little chance. Is that sufficient? Okay, my dream is to get a car and buy a house. A house costs around 2.5 cr to 3 cr, which may take around 20 to 25 years for me to buy the house I want, and a car costs 20 to 30 lakhs, which may take 2 to 3 years for me. To complete my dream, it may take 25+ years. I am 18 years old, and at that age, I may be 40 to 45+ years. Will I be happy? Will my parents still be there to see the success they have been waiting for? I am scared of my life in this country.<br>My neighbor's son went to Dubai to work as a staff for 13 years and now has been promoted to manager and earns more than 10 lakhs. He built a beautiful home and owns a car. His parents have gold necklaces, bracelets, and rings. He is 31 years old, I guess, and has a good life. <br>Seeing all this, will I still like to live in this country? Of course not! Yes, I love my country, but can't forget the sacrifices my parents have done for me so far.",Anti-Migration,Family Obligation,Collectivist-Family,Hopeful/Motivated
You are right bro...emotional kura garera zindagi chaldaina...voli parents birami huda old agema medical treatment garauda ni hospital bills tirna ko lagi paisa chahinxa philosophical kurale zindagi chaldaina sadhai,Neutral/Observation,Family Obligation,Collectivist-Family,Despairing/Sad
Recent situations of country try to say that you should leave the country.....,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Needs Human Review
Maile ni 18 barsa dekhi kaam garey Nepal ma 8 barsa ani bidesh aaye vai...k garnu 8 barsa ma nakamako paisa 1 barsa nahudae kamainxa...,Needs Human Review,Economic Necessity,Needs Human Review,Pragmatic
Go to India<br>Lots of opportunities,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
It's completely your choice brother and we respect that. Tara Nepal Mai tyo 10 lakhs vanda badi kamaune ra tyo Vanda ramro lifestyle vayeko manxe haruko example Pani xa. Beauty lies in the eye of the beholder. Timle opportunity dekhdainau vandaima Yaha opportunity navayeko chai pakkai haina. All the best for your future.🎉,Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic
"Inspiring video to them who are here, we will do here no matter what",Neutral/Observation,Needs Human Review,Needs Human Review,Hopeful/Motivated
26:45...<br>Simple life....<br>सामाजिक सम्मान....<br>खानलाई पुगोस्<br>लाउनलाई पुगोस्<br>समस्या पर्दा समाधान गर्न सकुँ ।....<br>बस यति चाहन्छु।,Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
म पनी,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Ani buwa aama le rin liyera padhayeko ko rin kasari tirxn t  sab ko family ek jasto hudaina,Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic
Yo ta sabai ko chahana nai hunchha tara baddo umer ra baddo jimmebari le afno lagi bhanda ni aru ko lagi bachne garaidinchha sir,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Google a term ""Hierarchy of needs""",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"24:34 <br><br>""""""बाबु, अब तिम्रो साथी त हामीलाई<br>एक्लै छाडेर जाने भयो। यो गएसी हाम्रो छोरा भन्नु नै तिमी नै हौ, यसो कहिले के उ नाहुँदा पनि आउँदै गर्नु है। """"""<br>This line hits ❤",Neutral/Observation,Needs Human Review,Collectivist-Family,Pragmatic
"Currently, I am government job holder whereas most of my friends are in US, Australia and other European countries. They are earning a lot of money in comparison to me. Truely speaking, I havent take any money from our service taker. But the vision of our people towards government job holder is really negative which constantly motive me to resign from the job 😢<br>This video is encouraging me to stay here and serve nation and seek future , no matter what!!! Thank you so much !!",Anti-Migration,Economic Necessity,Collectivist-Nation,Despairing/Sad
same here sir👏,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Same here sir! Australia apply garau ki bhanne soch thiyo!🥲,Pro-Migration,Economic Necessity,Individualist-Self,Needs Human Review
"As someone who stayed abroad for almost a decade and currently in Nepal, my view points on why Youths are leaving (and will continue to leave):<br>1) Pressure from family and society. Aruko chora chori le esto garyo testo kinyo etc. People here feel discouraged.<br>2) To much talk only about politics jata gaye pani. Blaming Netas for everything while not realizing how corrupt we have become. Corruption in rampant in this country. <br>3) Blame game, j ni arulai dos layo. <br>4) Country cant just survive on IT sector ko ali ali jobs, we need to create niche exports for long-term to create jobs outside IT.  <br>5) People need to stop being individualistic and work for greater good. <br><br>6) Solid Development roadmaps.<br><br>I am still bullish on Nepal and will continue to work here till its possible to sustain livelihood.",Needs Human Review,Needs Human Review,Collectivist-Nation,Angry/Frustrated
1 no chahi ekdam malai ni relatable bhayo hau nepal mai basera khi garchu government job nai garchu bhanda pani kahilay selection huncha tyati kamai ley k huncha bhanera dimag kharab gardinu huncha relative family neighbor ley😢,Anti-Migration,Needs Human Review,Collectivist-Family,Despairing/Sad
Bahera bata paisa kamayara aaune ane nepal aayara thulo kura garne,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
​@chandratamang2487 gharbata bidesh gainas vanera lyang lyang garxan yaar.,Pro-Migration,Needs Human Review,Collectivist-Nation,Pragmatic
​@chandratamang2487 Same malae pani,Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
1 no. Line relates to me 😢also,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Despairing/Sad
"After finishing my MBA, I find myself in Kathmandu, preparing for the IELTS to pursue my dreams of following in my uncle's footsteps to the USA. However, my deep love for my country keeps pulling me back, making it difficult to leave. I'm torn between my aspirations and my affection for home, unsure how long I can resist the urge to stay.😭😭",Anti-Migration,Economic Necessity,Collectivist-Nation,Despairing/Sad
"Same here, just graduated in civil engineering, and looking for assistantship of USA. Moreover, I couldn't get something worthy on freelancing for us.😭",Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad
Bro I am also an MBA graduate but there's lack of good opportunities for us here.,Needs Human Review,Economic Necessity,Individualist-Self,Pragmatic
Same here bro<br>.. Freelancing,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"i am crying right now ,<br>mero sathiharu and relatives almost sabai bidesh gayeka xan ,malai pani bidesh jau bhanera dherai choti bhaniyo but i am stydying Bsc CSIT in nepal right now and i want a better nepal by investing myself in my own country ,<br><br>dhanyabadd dai yo video le yedi yeuta matra 12th pass gareko student lai nepal mai basna prerit garxa bhane pani Nepal lai faida hune xa",Anti-Migration,Patriotism/Love,Collectivist-Nation,Despairing/Sad
Afno khusi k ma xaw kehi garnush aru lai taw prove gararaw dakhauni ho,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Only channel who deserves millions of views and subscribers ❤<br>म अहिले civil engineering दोस्रो वर्ष अध्यन गर्दै छु। मेरो पहिले बाट नै आफ्नो देश मा केहि गर्छु भन्न्यो धारणा थ्यो र हुने पनि छ।यो विडियो हेर्दा झन् म भित्र बाटै यही केही गर्नेछु भन्ने भावना पलायो।,Neutral/Observation,Economic Necessity,Needs Human Review,Pragmatic
15k salary 😂😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Thag thaag nagari ta kamai huna garo hola. Hope and good luck bro,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
यो खोजको लागि धन्यवाद ❤,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Hopeful/Motivated
3 main things for me :<br>1. Health <br>2. Wealth<br>3. Relationship❤,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
M t sure bhae dai yo video hrda hrdai sure aba + 2 paxi yehi basxu <br>I will try j soche xu tq u for the vdo <br>Hope my cmt to motivate u to make content guyz wish me a luck for upcoming days 💪🏾💪🏾,Anti-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated
"well for me, its been already 10 years living with my wife in australia and finally we reach in conclusion of returning back to our motherland as we are already prepared before and make a initial mindset to return back in nepal anyhow....<br>It doesnt matter what other says but rather follow your guts that doesnt make you regret<br>its us making our life challenging for 3 basic thing: food, shelter and clothing<br>yo short life ko lagi yeti saharai struggle kina jaba ki after 2nd generation pa6i tmi ko ho and tmro identity nai yo sansar ma pani thiyeu bhane tmro nati natini le pani birsisakeko hun6a so i would say enjoy your life<br>Be serious but dont make life too complicated<br>Because gora haru ko hamro jati love attachment hudaina and last ma kamayera basna jane old orphanage (age care) plus mortgage debt trap ma fasne ta ho jindagi bhari nai<br>Note<br>aba marera lanu nai k 6a ra jindagi ma<br>ek6in dukha garnu target plan banaunu 10 yrs 15 yrs tespa6i afu pani 35 40 plus hun6a baki 15 yrs old age tesai katihal6a<br>Plus you will interact with your neighbourhood, your relatives and your loved ones in your own country<br>At least you are fulfiling your respects towards your own country <br>And another thing, you dont have to be soldier to protect country so returning back and serving as retire would be also count as u are doing your responsibility and serving your country<br>Thats my opinion<br>And everyone has their own perception <br>Thank u and sorry if u dont accept my views",Trapped/Regretful,Family Obligation,Collectivist-Nation,Needs Human Review
well said brother.. even my brother has same thought like you who is currently at Australia,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
Dai tapai po aus bata paisa kamayara kai business garne soch hola hame jasto nepal mai baserako hora,Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic
Thanks for this video. It's very difficult time here in Nepal but there is the light at the end of the tunnel ..  Ma pni aashabadi xu❤❤ 🇳🇵🇳🇵🇳🇵🇳🇵 Jay Nepal,Neutral/Observation,Needs Human Review,Collectivist-Nation,Hopeful/Motivated
Fact & statistics based content with no beraucratic & self serving opinion.<br>This is indeed the Best content I have ever watched in my lifetime.<br>I understand how much you & your team toiled to make this content.<br>Huge respect to the IDS team  ❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"indepth story, Nepali comment , Project kura , misguided Nepal le Nepali youth haru lai sahi guide ra motivate gariraheko ma dhanyabad",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
dai dai dai k vannun  you really made a masterclass video totally related sab youths mha !!!!<br>respect📈📈❤💯,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
This should be watched by every individual❤ ... Jay Nepal❤,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
You are the change makers of the society 🙏 😊,Neutral/Observation,Needs Human Review,Individualist-Self,Hopeful/Motivated
We are,Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
21 years old guy Watching from KHADI at 2 AM 🙂,Needs Human Review,Needs Human Review,Individualist-Self,Pragmatic
most confusing and worst choice 😢 ❤️ Thank you for making video on most awaited and relatable topic -your regular viewer and subscriber Pratik Neupane vlogs..,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
"देशमा त कसरी बस्ने , दिनभरी काम गरेर  दुई छाक टार्न नै गारो छ! Truth kelaunu vayeko man paro.<br>Support me Guys❤.",Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
After watching this video many youth including me will be back to Nepal and fight for our existence no matter how hard it will be. Thank you IDS for this wonderful content.,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
म 18 बर्ष  को भए देशमै केही गर्छु भन्ने पनि केही छैन र बिदेशमा गएर केही गर्छु भन्ने हो भने बिदेशमै मान्छे दिनहुँ दिन मरिरहेका छन् आखिर हामी नेपाली जाने का होत 😢😩,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
पुरै स्पिचलेस भएँ। यत्तिको भिडियो ऐले सम्म नेपाली कृयटरले बनाएको देखेको थिन्। धन्यबाद IDS 🙏❤,Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
Yama Buddha Once Said<br>एक दिनमा बन्दैन देश<br>म सधैँ सङ्घर्ष गर्छु<br>Jay Nepal<br>Jay Gurkha❤,Neutral/Observation,Needs Human Review,Collectivist-Nation,Hopeful/Motivated
आजको episode ले कता कता मन छोयो ❤,Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
अब बिदेश भाग छिठो😁,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
"बिदेश नजाने सोचले नै, नेपालमा job गरेर बसेको छु 😊",Neutral/Observation,Needs Human Review,Individualist-Self,Hopeful/Motivated
Mero jastai story raixhaa.. maa public health professional ho Tara ahile job xoderaa kapda ko business gardai chu new road maa.. I love my passion  being businessman ....❤,Needs Human Review,Needs Human Review,Individualist-Self,Pragmatic
"What a content. One of the best content creater. Literally,I almost cried.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"The best video uploaded in this channel. Dui tin ota line le man yesko choyo, aakha nai rasayo. Thank you for ur contribution. Much love n respect to u ❤️❤️❤️",Neutral/Observation,Needs Human Review,Individualist-Self,Hopeful/Motivated
"i cried. I really hope dawn after a decade will be filled with happiness and smily faces, where family reunite for forever.",Neutral/Observation,Family Obligation,Collectivist-Family,Hopeful/Motivated
Overall video nikai ramro lagyo😊<br>Remote job ko concept ahile dherai nai chali rako xa maile yesko growth 2014 dekhi nai dekheko hu. Govt le yesma support garne ho ra enough skilled manpower hune ho bhane Nepal ma outsource company ko thulo future xa🙏🏻🙏🏻,Anti-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated
Right..i also work remotely and  I'm making good income 😊,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated
"Maan ko kura vandinu vayo, thank you so much bhai ❤",Neutral/Observation,Needs Human Review,Individualist-Self,Pragmatic
