comment,intent,primary_driver,value_orientation,affect
"Ma +2 sakiye sakda mero dherai sathi haru Australia lai try gare, maile ni gare. Property ko jhamela le process hault vayo. Tespachhi halka jagar lagayera soch banaye ki Nepal mai padhchu baschhu and kei business kholchhu. Ma 20 years ko thiye. Reality ma vanda imagination ma jiudai rahechhu jun kura aafulai nai thaha thiyena. Hillside tira hotel kholchhu ki euta motorcycle showeoom kholchhu, dhukka le paisa kamaihalchhu vanne aasha ra jagar thiyo. Bachelor gardai garda dherai sathi harule bich bich mai Australia gaye. Koi koi chai Japan ni gaye. Antya ma Bachelor ni sakiyo ra aafu sanga 14k ko job bahek kehi thiyena haat ma. Tesle jiwan chalne thiyena. Jiwan ko kura chhodum tyo samaye ko eklo huda ko kharcha ni tarnu garo vayo. Tespachhi aayo corona. Tyaha samma aauda situation yeti garo vaisakeko thiyo ki Nepal basera napugne Australia jana nasakne vayo. So tyo bela ali popularity gain gardai aairaheko desh Croatia ko barema sunna thale. Interesting lagyo. Kei major cvs nachahine ani dherai lagani pani nachahine vayera aafno luck yetai try gare. Ra sabai process pura garera yaha aaye. Aile 2 barsha vayo. Suru ma aauda eklai thiyo company ma. Nyasro lagthyo. Ek barsha jasto vayepachhi company le ajhai Nepali haru lyaune vane pachhi maile aafno aafanta ra chineko sathiharulai kaam offer gare. Aile 4 jana plus 2 jana feri aaudai chhan. Kamai dherai chhaina tara company le sabai subidha diyera 1 lakh jati kamai hunchha. Aafno sathi bhai ra kei aafanta haru ni sangai chhan. So aba yo sabai huda ma Nepal kina farkine? Tei andhakar ra kalpana ma matra dubna? Malai Nepal ko maya chha tara tyo maya le mero jiwan ramro sanga chalchha ra? Hola Nepal ma ni opportunity haru tara ma jasto middle class family ko ghar herne euta matra income source le aafu ani pariwar sukha sanga rakhna sakla ra? Dherai high profile nahola tara Croatia ko salary le mero ghar ko pariwar haru aananda le khusi sanga basna pako chha. Malai future ko chinta chhaina. So ma kina Nepal farkine? Now I understand what do you mean by manchhe haru bidesh gairako chhaina, desh chhodidako chhan. Ma pani tei madhye euta hu. Jay Nepal, mero Nepal jindabaad tara sayed maile Europe lai nai aafno future sumpiye.",Trapped/Regretful,Patriotism/Love,Collectivist-Family,Despairing/Sad
class 1 ranker is leaving the country?<br><br>what the fuck I&#39;m doing here?<br><br>it&#39;s suck,Neutral/Observation,Economic Necessity,Individualist-Self,Angry/Frustrated
raja la janata marako thya neta haru la desh na khaideya worst bhayo Nepal Maobadi Congress Yamale ko raaj bata,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
"This is true, thanks for this voice",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Abo India ma pani estai cha halat,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Thanku for your hard work and kind of information <br><br>aru kai help garna naskeyni hajur ko channel ma ayako Ad full time watch gardinxu ❤️<br>thanks again,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
We are youths have to speak out of podcast as well same kind of advocate,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Manxe bides gaye ra xaena.desh xodi raxa hits hard😢,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Despairing/Sad
Nepal will get merged with india after 20 years <br>So better settle yourself in abroad for your better and secure life aaile dekhi nai <br> <br>Madwari ra bihari le varinxa yo desh <br>Janmat sangraha and then rest will be history,Pro-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic
"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=85"">1:25</a> what was that",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
They are going bahira 😂😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
3 crore bhanya 3 million hoina ni,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Big problem is that government is not stable!,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Desh ko halat harera yo desh ko boj feel vo yll ma ni hindinxu bidesh,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
Podcast wala video arko channel ma ani paila ko jasto video yo channel ma halnu na<br>Duitai merge garda ali thik laagena,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
tribhuwan airport nachunera thulo galti garexu,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
It is the dark Truth of Nepal &amp; bad thing is nobody want to change it 😢,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
"Yo Nepal ko neta haru lai tik parnu parcha, aba tiyo din aaucha jaba Nepal ma Nepali haru hoina foreigner haru baschan ra yahi foreigner haru le Nepal lai rule garchan, yo neta haru lai paisa matrai cahiyeko cha, yasto neta haru lai PUNCH hanera khola ma falidenu parcha",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
"3 crore = 30 million<br>Please unsubscribe this channel, neta vanda besi stunt hanca yar",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
"Afno desh ma basna nachahane kasko ichya hunxa ra, badhyatale ho hajur. At this point, maele kam ma gareko dukha sayad bahira gayera gare vane Mero ra Mero family ko future ramro hunexa. I too am planning for future in abroad for better education, better income and quality of life. Dukha lagxa but yahi satya ho",Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic
Gari khana dinnan yll 😢😢😢😢nepalma😢😢😢,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=1"">0:01</a> 3M vaneko 3 crore ho? 🤔🤔😂😂",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Face revealed wow!,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
They are going bahira ):,Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
I also feel that I should have choosen Tribhuvan Airport instead of Tribhuvan University😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
3million or 30 million 😒😒,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
main reason           gayako realtives raw social media influncers haru lay proudly nepal ma scope xaina janai parxaw bahiraw vanara ho      social media raw abroad ma huni haru lay youth ko brain wash gari rako xan       teenage ma hamlai kasai lay thulo vayara k garni vanda doctor pilot engineer vanythim     aahile ko teenage lai k padhni tha xaina   k garni vanda   abroad jani 😊,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"And now many skilled people are leaving the country. Not because of unemployment, but they are looking for a better life style and salary. For instance, Nepal ma Engineering sakera you just get paid around 10k - 18k. Even after a year or two years of experience you don’t get paid more than 30k - 45k. But tei kaam for instance Australia ma garda you get paid really well. So it’s a no brainer to leave the country. And this is a serious issue for Nepal.",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
Bidesbata herdai chu ma fry 😂,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Chaldai jane ani haiti banne aru upaya chaina. Thats the last report card of nepal.,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
"Dukha payam mangaley, afnai dhangaley!! Jai Gadatantra",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
"International funding helped maoist overthrow the king, so they made Nepal a puppet and now fill the gap of their decreasing youth population through different country in the name of free trade and democracy and they keep growing and we  lack behind.",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
Thank you for sharing this 😊🙏,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Such a good content  but bro either go with nepali or English language while ur talking   really. It sucks  ur making topic of nepal n here ur keep using   broken English.  I love n respect ur work but that English was like salt with Tea.,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
"What do we export? There&#39;s a very few list for it.<br>what do we import? Almost everything....<br>For our country&#39;s economy to get running it must export something huge to compensate the gap between export and import, and that&#39;s exporting human resource. Otherwise there is no way to run our country.<br>(I am not an expert in terms of economy, but this is what I think.)",Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
"solti ko himmat lai mane, raja ko dynasty sakaune tauke haru lai aula dekhaunu, sabai lai tha vakai kura third world country ko government first world ka direct working mafia huna, no matter which third world country",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Yo dui teen sal dekhi youth haru bidesh Jane wave chali ra xa friends circle nai sanu hundai goi ra xa ani yo pani sahi ho ki 6 to 10 years ma nepal old age nation hunxa,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic
दाई डर लाग्छ ।,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
यो देश कहिलै बन्दैन 😭😭 यो देश लिज मा दिय हुन्छं अब 😭😭😭,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
I&#39;m thankful to have this type of channels in nepal❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
__Bitter truth 😢😢😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
"This really hits close to home. Aile ko bela ta if a student jolle mehenat garera ramro sanga padhna sakxa  has only so few options if he/she wants to secure their future. Kita Kathmandu ayera interest na bhayeni MBBS/engineering/CA jasta course whose scope is slowly drying in the country liyera padha kita Bidesh nai jau. Aru course haru liyeni gambling jasto situation huna aunxa (Ramro job payela kinai, ramro k bhanne job nai payela ki nai bhanera) . At least bidesh ma gayera bhada Majera bhayeni money source hunxa ra ramro garna sake afno future gen ko life ta secure hunxani. These are the thoughts that every student has in their mind.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
I am in UAE right now doing my internship . Yeta aya pachi desh ko halat dhekhera auna maan lagako chaina. Ayera k garna politics ra economy dekhera hope nai audaina k garna vhanera . Din dinai corruption crime,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Hopeful/Motivated
Bitter But It’s Truth Reality Of Our Country 😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Ke pura nepali ke pura english bolna paroo k bro yr yo nepangaraji aali vayana,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
"Last week, we went to The Sushant Pradhan Podcast, and we talked about IN-Depth Story, Politics, Media, Brain Drain, Movies and many more. <br>Link to the podcast;<br><br><a href=""https://www.youtube.com/watch?v=lk9CCsedKdg"">https://youtu.be/lk9CCsedKdg</a>",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
hlw sir <br>you are a best sir❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
