comment,intent,primary_driver,value_orientation,affect
"Haami sunne matrai ho hjr kehi garna sakdainau 😂 hai haami harulai haami aafnai Nepali Janata aafnai daju bahini bare kehi matlab xaina bhane IE lutera haruko k matlab😔",Helplessness,Civic Apathy,Negative,Negative
Best thing to do in Nepal is LEAVE THE COUNTRY !!!!!!!!!,Resignation,Opportunity Lack,Negative,Negative
"I know there is a lack of job opportunities and less salary but before blaming politicians just think what you guys are doing. Leaving your country and showing your nationalism in social media is never an option. Its you who build your country",Accountability,Civic Responsibility,Neutral,Neutral
Come to europe,Advice/Invitation,Migration Encouragement,Positive,Neutral
"Right लौरो टेकेर देश चलाउने नेता हरु लाई नहटाई नेपाल बन्दिन मर्ने बेला के नेता बन्न परेको होला",Political Criticism,Political Reform,Negative,Negative
Nepal land will be bought by many industrialists in future at cheap price,Concern,Economic Pessimism,Negative,Negative
Corruption will never stop in Nepal. Which is the root cause of all this problem,Criticism,Corruption,Negative,Negative
यो भिडियो ले त अब म पनि यतै सेटल हुनु जस्तो लाग्यो।,Inspiration,Diaspora Return,Positive,Positive
"Mero naam Ganesh bahadur Rajak ho mero October mahinako antim last date samma USA ko immigrant visa ma USA settlement hunxu with all my family",Personal Sharing,Migration Intent,Neutral,Neutral
"I am in Malaysia now, you have mentioned exactly the things which I had thought, Thanks ❤ for this wonderful contents, I love you. Living away from family sucks every second , bro 😢, Most of the time we have to face exploitation 😢, the thef leaders would never understand our pain",Personal Sharing,Migrant Experience,Neutral,Negative
"sir d47 visa ko barema research garerw haldinu parney vyoo hjur leaa ..ailea 3 vanda mathii ko gpa vako lea matraa d2 visa ma jana paine bhanya xa but official notice kataii pani xaina",Question/Request,Visa Information,Neutral,Neutral
"logicalguy5: im extremely offended by your words. im not an PHD scholar but im well educated and still decided to come to qatar to chase my dreams",Pushback,Caste/Class Representation,Negative,Negative
ma pani jadai xu 😢,Personal Sharing,Migration Intent,Neutral,Negative
33 crore vagwan vako desh ma 33/3 =11 each  one is looked by 11 god no worries,Humor/Sarcasm,Religion,Neutral,Neutral
It's a time to show such  authentic case study in the meeting time of opmcm ..,Suggestion,Policy,Neutral,Neutral
Today's burning issue in which Nepal government is deaf and silent.,Criticism,Government Inaction,Negative,Negative
maila private ma pada ko ho ani school lai maila paisa pay gara ko how government invest on me,Argument,Education System,Negative,Negative
"Yo desh ma gari khane khaita batabaran banai deko yo varatiye dalali haru le kasko chai future xa yo desh ma nata teacher nata doctor scientists nata businessman nata students",Accusation,Foreign Influence,Negative,Negative
"As long as not let the Chinese government change Nepal, Nepal will rise again!",Hope/Warning,Geopolitical Concern,Positive,Mixed
"If I take a step back, post-World War 2, both Germany and Japan's youth and the entire nation worked hard to rebuild their nation. Some such sense needs to be imbibed right at the school stage in Nepal",Analysis/Criticism,Nation Building,Neutral,Mixed
janasankik ho ... pronounce properly ...if u cant prononuce it in different language,Criticism,Content Quality,Negative,Negative
laugh but reality 😢😂,Reaction,Migration Situation,Neutral,Mixed
"Paisa bhayepani nabhayepani sabaile le desh chadchan chadchan, kina ki ahile yo sabai global trend ho.",Analysis,Global Mobility,Neutral,Neutral
"Sochdai bas randiko xori haru, prgati hudena TYO desh ko…",Frustration,Political Failure,Negative,Negative
Aru malai thaha xaina marriage huna Lai sablai garo hunxa,Personal Sharing,Social Pressure,Neutral,Neutral
"देश विकास न भाको मुख्य कारण नेपालमा बस्ने नेपाली हरु को अनुसासन न भएर हो ,आरु को खुटा तान्ने हरु धेरै छन्,",Criticism,Social Discipline,Negative,Negative
"Income less, want more or expensive. Hard to fill wants and week security of life.",Analysis,Economic Hardship,Negative,Negative
"Unfortunately, Nepal is a failing country.",Criticism,General Pessimism,Negative,Negative
Mahabir pun lai nai herau na  k ko laaamo kura,Dismissal,Leadership Example,Neutral,Neutral
Bahun bokne kam banda garau Nepal banau Jay balen Jay harka,Political Statement,Caste Politics,Negative,Negative
Studying in Nepal is like wasting time and money .. sad but true,Criticism,Education Quality,Negative,Negative
"मलाई ९-१० वर्ष अगाडि खासै मतलब लाग्दैन थियो तर विगत २-३ वर्षमा म बाहेक मेंरो सबै साथीहरु र दाजु भाइ हरु विदेशिएको देख्दा मलाई दार लाग्न थाल्यो।",Personal Sharing,Brain Drain,Neutral,Negative
Yopali EDV varne wala  koko hunuhunxa yeta aamta,Personal Query,Migration Interest,Neutral,Neutral
Euta video Lumbini Development Trust ko corruption ra politics ma ni banaunu paryo,Suggestion/Request,Corruption,Negative,Neutral
Idea thik cha but every video khali negetive thought one sisan baniya,Feedback,Content Tone,Neutral,Neutral
"Sala corruption garney muji haru le desh nai khattam banayo yrr 😭 Yo kura ekdum seriously bhujne ho vane siru ma bidesh jau Tya ko rules, system hernu bhujnu",Frustration,Corruption,Negative,Negative
Excellent explanation,Appreciation,Content Quality,Positive,Positive
धेरै सिक्नुपर्ने भिडियो।🎉❤,Appreciation,Content Quality,Positive,Positive
I am leaving Nepal sooon😢,Personal Sharing,Migration Intent,Neutral,Negative
Usa and Westerners master plan to destroy Nepal and Nepalese.....Nepal is ruled by these countries .....our leaders are puppets,Conspiracy Theory,Foreign Interference,Negative,Negative
Salary didainan company ma paisa xaina vandinxan ma ni janxu ABA bidesh Nepal ma kati sram Daan grnu,Personal Sharing,Economic Hardship,Negative,Negative
Nepal khokro bhaisakyo… Too late… Bhokmari lagcha Nepal ma…,Pessimism,General Decline,Negative,Negative
"Bidaes jaanae bitikkai kaam paaunae hoinau kaam paaunu koe laagi timi tyaa ko citizenship hunuparchha tyoe ta guarantee ho",Reality Check,Migrant Reality,Neutral,Neutral
"माखन मुजी हरू लाई जसरी हुन्छ ल्याएर लखेटना आवाज उठाउ, Nepal ko mutu hami hau",Political Urgency,Political Reform,Negative,Negative
"I am IT student ani web development ko lagi free ma internship garxu vanda pani nepal ma company chaina esto bijok cha 😢",Frustration,Job Scarcity,Negative,Negative
AVERAGE youth lai Nepal ma sustain Huna GARHO xa... BIDESH JINDABAD🙌,Frustration,Economic Hardship,Negative,Negative
"Yes, the issue of getting equivalence certificate from Tribhuvan University is real.",Awareness,Bureaucratic Issues,Negative,Neutral
"India ko game ko sikaar ho..congress,,emaalay ra maubaadi lay india sanga milera banda gareko ho...",Accusation,Foreign Influence,Negative,Negative
"चुनाव नहुन्जेल सरकार थू गर्यो अनि चुनावको बेला चै मासु भातमा बिक्छन्, थूईक्क हामी भेडा",Political Frustration,Voting Behavior,Negative,Negative
"नेपालको 90% अभिभावक आफ्नो छोरा छोरीले चाहेको स्किल वा उद्धमशिल काममा 30,000 रूपियाँ लगानि लगाउँदैनन् तर विदेश पठाउने कुरामा ऋण काडेर भएपनी 30, 40 लाख रूपियाँ जुटाउँछन्।",Criticism,Parental Attitudes,Negative,Negative
Gahiro bislesan vai ko keep it up. Aru kai ma progress navaye ni news ra awareness ma progress vayeko chaa yo pani desh ko lagi ramro ho,Appreciation,Content Quality,Positive,Positive
Yo video M views maa jawos ❤ sara nepali le hernu parne ho.,Call to Action,Awareness,Positive,Positive
सारै राम्रो बिचार धारणा बाबुको।😢😢😢😢🙏🙏🙏🙏🇳🇵🇳🇵🇳🇵🇳🇵,Appreciation,Content Quality,Positive,Negative
जब सम्म एमाले माओवादि कांग्रेसलाई भोट हालिरहन्छ तब सम्म यो देश अझै नाजुक र अस्तित्व नै धराप मा पर्ने छ ॥,Political Warning,Political Parties,Negative,Negative
म पनि हाल मलेसियामा कार्यरत् छु,Personal Sharing,Labor Migration,Neutral,Neutral
"भाइले सारै राम्रोसङ नेपालको समस्याहरु बताउनु भयो तर समस्याहरुको कारण पनि भन्नुपर्यो जनताहरुलाइ। जस्तो जनता उस्तै नेता भयपछि यस्तै हुन्छ्😡😡",Feedback,Civic Accountability,Negative,Negative
Yo sab nepal sailing hanney yojana ho neta huru ko,Conspiracy,Political Conspiracy,Negative,Negative
"mind opening video on the Internet, so far ❤❤. god bless you!",Appreciation,Content Quality,Positive,Positive
"मारवाडीले चुसेको देशमा को बस्न सक्छ?? अदालत न्यायाधीश पुलिस कानुन बैंक सहकारी इन्सुरेन्स सबै मारवाडी तस्करको हातमा छ",Accusation,Ethnic Blame,Negative,Negative
"Euta sarkar lai thik parna lai euta ramro karmachari nai pugxa tarah k garnu hamro desh ko pahilo chutia ani vrast vaneko nai karmachari ho ani tes paxi MC neta haru",Frustration,Systemic Corruption,Negative,Negative
All the Best,Supportive,General,Positive,Positive
"I am in Malaysia now, you have mentioned exactly the things which I had thought...",Personal Sharing,Migrant Experience,Neutral,Negative
Dai tapai ko yo video heri rahada pani study in australia vanera consultancy ko add aayo ta,Irony/Observation,Advertising Irony,Neutral,Neutral
लुटतन्त्रको उपलब्धि।,Cynicism,Corruption,Negative,Negative
"Purana neta haru le bhrastachaar garera 14 pusta pugne akut sampati jamma garera aba tyei bhrastachar mudda haru bata bachna lai sarkar dhaldai pali palo sarkar chalayera baseka chan.",Political Criticism,Corruption,Negative,Negative
"वास्तवमा यो समस्या समग्र दक्षिण एसिया भरिमै छ र सबैभन्दा बढी नेपालमा छ।",Analysis,Regional Comparison,Neutral,Negative
People are leaving Nepal because they are going to abroad,Observation,Migration,Neutral,Neutral
"Yo Americako cha ho, deshko takat bhanekonai yu harulai bidesh lakhetne tiniharu chahi Hamro Desh lai mjor Banayera hamro desh kabja garne...",Accusation,Foreign Influence,Negative,Negative
"Education ko reason le chai i really wanna leave this country mero baini le 2 choti back paper deko xa 12 ko how can neb be so careless",Personal Sharing,Education System,Negative,Negative
Bahun ko kam chaina jaba samma bahun hru hunchan taba samma desh bikas huna sakdaina,Caste Criticism,Caste Inequality,Negative,Negative
❤❤❤❤ weldone brother,Appreciation,Content Quality,Positive,Positive
"Nepal ma kehi bigriyeko nai xainaw din var social media ko content consume garni nepal ma kehi garna nakhojhni abroad ma poisa ko bot xaw van ni yuwa dharai vai diyeraw tysko result dakhiyako matrai ho",Self-Critical Analysis,Youth Behavior,Negative,Neutral
"Yestai xa yr bro im in uk since from 4 year im happy in here sab lai tehe bhanxu what im experienced sakxau nepal maie gara sakdainau nepal time maie xodi hal kta ho",Personal Sharing,Migrant Advice,Positive,Neutral
Ta pani janxas ek din bidesh..😂 .,Sarcasm,Migration Cynicism,Neutral,Neutral
Raksi ra masu ma bikni hami sabaii veda hou.😂 ..,Cynicism,Social Critique,Negative,Neutral
Horrified by the stats.,Reaction,Migration Statistics,Neutral,Negative
Sad news😢,Empathy,General Situation,Neutral,Negative
मत साउदी मा छु फेरि नेपाल आएसी दुबै जाने सोचिरा छु😢,Personal Sharing,Continued Migration,Neutral,Negative
Nepal sarkarle kirsima ramroo laghani gree vane. Rojgarr di raknu pardaina,Sarcasm,Government Failure,Negative,Negative
Very rare content dai loved it,Appreciation,Content Quality,Positive,Positive
"If your mother is sick you care for her, you don't leave her to die and settledown in your neighbour's house. This is exactly what Nepalese youths are doing",Criticism/Metaphor,Civic Responsibility,Negative,Negative
"Among the Nepali YouTube commentators, I think you make the best videos. Factual and no nonsense and no conspiracy. Keep it up bro.",Appreciation,Content Quality,Positive,Positive
"These 3 pm should be end to start the development of this country.",Political Statement,Leadership Change,Negative,Neutral
Parsi ko flight xa aaja yo herdai xu😢,Personal Sharing,Migration Imminent,Neutral,Negative
Nepal be next Bangladesh team then something may changes,Comparison/Hope,Political Uprising,Neutral,Mixed
"Nepal ma ta euta kam paunu pani neta ko jhole hunu parxa😢 ya ta 12 padeko pani kei valu nai hudaina bachlor ma pani 4 years barbad matai hunxa",Frustration,Nepotism,Negative,Negative
"Ani dai tapai lai sarkar batw warning aako xa ki nai tw..? In depth story , Tanka Dhakal dai haru lai tw aayosake xa 😢",Concern,Press Freedom,Negative,Negative
Good Choice.. No hope here,Resignation,Hopelessness,Negative,Negative
"What do u think other country will take care of u. And What do u think they will give opportunities in every work no they will only give opportunities to those people or those work whom they need only",Reality Check,Migrant Reality,Neutral,Neutral
लौ! अब हामी देशमा नै भाको युवाले देश बनाउने हो तेसको लागि एक बनौँ। जय नेपाल,Nationalism,Youth Agency,Positive,Positive
"Hey Vagwan Sakesamma yo deshma basna napaiyoossssssaa🕉️🇺🇸🙂♥️🎓 USA nai Jane Ho permanently ✊🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸",Personal Sharing,Migration Decision,Neutral,Neutral
"Why not to go abroad? In Nepal for a receptionist position one need bachelor or master qualification and then the salary is Rs 25-35k avg whereas in abroad for the same receptionist position the salary is Rs 300k-350k.",Wage Comparison,Economic Inequality,Negative,Negative
ekdam ramro content 👌👌,Appreciation,Content Quality,Positive,Positive
Because youth want to chin tapak dam dam with kuireni,Humor/Sarcasm,Migration Motivation,Neutral,Neutral
"Kam napayara desh xadeyako haina hami aafai ley Garda afno desh xadna parako ho Kanun banako xa kanun aanusar hidna chadenau",Self-Reflection,Self-Accountability,Neutral,Neutral
म केहि समय पछि देश फर्किदै छु ।,Personal Sharing,Return Migration,Positive,Positive
Thumbnail copied from Indian Youtuber,Criticism,Content Quality,Negative,Neutral
its a trend,Dismissal,Migration Trend,Neutral,Neutral
"नेतालाई गालि गरौ समस्या समाधान हुन्छ । काम नगर्ने प्रवित्ति छ हजुर। सानोभन्दा सनो काम देखि ठुलो काम गर्न बिहारबाट बिहारि आउछ्न। तर नेपालि काम नेतालाई गालि गर्‍यो बस्यो।",Criticism,Work Ethic,Negative,Negative
"Yo karar maa jaagir khuwane banda garnu parxa. Afnata parne , raajnitik ma hune ko maanxele job pauxa.",Political Criticism,Nepotism,Negative,Negative
"Reasons: 1. Political instability 2.lack of opportunities 3. Lack of private job that offer salaries 4.lack of establishment of factories and industries. 5.low vacancy on government job 6.salary scale is very low",Analysis,Migration Reasons,Negative,Negative
because we lost our beloved king to these piece of shits.,Political Statement,Monarchy Nostalgia,Negative,Negative
Yo information ligerw ahile ka neta chor hari 60 age pani nadine tech use garla vanni dar 🙂,Cynicism,Government Inaction,Negative,Neutral
"मैले पछिल्लो समयमा धेरै जब खोज्ने प्रयास गरे, 4-5 ठाउँमा Interview दिए । तर पनि कुनैपनि ठाउँमा छनोट हुन सकिन !",Personal Sharing,Unemployment,Negative,Negative
Dam bro man ma nai lagyo,Appreciation,Emotional Impact,Positive,Positive
"aba yesari sochauna sabai yuba bidesh gai halxan ani tespaxi remmitance aouni paisa le hami jasta neta ko pet palna vai halxa",Cynicism,Remittance Critique,Negative,Negative
I noticed Editing and sound effects is very improve on this video. And You always great.❤ Lots of love 💝,Appreciation,Content Quality,Positive,Positive
I am currently a 11th grade student . My teachers suggests us not to leave this country . But i fear what if i cant sustain myself in this country?,Personal Sharing,Youth Anxiety,Neutral,Negative
Ma nepal aauxu voli japan bat Runa man lagyo yo vdo herer,Emotional,Homesickness,Neutral,Negative
Nepalese outgoing : Indians incoming !,Observation,Demographic Shift,Neutral,Negative
Nice topic based on true story ❤,Appreciation,Content Quality,Positive,Positive
J sukai hosh,Dismissal,Resignation,Neutral,Neutral
"यस्तो विडियो हेर्न त्रि.वि र मन्त्रिहरुलाई हेर्न फुर्सद मिलोस् ‌बहस हुनु पर्ने कुरा बहस् होस् बाँकी कुरा देश छाड्ने वालाको एक युवा म पनि हो।",Call to Action,Policy Reform,Neutral,Neutral
"Today is my ielts exam if I have to get a good score, I leave Nepal within a few months.. pray for me guys 🙏🏻",Personal Sharing,Migration Intent,Neutral,Neutral
Main root problem is democracy .. Nepal was not ready for democracy.. we need one supreme leader ..,Political Opinion,Governance Model,Negative,Negative
Next video should be on resources to invest on  in nepal,Suggestion,Investment,Positive,Neutral
sahi kura ho last ma bidesh nai jane force nai huncha 😊,Observation,Migration Inevitability,Neutral,Mixed
🎉🎉🎉keep it up,Appreciation,Content Quality,Positive,Positive
"Mero euta matra concern or euta matra question...... Desh ko bare ma socheko xa ya fir kasailey socheko xa....???",Frustration,Political Accountability,Negative,Negative
Ma pani 1 month vayo .. leaved our nepal ..,Personal Sharing,Migration Departure,Neutral,Negative
"Brah, tell something we all already don't know for decades now.. 28 minutes of boilerplate content.",Content Critique,Content Quality,Negative,Negative
"You're Rising,keep going ❤🎉",Appreciation,Content Growth,Positive,Positive
Nepal ka Buda neta kukur haru ley garda hamro desh khatam vayoo,Political Frustration,Political Failure,Negative,Negative
"Japan ma mero 15 year old japanese sathi kta le 6 months part time job garera 5 lakh ko computer setup kinyo Ma 15 barsha ma nepal ma facebook ma love is fake wala post gardai thiye 🤧",Comparison,Economic Comparison,Negative,Negative
Ma bidesh jana dhilo gare jasto,Personal Sharing,Migration Regret,Neutral,Neutral
"Today fri, sep, 27 - 2024 This my Last Comment from Nepal... I'm Labour worker... 🙏",Personal Sharing,Migration Departure,Neutral,Neutral
Aru saman bechne haame manxey bechne,Cynicism,Brain Drain,Negative,Negative
"Long turm planning ani mehinat tyo pani janata ma dhairyata lagansilta tyag derei kura sahera strong strong manxe jasle aaphu jastai talant lai sath ma rakhera kam suru hunxa ni ani matra pauxa desh ley pratifal",Reflection,Nation Building,Neutral,Neutral
The way he say his channel name THAHA in every sentence capitally😂😂,Humor,Content Style,Neutral,Positive
"Pahila nepal ma rajneeti niyukti banda garnu parcha , party ko jhole haru lai sabhai thau bata nikalnu parcha",Political Reform,Political Reform,Negative,Neutral
"ma pani lagvag 9 barsa bidesh basera aaye yaha kam gareko 3 mahina vayo paisai didaina jhagada kati ko ko sanga xahi garnu",Personal Sharing,Labor Exploitation,Negative,Negative
"6:00 Background music reminds me of aba ta ma farkinna hola song 🥲",Humor/Nostalgia,Cultural Reference,Neutral,Mixed
sab chor neta harulai heraunu parne yo video.. thank you bro for the video,Appreciation,Political Criticism,Positive,Positive
"K garnu +2 padhdaa samma Nepal mai kehi garxu garera dekhauxu vane katti aat thiyo. Nepal KO ahile KO haalat herdai bidesh jaa jaa Matra vanxan. Janata man xaina Tara k garnu dinvari mori Mori kaam gardani vane jasto salary nai paaudaina.",Frustration,Low Wages,Negative,Negative
"sarai naramro lagchha...desh ma basna ta man chha ni k garnu ....basne khalko environment nai chhaina 😕",Frustration,Hostile Environment,Negative,Negative
This is request to all viewers please like this channel. Yo vedio hamro marma ho estai vedio banaunu dai Keep it up ❤❤❤ Jai Nepal🙏🫡,Appreciation/Call to Action,Content Quality,Positive,Positive
Ahead to foreign 😢,Personal Sharing,Migration Intent,Neutral,Negative
Malai ta video herera jhan tanab vo 😢😢😢😢,Emotional,Distress,Neutral,Negative
abba mero nee palo ayo bidesh janea . yo desh maa future nai xaina,Resignation,Hopelessness,Negative,Negative
"युवा जति पैसा कमाउन दाैडिने देशकाे विकृति विसंगति नहेेर्ने अनि कहाँबाट देश सुध्रिन्छ र युवाले देशमा अवसर पाउछन् जहाँ विग्रेकाे छ त्याहाँ सुधार्नु पर्याे",Criticism,Youth Priorities,Negative,Negative
I m that Nepali who came tried and failed so back to bidesh again 😢,Personal Sharing,Return Migration Failure,Negative,Negative
"आफ्नो गाउँ घुमेपछि मनमा उब्जिएको प्रश्न ...?? अब कति समयमा देशलाइ 'युवामुक्त देश' घोषणा गर्न सकिएला????🥺",Concern,Youth Exodus,Neutral,Negative
"मलाई स्वास्थ्यले अलि साथ न दिएर मात्रै हो नत्र म पनि यो देशमा कुनै हालतमा बस्ने नै थिइन । यो देश भने म जस्तो साधारण मान्छेको लागि हुदै होइन ।",Personal Sharing,Exclusion,Negative,Negative
Dai hajur KO address bhairahawa ho Hana Dekhey dekhey jastai laayo,Personal/Trivia,Creator Curiosity,Neutral,Neutral
Main reason vanako yeta nepal maa politicians haru vanda ni comedians haru xan,Political Humor,Political Failure,Negative,Neutral
म पनि अब केहि समयमा देश छार्दै छु 😢😢😢,Personal Sharing,Migration Intent,Neutral,Negative
"Savai lai thaha xa to sav kura Thaha nahuni vaneko tei kp oli prachande ra shere lai ho ra tin ka party ka jhole lai ho yo video kp oli lai tag garauna ..😢😢😢",Political Frustration,Political Blame,Negative,Negative
"Bro euta kura vanum, America, Australia ma aako yuwa haru 80 percent kunai kaam ko hudainan, tini haru ley katai pani kehi na payera yaha loan liyera sab sey thotro collz ma padhchan.",Criticism,Nepali Diaspora Critique,Negative,Negative
Police jawan ko behal xa Nepal ma police ko salary le aafno pariwar pani palnu sakdeina,Concern,Low Wages,Negative,Negative
Kp Oli sher Bahadur prachanda ko jhola boknu parxa desh bikash hunxa 😂,Sarcasm,Political Corruption,Negative,Neutral
Nepal ma kaam xaina but moh nepal ma basira $400/$500  monthly earn garxu and im happy with that,Personal Sharing,Contentment,Positive,Positive
chor neta lai desh bata lakhetnu parcha.,Political Demand,Corruption,Negative,Negative
W vid🎉🎉🎉,Appreciation,Content Quality,Positive,Positive
Why do you think those 'Netas' care..😆. They want money for them not for us.,Cynicism,Corruption,Negative,Negative
Jhole harule Nepal Desh sakyo,Political Frustration,Political Failure,Negative,Negative
Januii parxa yo desh ma basnu hudaena  kina ki nepal ma basyo vaneh kangal vainxa,Resignation,Economic Despair,Negative,Negative
"Gr* show, Brother . I n my opinion . political stablity + . encourage foreing investment in NEpal ie less dependancy of foreign land",Analysis,Economic Policy,Neutral,Neutral
Japan anime le garda gako ho 😂,Humor,Migration Motivation,Neutral,Positive
Hamile kehi Action Lina parne Din aai Sakeko Dekhinxa 😢,Urgency,Political Action,Negative,Negative
Keep it bro  new knowledge are unlocked,Appreciation,Content Quality,Positive,Positive
नेपालमा बजार नै छैन डाक्टर नर्स इन्जिनियर यही पढेर विदेशमा राम्रो जागीर खाएका छन् तर नेपालमा काम नै छैन काम पाए तलब छैन।,Frustration,Job Scarcity,Negative,Negative
Content overlap nagarao hai... Unsuscribed vaiyela hai....,Criticism,Content Quality,Negative,Negative
"malai euta sir le vannu vayeko kura yaad aauchha: ""yethartha ra adarsha ka kura beglai hunchha"" :)",Philosophical,Pragmatism vs Idealism,Neutral,Neutral
Ma BHMstudent 4 years of working experience 5 star hotel ma chu Tara salary basic salary 18k age 29 paugi sakyea aarko barsa bidesh paugchu ma pani,Personal Sharing,Low Wages,Negative,Negative
Yo sab bahunbaad ko karen ho hajur desh kangaal vayeko xa,Caste Criticism,Caste Inequality,Negative,Negative
"Demographics bonus को बारेमा धेरै ठाउँमा छलफल गर्ने गर्छु तर दुर्भाग्य नीति निर्माण तहकालाई कुनै ज्ञान,योजना र नीति निर्माणमा ध्यान छैन।",Policy Criticism,Demographic Opportunity,Negative,Negative
Ps subscribe and support these type of channels.,Call to Action,Content Support,Positive,Positive
Lots of love from UKC ( United Kingdom of Chitwan),Humor,Regional Humor,Positive,Positive
"साथी यो सबै भयाभह अवस्थाको समाधान के कसरी हुन्छ भन्ने बारे हामी नै युवाहरुले जमघट छलफल र एक्सन को योजना बनाउने प्लाटफम बनाऔं न 🙏🙏",Call to Action,Youth Organization,Positive,Positive
Keep it up 💪👍❤,Appreciation,Content Quality,Positive,Positive
Keep it bro your videos is really nice ❤❤,Appreciation,Content Quality,Positive,Positive
