comment,intent,primary_driver,value_orientation,affect,verdict
"यस्तो जटिल यात्राको बारेमा अध्ययन अलिकति पनि पुगेन। अलि धेरै मेहनत गरेर अलि राम्रो vdo बनाउनु पर्यो भाई। यो एकदमै सतही VDO भयो। पोर्चुगल मा कुनै तथ्य बिना 50 हजार नेपाली छन् सम्म भनेको सुनियो, यो अलि बढी नै भयेन र🙈🙈 सायद अहिले सम्म कै कमजोर प्रस्तुति भयो यो।",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,correct
hat&#39;s off to you sir for your quality content.,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,correct
"Dherai Dherai Dhanyabaad mitra... timro present garne tarika nai kati vabuk lagyo. Nepali le Nepal banaunai parcha... sahi vote garne bela aayeko cha aba. sahi lai nachunne ho vane vaaaard mei jawos sabai. murkha ko pani had huncha... paisa ka tattu haru, hami sabai.",Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,correct
Mo US gako ho illegally jati vaninxa teti khatra pani xaina… panama jungle 2/3 matra hoo hidne … hajur le vanne ko batoo ahile ko ho pahile tiyoo batoo hudai jadina the South America samma…,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Paisako Lagi kina janu paryoo katha morey hunxa ..,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Mero dai ko sathi pani 45 lakh ma illegal gako xa usa<br>Daaku haru ley sabai lutdinxan kattu samet,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Yesari janey pagal haru hun,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
America ra Europe jana lai pahila consultancy bujhera jana parcha😍😍❤️,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,correct
That&#39;s why knowledge is important.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
"2014 tir ma Schengen country vaner hineko thye 9 month russia ani donkey route hudai estonia samma pugeko thye , paisa ra samay barbad ani jindagi ko mahatopurna umer refugee vayer basnu parne  sabai kura ko yaad , pressure ani torture ajhai nai taja chha.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Thank you soo much dai for this documentry😊,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,wrong
Again we need details information about Nepal to USA illegally…<br><br>Only channel to give real content,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic,wrong
Such a great content.,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
I am just curious if they are ready for spent that much money why don&#39;t they use legal way to reach usa and others country,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
US jana kati samma kharcha huncha😅😅😅😅😅😅,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Dv vareko ta मतलबै भएन नी,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Very well said,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Well Done bro as always you are a star. Thank you 🙏🙂👍,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
"Congratulations Dipesh, I admire your videos. Thank you for making meaningful vlogs. At least you are doing something good for Nepali <a href=""http://people.you/"">people.You</a> are potential to become Nepali&#39;s Dhruv Rathee, and leave behind all the mainstream Nepali TV Chanels. Most of them are compromised and corrupted.  Please keep working.",Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,wrong
"Yes, You are right we receive more than 100 Nepalese coming from different parts of Europe i.e Romania 🇷🇴, Croatia 🇭🇷, Bulgaria 🇧🇬 etc..",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Qualtiy content,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
"Great content, keep it up ❤️",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,wrong
Such a informative video thank you so much sir.. ❣️❣️,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,wrong
"Awesome content as usual. Keep going, Dipesh Bro!",Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,wrong
another amaing vid,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
You are contain are marvelous keep up the work. :),Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Good content,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Bro Respect+ for your Quality content.. On point research and commitment for content 👍,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Best youtube channel in nepal..bestest contents..keep growing..we all love you,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic,wrong
Shit  man .<br>mah nii Portugal jana lagya theya yesari naie 😅,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
"Ramrari padha kta ho, ramro jaagir khau, sano tino business gara tei ho, yesto kam chai nagara ..",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
Informative video keep going,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
love your content  . Hope see more videos ❤️,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,wrong
Bro Sky SIM ko rise ra downfall ko Barey ma new video paum na plz ❤️,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,wrong
Nepal ma garne taw ho ...<br>Tara garne k bato k ? Ma sanga degree taw xa Tara haat ma kunai sip xaina ....,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic,correct
Love your content. Hope to see more,Neutral/Observation,Economic Necessity,Individualist-Self,Hopeful/Motivated,wrong
Yeah man some of my villagers paid 40 lakh to go USA through illegal way and they made it but I always think it is a risky way <br>Your life&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;usa,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,correct
