comment,intent,primary_driver,value_orientation,affect
30 million Nepalese should be watch this video,Recommendation,Content Spread,Positive,Positive
"This isn't issue for Nepal only rather is issue for all developing nation. Other side of globalization but when globalization stops, we may get chance",Analysis,Global Context,Neutral,Neutral
"Optimistic video, but the reality of our country is same as Haiti. **Until and unless we get rid of corruption nothing will change**.",Critique,Corruption,Negative,Negative
Namaste from Romania 🇷🇴,Greeting,Diaspora Location,Neutral,Positive
"Everyone is waitinhg just for one opportunity to go abroad. Nepal is doomed. Due to short sighted politicians, nepal will remain poor and may be taken over by india in future.",Pessimism,Political Failure,Negative,Negative
Well done 👍 brother,Appreciation,Content Quality,Positive,Positive
Ramro video ❤😊,Appreciation,Content Quality,Positive,Positive
Nepali need to address the most important issue of their nation. Pollution..Air pollution.,Environmental Concern,Environmental Crisis,Neutral,Neutral
अब म नि चाडै जान लागेको छु ।💔😢,Personal Sharing,Migration Decision,Neutral,Negative
Aune pani xa ho yo nepal ko youtobe haru bakbas video banauxa,Criticism,Content Quality,Negative,Negative
"Nepaliko IQ 43 cha, so brain drain bhanda pani, muscle drain bhanna thik hola.",Cynicism/Humor,Brain Drain,Negative,Neutral
"First kura ta most of the nepali haru labors Kam ma aauxa including ma...taivayara yasto investment ko knowledge's nai hudina...",Self-Reflection,Investment Knowledge Gap,Negative,Neutral
Brain drain huna lai brain hunu ni paryo ni? Brain vako vaye bidesh ma gayera bhada hanne soch aaudai aaudaina thiyo hola.,Cynicism,Brain Drain,Negative,Neutral
I am also thinking of it,Personal Sharing,Migration Consideration,Neutral,Neutral
Hamro desh ko sabai kuna ma small business industris ra agriculture hudaina hami ley job ne paudaina ani afno desh ma basna ne paudainau😢,Frustration,Job Scarcity,Negative,Negative
sayed aali samaye ho tmlay nai yo desh xodxau..😕,Cynicism,Creator's Future,Neutral,Negative
Yo video sakdo share garau hai 🙏🏻🙏🏻🙏🏻🙏🏻,Call to Action,Content Spread,Positive,Positive
Informative video for all nepalese 😊❤,Appreciation,Content Quality,Positive,Positive
"Main kuro Timi ek le Afno voli ko lagi aaja k gardai xau ? Vanna kura hunxa hola jasto lagxa malai",Call to Action,Personal Accountability,Neutral,Neutral
"Yaar kura ta thik ho. For nepal government my family remittance is more valuable than what its own citizen esrning money. I barely make 4-5lakh meanwhile mero gjar matra 1.5l remmott aucha for loan payment",Personal Sharing,Remittance Priority,Negative,Negative
अझै ओलि प्रचण्ड शेरेलाइ भोट हालौ मासु चिउरा खाउ 😂😂😅,Sarcasm,Vote Buying,Negative,Neutral
"jaba samma 2084 ko chunab ma 1/3 (ek tihai janta) polpulation jo bahira desh ma chan..uniharu dashain tihar jastai election bela chutti liyera Nepal ko chunab ma vote halchu nai bhanera aayo bhaney sure naya party ko bahumat aaucha",Political Strategy,Election Impact,Neutral,Neutral
well delivered dai,Appreciation,Content Quality,Positive,Positive
"if your country betrays you , you don't turn back.",Resignation,National Betrayal,Negative,Negative
Sanjay bata ..😊,Personal Reference,Content Discovery,Neutral,Positive
Yo smseya ko sabhadan bhastrachari neta ko sampati bedesy bank bata firta layuna sake sabai sabadan huxa,Policy Suggestion,Anti-Corruption,Negative,Neutral
Yesto type ko vid tw malae gernae man lagdaena aba tw,Disengagement,Content Fatigue,Neutral,Neutral
नयाँ युटुवर साथिहरु यता हाजिर हुम है 😢,Self-Promotion/Networking,Creator Community,Neutral,Neutral
"I want to study ca but since its too difficult so i want to involve in IT sector in Nepal. What should I study ? What skill to learn ?",Career Question,Career Guidance,Neutral,Neutral
"I won't stay in Nepal, earn and pay tax here so that the kids of the Politicians and Corrupt leaders will enjoy their life abroad!!",Cynicism,Tax Injustice,Negative,Negative
Hope our country will developed sooner Jay Nepal 🇳🇵,Hope,National Hope,Positive,Positive
Nepal is collapsing and soon  nepalese  wont be able to enter their own country..,Pessimism,National Collapse,Negative,Negative
Nepal ko vanda dherai aaru country ko dherai explain gareko xa tnc le,Criticism,Content Focus,Negative,Neutral
Thank you for your contribution  to the country hopefully our eyes will open soon.,Appreciation,Awareness,Positive,Positive
background music chai kina ? remove it .,Technical Feedback,Content Quality,Neutral,Neutral
history ko video,Appreciation,Historical,Neutral,Neutral
To my every brother and sister i only want to say after getting experience or 32 35 come in home land and share knowledge to nepali people too,Advice,Return Migration,Positive,Positive
"जसरि हुन्छ लाइक भिउज बटाउने हुटहुटिमा लाइक भिउज लाई मत्लप नगरि जुन कुराहरु उठाइराख्नु भको छ मनै देखि उच्च सम्मान छ❤❤❤🙏🏿🙏🏿🙏🏿",Appreciation,Content Values,Positive,Positive
"It's all about economics. Until you don't give economic freedom to rise there is no point talk about democracy. Nepal is for 1% clevers who can cheat",Analysis,Economic Inequality,Negative,Negative
This type of contents helps a lot to educate youth. Keep it up👏,Appreciation,Educational Value,Positive,Positive
Good one Dipesh 👏,Appreciation,Content Quality,Positive,Positive
♥️🇳🇵 म पनि अहिले साउदीमा हो 🇸🇦♥️,Personal Sharing,Labor Migration,Neutral,Neutral
"About Remittances, it would continue to be useless until and unless the Government is Influenced to make infrastructure, investment friendly policy by the Rich NRN Communities.",Analysis,Remittance Utilization,Negative,Neutral
पंछी फर्केर आउ....,Metaphor/Plea,Diaspora Return,Positive,Positive
This topic came in my English exam. 😙,Personal Trivia,Content Relevance,Neutral,Positive
Good to see such a great topic. Well put research TNC..,Appreciation,Content Quality,Positive,Positive
"Private company ni ko loot chaliraxa ra jhan sarkarle Pani teti nai sahayog gari raxan chor ra fataharuko desh vayo ABA ta",Frustration,Corporate Corruption,Negative,Negative
"Diaspora kai kura garda indian haru ko diaspora india sanga ekdumai connected chha,,, but Nepali haru ko case ma NRN ko second generation Nepali le nai Nepal lai ruchaudainan.",Analysis,Diaspora Disconnect,Negative,Neutral
I don't think this is the brain drain rather it is the brain train,Reframe,Migration Reframing,Neutral,Neutral
"हामी सर्वसाधारण जनतालाई जहाँ गएपनि आफ्नै देशको माया लाग्छ,याद भइरहेको हुन्छ तर यो निती नियम सरकारले बनाउछ,चलाउछ उनीहरू ले यस्तो कुरा को video हेर्दैनन",Lament,Government Disconnect,Negative,Negative
Dheri Ramro Lagyo Dai 💜🌹,Appreciation,Content Quality,Positive,Positive
"Settle nai huni gari bidesiney Nepali haru ko demographics pani raakhnu parthyo. Kun Caste/ samudaye ko nepali haru baahiriyeka chhan ?",Data Analysis Request,Demographic Research,Neutral,Neutral
Binod Kunwar is one of Example who is investing in Nepal in sports sector after fullfilling his own and Household Needs👏👏,Positive Example,Diaspora Investment,Positive,Positive
Ya babu timi napa aafno kamaiki,Dismissal,Irrelevant Comment,Negative,Neutral
jaura ra kamau yo padai mf ho,Dismissal,Work Ethic,Negative,Neutral
नेपालमा ब्रेन ड्रेन धेरै नै बढ्दैछ। प्रतिभा विदेशिनु देशकै लागि ठूलो क्षति हो We needs to Change This trend.,Concern,Brain Drain,Negative,Negative
Will viral this video❤,Encouragement,Content Spread,Positive,Positive
"Nepali youth are going abroad and indian are migrating to nepal I will be no surprised if nepal will be next india 😐",Concern,Demographic Shift,Negative,Negative
"hjr kai video ko starting ma ielts ko ads aauxa k vannu aba",Irony/Humor,Advertising Irony,Neutral,Neutral
"aru ko example dinai pardaina, hijo ko hamro katha here hunxa",Suggestion,Historical Perspective,Neutral,Neutral
Rise Rule Roar,Motivational,Youth Empowerment,Positive,Positive
Love form birgunj,Greeting,Regional,Neutral,Positive
"Correction at the start, The news should have said ""Daily 4400 Youths go Abroad"" insted of 2000 as according of the 2024 Data",Fact Correction,Statistics,Neutral,Neutral
Remittance maximum India ra China ma luxury ko saaman kinna ma jane bhaeko le Nepal ma lagani garne kam nai chha.,Analysis,Remittance Drain,Negative,Negative
"Bro please read alan greenspans ""the age of turbulence"" , it will help a lot regarding this topic",Suggestion,Economic Literature,Positive,Neutral
Ma panii xordaii xuu xettaaii,Personal Sharing,Migration Intent,Neutral,Neutral
malae ta pugi sakyo ja gayo tei kure kurai garnu parxa na system ramro xa,Cynicism,System Critique,Negative,Neutral
Jhat kp moryo vane balla naya nepal banxa,Political Cynicism,Political Leadership,Negative,Neutral
नेपाल मा मान्छे नै छैन कस्लाईं व्यापार गर्ने ?? 🤔,Concern,Population Decline,Negative,Neutral
"I am a recent graduate, but I am unemployed",Personal Sharing,Youth Unemployment,Negative,Negative
"13:05 is one of the most important point that i personally thought sometime also",Agreement,Content Resonance,Positive,Positive
"Beautifully well balanced argument on Yevgeny Kuznetsov's theory. I would like to add one more criticism to it - the replacement that occurs in the absence of the working population.",Analysis,Diaspora Theory,Neutral,Neutral
Editing style is changed ?,Observation,Content Style,Neutral,Neutral
Ma nepal aauxu voli japan bat Runa man lagyo yo vdo herer,Emotional,Homesickness,Neutral,Negative
TNC best research after a long time 😅❤,Appreciation,Content Quality,Positive,Positive
"But dai there is another problem in Nepali people In Nepali most of the old as well as young too Have just fixed there party Like, some has fixed emale and some congress",Analysis,Voting Pattern,Negative,Neutral
Such a informative video. Thank You Dipesh bro,Appreciation,Content Quality,Positive,Positive
Waiting and exciting for watch your video.. ❤🎉❤🎉,Anticipation,Content Enthusiasm,Positive,Positive
