comment,intent,primary_driver,value_orientation,affect
"Nepal really needs to follow 'The Mahendra Path' for stabilisation anyatha kunai baad ya kunai bideshi tantra le desh sakkauna bahek aru kehi gardaina. Sabai jana ek bhayera aafno aafno thau bata garne ho bhane asambhab kei panj chhaina.",Political Opinion,National Identity,Neutral,Neutral
I wasn't expecting MAYA!,Surprise,Content,Neutral,Positive
"Timestamps (Powered by Merlin AI) 00:04 - Consideration to stay or leave Nepal 04:27 - Discussion on staying or leaving Nepal",Information/Utility,Content Navigation,Neutral,Neutral
"The thing about competition is, if the number of competitor is less then the quality of competition is degraded as well.",Analysis,Competition Dynamics,Neutral,Neutral
"Dheraii naii ramrro fact vannu vayo daii,so ahile moh India ma kaam gardai Xu Ani mero aafno sochai nii testai xa kii 1 din moh aafnai desh ma farkerw jane Xu",Personal Sharing,Return Migration Plan,Positive,Positive
as a class 12 pasout just now I am also in such a dilemma for my future,Personal Sharing,Youth Dilemma,Neutral,Neutral
मैले यो कमेन्ट छाडेको छु । म नेपालमै बसेर केहि गर्नेछु मेरो परिवारको लागि ❤ ।,Personal Commitment,Staying in Nepal,Positive,Positive
Leaving this shit,Resignation,Frustration,Negative,Negative
What a scary truth😢,Emotion,Content Reality,Neutral,Negative
भाइले भिडियो को अन्तयतिर भनेको भनाईले सारै भावुक बनायो र आशआदी पनि बनायो,Emotion/Hope,Inspirational Ending,Positive,Mixed
जय देश 🇳🇵❤,Patriotism,National Pride,Positive,Positive
"Bro, I am also going abroad.❤❤",Personal Sharing,Migration Decision,Neutral,Neutral
Boom Boom 💥,Excitement,Content Quality,Positive,Positive
Ma jun kuraley nepal bsnw chahanxu tei kura tapaile bhnubhayo❤. Asa xa ekdin maile bidesh batw  bhitraye ko dollar ley mro desh kai naharaos,Personal Sharing,Diaspora Hope,Positive,Positive
i  also think same,Agreement,Content Quality,Positive,Neutral
"They're looking for saviour, you look for safety ❤",Philosophical,Social Observation,Neutral,Neutral
Tai Kura lay nai ho ma pani back to Nepal vako kaie garnu xa afaienai desh ma ❤❤❤,Personal Sharing,Return to Nepal,Positive,Positive
"It's a harrowing data and almost an apocalyptic situation we are in today. A dire situation as if South Vietnamese people desperately living Hanoi in 60s",Analysis,Migration Crisis,Negative,Negative
Pls make video about IT sector,Request,Topic Request,Neutral,Neutral
Mailey yo video just time pass ko lagi click gare but this video..... 😮😮😮😮,Surprise/Appreciation,Content Impact,Positive,Positive
"I am commenting this from bidesh. I never wanted to come. I was a nurse but after by bachelor i lost my hope.",Personal Sharing,Reluctant Migration,Neutral,Negative
I wanna be that kanxa dai❤,Aspiration,Role Model,Positive,Positive
"Haami afno desh lai recover garney soch ma leuna parcha. Ek huna parcha. Balen Shah le ma matrai antim saas ho vanera daabi lagayesi man ekdam siringa vayeko thyo.",Analysis/Hope,Youth Unity,Positive,Positive
Nice deshmai kai garna parxa vanni sooch xa but economically struggling family,Personal Sharing,Economic Hardship,Positive,Negative
"At least , firstly try to stay here in nepal , i am one of them ..... ❤ padey lekhey ko Youth vaye po desh banxa , kam nalagdo system change hunxa ....",Encouragement,Youth Responsibility,Positive,Positive
Make a video on pokhara about challenges tourism,Request,Topic Request,Neutral,Neutral
Aako vedio man bata man paryo,Appreciation,Content Quality,Positive,Positive
One video 100 knowledge,Appreciation,Content Quality,Positive,Positive
नया youtube साथिले एक अर्कालाइ सपोर्ट गरौ है🎉🎉🎉🎉🎉,Community Building,Creator Support,Positive,Positive
Feri Nepal aau (yaha dherai job pauna milxa aba ) 👍👍👍😍😍,Encouragement,Return Migration,Positive,Positive
"एउटै मन कतिपटक जित्छौ भाई यार॥ सबै ठीक छ । ""भौतिक सुविधाको मात्र पछि लागेर मात्र जीन्दगीमा शान्ति मिल्दैन"" भन्ने कुरो थपिदिएको भए सुनमा सुगन्ध हुनेथियो।",Analysis/Nuance,Value Reflection,Positive,Positive
Dai omini scandal ma vedio banaunus na.big fan ❤,Request,Topic Request,Neutral,Neutral
mero ni abo 12 sake xi plan tei thiyo tara plan change garum jasto lago ❤️,Personal Sharing,Plan Change,Positive,Positive
"if leaving country increase rapidly day by day , in certain time , country face huge , economic cricis and youth !!",Analysis,Brain Drain Risk,Negative,Neutral
"१५ वर्ष अगाडी मैले पनि यही सोचेको थिए ! आज सम्म कठै मेरो देश । अब तपाईको video ले अझै पनि म आशा गर्दछु . But again I dont think with this kind of situation we should stay still in Nepal 🤔",Personal Sharing,Mixed Feelings,Neutral,Mixed
sai hoo,Agreement,Content Quality,Positive,Neutral
FERI Nepal aau (yaha dherai job pauna milxa aba ) 👍👍👍😍😍,Encouragement,Return Migration,Positive,Positive
sai hoo,Agreement,Content Quality,Positive,Neutral
"For growth in IT sector in Nepal. The government should make international payment good and work to improve it",Policy Suggestion,IT Sector,Positive,Neutral
"Simple cha, Jobs haru create garnu paryo, government le create garnu pardaina jobs, buisness garney anukul environment, policy ra system matrai banayo bhaney manchey haru afai le Jobs create garchan.",Policy Analysis,Job Creation,Positive,Neutral
I am crying with this .. sold my nationality for happiness. After a decade..i think I left that happiness behind in my own country ❤,Emotion/Regret,Diaspora Remorse,Neutral,Negative
Dubai ma basera yo video herda ta kaile nepal farkim vayo ho😢❤,Homesickness,Diaspora Emotion,Positive,Negative
Being a modern slave in foreign which will take off our own experience for living,Observation,Migration Reality,Negative,Negative
"Comment  section is more 😢sad than the video it's so saddening to see a reality of our country nobody like to leave their home country I bet everyone",Empathy,Comment Section Reality,Neutral,Negative
Bro lea vedio lea chai maan ma keai chai banuxa,Appreciation,Emotional Impact,Positive,Positive
Videsh bro,Dismissal,Migration Intent,Neutral,Neutral
"Euta major factor chai Health security pani ho. Loan, emi ani basic expenses ramrari afford garna nasakeko bela",Analysis,Healthcare,Negative,Neutral
It sector ley india lai dharai positive grow gari sakyo aaba nepal ko palo ❤,Hope,IT Sector,Positive,Positive
please make a content on fixed ma paisa rakhera basne ra aseet ma invest garnu satta materials ma paisa invest garne trend,Request,Financial Content,Neutral,Neutral
Ma pani usa  jana lageko xu hai.ma pani nepal tw farkidina hola,Personal Sharing,Migration Intent,Neutral,Neutral
Thank you for using the photo of my house's shutters without permission.,Complaint,Content Ethics,Negative,Negative
"I believe that most of the Nepali students who have been studying abroad will return back home and start working in the country with experience,  knowledge and skills",Hope,Return Migration,Positive,Positive
"Probability Ra reality to different things k huncha vandha ni ! self growth ma Manche ko focus huncha home country or foreign country is two choices we all Nepali  have",Analysis,Pragmatism,Neutral,Neutral
"When issues like corruption, mismanagement, dirty politics, and transportation are resolved, we will certainly do our best to return to Nepal and contribute.",Conditional Return,Diaspora Conditions,Neutral,Neutral
"Yo video ma college ko homework gardei suni raxu ...ma nih janxu bidesh due to ghar ko pressure",Personal Sharing,Family Pressure,Negative,Neutral
"Like others I left the country, but unlike others my goal is to bring not only money but my expertise and skills for my country.",Personal Commitment,Diaspora Return,Positive,Positive
kura haru jati share garnu vayo sabai milyo ma seetw ani mero friend group ma manai ho bidesh janna vanni 4 jana ko group bata eklo basney wala xu,Personal Sharing,Peer Pressure,Neutral,Negative
"31 yr old Nepali - (British national) -  In the UK and other global economies, the rapid advancement of AI and digital systems is transforming the job landscape",Analysis,AI Impact,Negative,Neutral
Me watching this after the F1 US visa grant.,Personal Sharing,Migration Context,Neutral,Neutral
Mayale sansar thamosh nathamosh ….Nepali ra hamro desh Nepal sadhai hunuparcha!,Patriotism,National Identity,Positive,Positive
Go go that's it that's all,Dismissal,Neutral,Neutral,Neutral
Nepal ma education sath sathai skills pani provide hunu parxa ani education system ma ni farak lera aayo vane,Analysis,Education Reform,Positive,Neutral
The main root is government. Government should provide system.,Analysis,Political Accountability,Negative,Neutral
"Lastai man chuyo Aafno desh vanya aafno aafno desh ho Janmavumi nepal Karmavumi bahira vayo😢 Hope chardai nepal aayera basne environment create hos",Emotion/Hope,Diaspora Longing,Positive,Negative
"Dai the video the concept and the creation of hope was fabulous. But what you said about IT and outsourcing has some problems with it",Critical Analysis,IT Policy,Neutral,Neutral
"A bit emotional😶 consumption गर्नु मात्र सफता हाेइन्। विदेश गएर मेराे जीवन त सुखि हाेला तर मेराे समाजमा कस्ताे असर पर्छ",Thoughtful Analysis,Social Responsibility,Positive,Positive
Lasta mah tei maya pani poila hindinxa paisa na bhaye kura kura nai ho risk lina lai capital xa bhane nepal basney,Frustration,Economic Reality,Negative,Negative
Totla bro keep going,Appreciation,Content Quality,Positive,Positive
Nepali drubh rathee❤,Comparison,Content Quality,Positive,Positive
Sabai software engineer huna sambav xaen kei agricultural ra natural wise ma pani established priority hunuparyo,Analysis,Sector Diversification,Positive,Neutral
"We can do it ma pani khi samaye paxi farkera  afnai desh ma khi garne xu rahara le hoina badataya le desh chodeko ho    love Nepal",Commitment/Personal Sharing,Economic Hardship,Positive,Neutral
"The data that you have presented in 2:20, the header of the document says Arrival and Departure of Nepali Citizens",Data Correction,Content Accuracy,Neutral,Neutral
I'm IT students but i dont hava any idea 😍,Personal Sharing,Youth Confusion,Neutral,Neutral
माया मुजि मोह ले मात्र के गर्नु देश को माया त लाग्छ नि |,Observation,Emotional Reality,Neutral,Neutral
purai sunepaxi aakha vari aashu vayo🥺🥺desh kaha jadai xa tw..?,Emotion,Patriotic Grief,Neutral,Negative
"परिस्थितिले जन्मभुमिमा कर्म गर्न नसकेपनि, मर्न पाउ।",Philosophical,Patriotism,Positive,Negative
Mo ta so  lod bedes basne ho tanna kamaune ani bank ko interest khadai basne ho ani sano business garne ho,Personal Plan,Financial Planning,Positive,Neutral
Just think in this era money is everything.choice is ur what u do .i made my decision .,Opinion,Economic Pragmatism,Neutral,Neutral
अबको १०० बर्षमा नेपाल शक्तिशालि देश मघ्येमा गनिनेछ,Hope,Future Optimism,Positive,Positive
"K garne family ko maya cha. Yha ta eat, sleep, play repeat,stuck in infinity loop bhai.😢 from-🇵🇸",Frustration,Migration Trap,Negative,Negative
Aama Nepal 😭,Patriotism/Emotion,Homesickness,Positive,Negative
Bro m chai raharle grda bidhes aayee harek nepali short timeko laghi bidesh aawnu nai parchh ..aamako Maya sanggai basda bujnu gharo hunchh,Personal Sharing,Migration Reality,Neutral,Neutral
यो देश छाड्ने हजारौं कारण छन् तर नेपालमा बस्ने एउटै कारण छ माया🤍🌷🇳🇵,Observation,Emotional Attachment,Positive,Mixed
Jhatta herda jindagi dami cha sabai thikxa hajur paisa kai kami cha... m age 35 not leaving country and never in future,Personal Sharing,Staying in Nepal,Positive,Positive
Tension vayara aayo,Emotion,Stress,Neutral,Negative
अाँखा बाट अासु अायाे😥 के भयाे यस्तो देश😭,Emotion,Patriotic Grief,Neutral,Negative
Ma pani aafni desh xodna ko laghi tayari gardai xu din rat na vani🙂,Personal Sharing,Migration Intent,Neutral,Neutral
Sir 1 video about Nepal Police,Request,Topic Request,Neutral,Neutral
"I have left my country, it's been 10 years. I agree and I don't and I have my own reason.",Personal Sharing,Migration Experience,Neutral,Neutral
"Data scientist,IT,sector ma job garna interest pani hunu paryo ni.....Afnu interest talent pani evaluate garnu parxa",Analysis,Career Advice,Neutral,Neutral
10 Yrs paxi yo comment herna lai xodeko xu..nice content bro,Personal Sharing,Future Reflection,Positive,Positive
Last ma ta dhannai royena 🥲,Emotion,Emotional Impact,Neutral,Negative
"म तेति जान्छुझै त लगदैना है साथी, तार येति भन्न चाइ मन थम्नै सकीन ।",Personal Sharing,Emotional Conflict,Neutral,Mixed
Think me immature but leaving country is good for our family ❤,Opinion,Migration Justification,Neutral,Neutral
Ekai choti sabai sodesh farkera neta haru lai bhagauda kaso hola? Aru le desh banayepaxi farkinxu matra bhanna ta sajilai kura ho,Political Criticism,Political Accountability,Negative,Neutral
नेपाल एक सति ले सरापेको देश हो। तेही भएर होला धमाधम विदेशिन बाध्य भएका,Cynicism,National Fate,Negative,Negative
"ok I understand your words.... tapaiko kura ni thik ho ... maile 2022 ma mero +2 sakkeya.... ma euta lower middle class bata belong garxu",Personal Sharing,Economic Struggle,Negative,Neutral
"I work a tech job in Australia, If i can get a remote job with the same money in Nepal, I will definitely return.",Conditional Return,Remote Work,Positive,Positive
Malai pani tei Kanxa dai huna ta mann xa tara k garnu 😢 badyeta xa k garnu,Personal Sharing,Economic Compulsion,Neutral,Negative
"Migration rokna nepal sarkar ra nepali janata ley even ghatauna sakena vaney, nepal ma basney ani buisness garney lai ekdam garo awasta auney xa .",Analysis,Migration Impact,Negative,Neutral
Nepal ma sabai mahagi ani kaam haru chhaina 10-12  kaam Garda family palnu sakdaina,Frustration,Economic Hardship,Negative,Negative
"नेपालमै बसेर डलर कमाउने चाहिँ अर्ध नेपाली हुन । सोझो हिसाबले हेर्दा उनिहरु नेपालमै बसेपनी, उनिहरुको श्रम र पसिना चाहिँ विदेशिकै लागि बगेको हुन्छ ।",Critical Analysis,Outsourcing Ethics,Negative,Neutral
१०० केजी सुन काण्डको बारेमा निकाल्न पर्यो शर,Request,Topic Request,Neutral,Neutral
8.15 off topic hoina bro maybe personal gayo jasto lagyo 😅😅,Feedback,Content Quality,Neutral,Neutral
Ekdam babal kura ki tara tapai k chahanu hunxa ? Varkhar bachelor saknu vayeko chha K garnu hunxa hajur?,Question,Career Guidance,Neutral,Neutral
Kam xaina 100 jana ma janma 1-2 jana lay garera k hunxa ra desh ma aru 98 jana chai bidesh jana bahek option nai xaina,Analysis,Job Scarcity,Negative,Neutral
In croatia Nepalese are largest migrants today.,Information,Migration Statistics,Neutral,Neutral
rahar ley haina badhyata ley ho hajur 🥲,Personal Sharing,Compelled Migration,Neutral,Negative
hello i'm from india but i'm nepali i was think same 🥲,Personal Sharing,Cross-border Identity,Neutral,Neutral
"काम गर्न देश वा गाँउ छोड्नु संसार भरिकै चलन हो , अहिलेको मात्र होइन पहिले देखिकै।",Historical Analysis,Global Migration,Neutral,Neutral
The light in the darkness 24:55,Appreciation,Content Quality,Positive,Positive
Romania dekhi portugal aako ma matra ho ki aaru ne cha let's see❤️❤️,Personal Sharing,Diaspora Location,Neutral,Neutral
Loksewa ko competition kaam hudaina bro loksewa ko seat nai ghaterw aaux.... Desh sanga arthatantra hunu paryo nii..,Analysis,Government Jobs,Negative,Neutral
0:40,Timestamp,Neutral,Neutral,Neutral
😢😢Aba Nepal vanney desh nai huddaina sabbai ley xoderaaa 😢😢😢janxannn,Emotion,National Decline Fear,Negative,Negative
LAST मा आएर भाबुक बनायो यार्😪😥,Emotion,Emotional Impact,Neutral,Negative
"ए सुदिप भाइ नेपाल मा हिजो नेपाली नेपाली बिच प्रतिस्पर्धा(competition) थियो तर आज जसरी असरल्ल भारतिय हरुलाइ नागरिकता बाडिदै छ",Political Concern,Demographic Sovereignty,Negative,Negative
Ma roye dinxu😢,Emotion,Emotional Impact,Neutral,Negative
Bhanda dhukha lagla astai huni ho vanay hami le hamro desh ya thyo vandai hamro chora chori lai map maa khojnu parxa😔😔😔😔,Concern,Future Generations,Negative,Negative
Aaba 10 barsha ma desh ta change hola tara hajur ko umer pani rokidaina holani daju. What if the country became in more dangerous situation??,Concern/Question,Future Hope,Neutral,Mixed
"Leave Nepal 🇳🇵 as soon as possible. Otherwise,there are only regration .time mai country India lai diyara sab nepali bahira jaam",Cynical Advice,Migration Encouragement,Negative,Negative
"hamro copies ko cover page ma lekheko hunx ni a place is only as good as the people in it tyo sacho ho. Dherai nations haru le nepal jasto difficult times bata gujreka xan.",Analysis,Patriotic Encouragement,Positive,Positive
Mero ne din aaudai xa 😢😢,Personal Sharing,Migration Anticipation,Neutral,Negative
crypto earnings ni xa but thorai xa at least dollar ma income ra rupees ma outgo vaye raxa,Information,IT Alternative,Positive,Neutral
"ma Aauta Civil engineer ,Nepal Mai Basxu Bhanera Soch rakhya xu .. Mero lagi Khusi Pariwar sanga Samaya Bitaunu Nai ho ❤️",Personal Sharing,Staying in Nepal,Positive,Positive
I need freedom in my life .,Personal Sharing,Personal Freedom,Neutral,Neutral
"dai ma kassam 30 min ko video sochera mailey paila nahereko video aza herey. aasu jharyo, mutu ghochyo",Emotion,Emotional Impact,Positive,Positive
