comment,intent,primary_driver,value_orientation,affect
"India ko game ko sikaar ho..congress,,emaalay ra maubaadi lay india sanga milera banda gareko ho..ani samjik laalsi pan lay pani ho..ani vayeko companies haru lay afulay faida dherai rakhni ra salary dherai nai kam dinchan..aba esto euta samyantra banauna paryo jun hami hamro youth vanda pani aba aru desh baata youth lyayera vaye pani indutries chalauna paryo..aba nepali youth lay nepal nabanaunay ho vanay nepali entrapeneur harulay africa,bangladesh baata manchey leraayera kaam garauni ho ra product chai internationally export garna parcha",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Ma pani 1 month vayo .. leaved our nepal ..,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic
This is request to all viewers please like this channel. Yo vedio hamro marma ho estai vedio banaunu dai Keep it up ❤❤❤ Jai Nepal🙏🫡,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
"Euta sarkar lai thik parna lai euta ramro karmachari nai pugxa tarah k garnu hamro desh ko pahilo chutia ani vrast vaneko nai karmachari ho ani tes paxi MC neta haru ani additional jhan yo corruption lai yo awastha samma purauna ma mainstream media and corporate ko haat xa ,esma most corrupted ko hola ? Sabai MC haru ustai ho ! Aba upai vaneko kada vanda kada punishment dinu parxa ani aaja samma ko sampatti ko xaanbin garera lifetime jail ma kochnu parxa ani matrae nepal ma kei changes auxa otherwise same ho kei huney wala xaina",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Yo sab bahunbaad ko karen ho hajur desh kangaal vayeko xa,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Keep it up 💪👍❤,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Excellent explanation,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
Nepal ka Buda neta kukur haru ley garda hamro desh khatam vayoo,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Very worth full video❤❤❤🎉,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
"नेपालको 90% अभिभावक आफ्नो छोरा छोरीले चाहेको स्किल वा उद्धमशिल काममा 30,000 रूपियाँ लगानि लगाउँदैनन् तर विदेश पठाउने कुरामा ऋण काडेर भएपनी 30, 40 लाख रूपियाँ जुटाउँछन्।<br>   नेपालका 90% देशका अभिभावक (नेता र गार्जेन) , चुतिया, नेगेटिभ, नराम्रो कुरा सिकाउने, खुट्टा काट्ने, आफ्नै लेडेँढिपी गर्ने आदी छन्। जम्म 10% मात्र भाग्यमानी छन् जस्ले सकारात्मक, सपोर्ट गर्ने, राम्रोसँग कुराहरु बुझ्ने बुझाउन सक्ने अभिभावक पाएका छन्। मैले भोगेको र धेरै साथीहरूको कथा देखेर भन्दै छु। सम्झाउँदा आफ्नै टाउको दुख्छ। कसैको मन दुखे माफी चाहन्छु तर वास्तविकता यही हो।😅",Neutral/Observation,Economic Necessity,Collectivist-Family,Pragmatic
Kam napayara desh xadeyako haina hami aafai ley Garda afno desh xadna parako ho <br>Kanun banako xa kanun aanusar hidna chadenau ani Nepal lai bedesh jasto banauxu vandai hidxau sano sano Kura ley Garda desh xadna parxa Tyo Kura bujdaina  thula thula neta lai aagadi dekhayara kahani sunauxa,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Pragmatic
"Nepali people&#39;s young and children are future citizens of forigen country like United kingdom, USA, Japan,India, Australia, exc,",Neutral/Observation,Economic Necessity,Collectivist-Nation,Despairing/Sad
Why do you think those ‘Netas’ care..😆. They want money for them not for us.,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Dai tapai ko yo video heri rahada pani study in australia vanera consultancy ko add aayo ta,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
"Yes, the issue of getting equivalence certificate from Tribhuvan University is real. This is causing many to rethink about returning to Nepal or to leave Nepal after becoming frustrated with the TU people here.  I know folks who have masters and PhD degrees from western countries. They struggle to get equivalence at TU because TU doesn&#39;t have a comparable degree program or study route as found in western universities. If you study a field not found at TU, getting equivalence is very difficult. Also, TU may not give equivalence for masters degree if the field of study is different than the bachelor&#39;s degree. Same goes with PhD. They make a big issue on how one can go from one degree to another, even if it was completely legal overseas. If equivalence is not granted for masters, then it will not be granted for PhD. Even those who study in India are at risk of not getting equivalence. Hence, you have cases where people can get equivalent certificates from other foreign countries but not from Nepal! For example, an America-educated person can get equivalent certificates from UK and Canada for the purpose of employment in those countries, but not from Nepal! It is very sad indeed!",Anti-Migration,Systemic/Political Anger,Individualist-Self,Despairing/Sad
Salary didainan company ma paisa xaina vandinxan ma ni janxu ABA bidesh Nepal ma kati sram Daan grnu,Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated
Dirty politicians r unstable politics le Garda ho <br>Tauke budha haru le k garya xa r,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
"चुनाव नहुन्जेल सरकार थू गर्यो अनि चुनावको बेला चै मासु भातमा बिक्छन्, थूईक्क हामी भेडा",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
म केहि समय पछि देश फर्किदै छु ।,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated
Nepalese outgoing : Indians incoming !,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
"Is Nepal on the Verge of Losing Its Youth? के नेपाल आफ्नो युवापुस्तालाई गुमाउने संघारमा छ? <a href=""https://www.youtube.com/live/UgeYdADxqs0?si=jhjcvXNh_IuRGJwU"">https://www.youtube.com/live/UgeYdADxqs0?si=jhjcvXNh_IuRGJwU</a>",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
Sad reality.,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
"Sala corruption garney muji haru le desh nai khattam banayo yrr 😭<br>Yo kura ekdum seriously bhujne ho vane suru ma bidesh jau<br>Tya ko rules, system hernu bhujnu ani tha pauxa sala kasto samma chor haru le dhubako xa hamro Desh <br>Koi individual lai farkina nai man hudaina <br>Everything we invest in Nepal goes directly or indirectly to this corrupted Government.",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated
Yo sab nepal sailing hanney yojana ho neta huru ko,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
K garnu +2 padhdaa samma Nepal mai kehi garxu garera dekhauxu vane katti aat thiyo .<br>Nepal KO ahile KO haalat herdai bidesh jaa jaa Matra vanxan.<br>Janata man xaina Tara k garnu  dinvari mori Mori kaam gardani  vane jasto salary nai paaudaina.<br>Aafnai business garam vane yo desh ma nata uwaa xa nata uwati <br>ma professional hairdresser ho  <br>Dashain Pani aaEsakyo <br>Almost sabbai salon haru thappa xa..pahilaako jasto maaholnai xaina..<br>Heram 1 year jati <br>Kasari vaAni Nepal basxu natra vane bidesh nai jaanxu..❤<br>Yo desh ma uwaa haruko value nai xaina..<br> Yo mero Matra samasya hoina sampuna sector koni haalat astai hudai xa ..<br>Saale neta harulai dhapaaunu parxa aba atti vaisakyo,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad
Ta pani janxas ek din bidesh..😂 .,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
aba yesari sochauna sabai yuba bidesh gai halxan ani tespaxi remmitance aouni paisa le hami jasta neta ko pet palna vai halxa pet palna lai neta baneko ho paila pet palnu parla ani baki kura sochamla ni,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
I am currently a 11th grade student . My teachers suggests us not to leave this country . But i fear what if i cant sustain myself in this country ? My country wont take care of me nor it will provide me with opportunities to do so .,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
sarai naramro lagchha...desh ma basna ta man chha ni k garnu ....basne khalko environment nai chhaina 😕,Trapped/Regretful,Systemic/Political Anger,Individualist-Self,Despairing/Sad
"mind opening video on the Internet, so far ❤❤. <br>god bless you!",Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated
