comment,intent,primary_driver,value_orientation,affect
But in trend people are shouting go to your own village? why you came here in cities living agriculture lands and house ?so why because there is nothing provided by the govt?,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
NOT 3 million it&#39;s 30 million population,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Arko better truth : More than 90 % of fresh graduate doctors are either leaving the country or planning to leave the country and nobody …. cares. This is Nepal and it remains until this political heads.,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
"Even if some decided to stay in Nepal after their studies,pursued career in Nepal are leaving as there is very less chances of growth as &quot;ramro manche haina hamro manche&quot; are chosen.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated
Ke pura nepali ke pura english bolna paroo k bro yr yo nepangaraji aali vayana,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Thyakai vagi raheko xa chor daka lakhetna nasakne ani surakxya ma bachna chahane hami nai hau,Neutral/Observation,Economic Necessity,Individualist-Self,Angry/Frustrated
"Ma +2 sakiye sakda mero dherai sathi haru Australia lai try gare, maile ni gare. Property ko jhamela le process hault vayo. Tespachhi halka jagar lagayera soch banaye ki Nepal mai padhchu baschhu and kei business kholchhu. Ma 20 years ko thiye. Reality ma vanda imagination ma jiudai rahechhu jun kura aafulai nai thaha thiyena. Hillside tira hotel kholchhu ki euta motorcycle showeoom kholchhu, dhukka le paisa kamaihalchhu vanne aasha ra jagar thiyo. Bachelor gardai garda dherai sathi harule bich bich mai Australia gaye. Koi koi chai Japan ni gaye. Antya ma Bachelor ni sakiyo ra aafu sanga 14k ko job bahek kehi thiyena haat ma. Tesle jiwan chalne thiyena. Jiwan ko kura chhodum tyo samaye ko eklo huda ko kharcha ni tarnu garo vayo. Tespachhi aayo corona. Tyaha samma aauda situation yeti garo vaisakeko thiyo ki Nepal basera napugne Australia jana nasakne vayo. So tyo bela ali popularity gain gardai aairaheko desh Croatia ko barema sunna thale. Interesting lagyo. Kei major cvs nachahine ani dherai lagani pani nachahine vayera aafno luck yetai try gare. Ra sabai process pura garera yaha aaye. Aile 2 barsha vayo. Suru ma aauda eklai thiyo company ma. Nyasro lagthyo. Ek barsha jasto vayepachhi company le ajhai Nepali haru lyaune vane pachhi maile aafno aafanta ra chineko sathiharulai kaam offer gare. Aile 4 jana plus 2 jana feri aaudai chhan. Kamai dherai chhaina tara company le sabai subidha diyera 1 lakh jati kamai hunchha. Aafno sathi bhai ra kei aafanta haru ni sangai chhan. So aba yo sabai huda ma Nepal kina farkine? Tei andhakar ra kalpana ma matra dubna? Malai Nepal ko maya chha tara tyo maya le mero jiwan ramro sanga chalchha ra? Hola Nepal ma ni opportunity haru tara ma jasto middle class family ko ghar herne euta matra income source le aafu ani pariwar sukha sanga rakhna sakla ra? Dherai high profile nahola tara Croatia ko salary le mero ghar ko pariwar haru aananda le khusi sanga basna pako chha. Malai future ko chinta chhaina. So ma kina Nepal farkine? Now I understand what do you mean by manchhe haru bidesh gairako chhaina, desh chhodidako chhan. Ma pani tei madhye euta hu. Jay Nepal, mero Nepal jindabaad tara sayed maile Europe lai nai aafno future sumpiye.",Trapped/Regretful,Patriotism/Love,Collectivist-Family,Despairing/Sad
"The problem here is people who want to work hard do not get better result and there are people who want to leave the chaos. Either way people are leaving. And the sad news is that most are youths who are needed for any country to run its economy, and other important functions efficiently and smoothly. This is very clear that getting rid of youths is the only way to win every elections for politicians.",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
we want continuously this type of podcast on this channel,Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
नेपाल लाई इंडिया बनाउन लागेको हो।,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Chaldai jane ani haiti banne aru upaya chaina. Thats the last report card of nepal.,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
राम्रो संग नेपाली पनि बोल्न आउँदैन धेरै मान्छेलाई मान्छेहरू गैराछ भन्छ । यसरी मान्छेहरू किन बोल्छन् होला ?,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
Planning old age care business,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Repost garyako maile podcast mai harisakaya  😊,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Aujha puranai neta haru Lai choose garau dherai ramro hunexa 😢😢😢😢<br><br><a href=""http://www.youtube.com/results?search_query=%23aamale"">#Aamale</a> <a href=""http://www.youtube.com/results?search_query=%23kongrees"">#kongrees</a> <a href=""http://www.youtube.com/results?search_query=%23mawobadi"">#mawobadi</a> sabai <a href=""http://www.youtube.com/results?search_query=%23bhastachari"">#Bhastachari</a> party Hun Sabailai <a href=""http://www.youtube.com/results?search_query=%23bahiskar"">#bahiskar</a> garau 🙏🙏🙏🙏",Neutral/Observation,Systemic/Political Anger,Collectivist-Family,Pragmatic
"Nepal,<br>K garnu maya lagxha afno desh ko sav lai, tara maya le jindagi na chal la<br>Desh le maya garne vaye ta sayad basthe hola manxe<br>Tara teo maya ni na payesi <br>Janxhan sabai baira,<br>Koi ramro bhawishya ko khoji ma ta koi naya desh ko khoji ma.",Neutral/Observation,Patriotism/Love,Individualist-Self,Pragmatic
Whats more depressing is <br>Even hamro ekdam close one I cannot convince them,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
"solti ko himmat lai mane, raja ko dynasty sakaune tauke haru lai aula dekhaunu, sabai lai tha vakai kura third world country ko government first world ka direct working mafia huna, no matter which third world country",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic
hlw sir <br>you are a best sir❤,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
I&#39;m 20 but felted manxe bidesh gayrako xain k manxe desh xadi rako xa 😓🥺🩹,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
30 million i guess ? Not 3 million 😅<br>1 million bhaneko 10 lakhs right?,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
नेपालीहरू विदेश गैरा’को छैन; देश छोडीरा’को छ। This is deep😢,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
"E dai ki tah purai english bolnu , ki natra nepali mai bolnu. Yesari what i seed garera nabolni",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
class 1 ranker is leaving the country?<br><br>what the fuck I&#39;m doing here?<br><br>it&#39;s suck,Neutral/Observation,Economic Necessity,Individualist-Self,Angry/Frustrated
Content ko kammi vako ho IDS bro?,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=1"">0:01</a> 3M vaneko 3 crore ho? 🤔🤔😂😂",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
"Mailey first time deakhea hoi dai lai ❤️❤️ <br><a href=""http://www.youtube.com/results?search_query=%23realityofournepal"">#realityofournepal</a> 😢",Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Nepalese education system is a joke prove me wrong,Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic
"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=162"">2:42</a> hits different 😢",Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Mo Dubai ma xu daju ahiley 2 40 bajey Rati duty janxu Ani belka 8 9 bajey room aipugxu lastoi garo 🙃,Trapped/Regretful,Economic Necessity,Individualist-Self,Despairing/Sad
"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=164"">2:44</a> 😲😲",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Please speak full English or full nepali😢😊 like ur videos🎉,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
Heart touching :Nepal basna ta  born with golden spoon hunu parxa❤❤❤😢😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
Its a bitter reality of REPUBLIC Nepal! How far do we go with this reality?? very awful!,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
Tension banai deyo yrr kura sunera nai😢,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad
ing   englissssh,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
there is one harsh solution. <br>ban foreign visa <br>force people to live inside<br>people will figure out the solution if they&#39;re forced to stay instead of running,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Pragmatic
"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=85"">1:25</a> what was that",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic
+2 pachi visa layena vane ta depression ma gaynxaa😢,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad
