comment_id,comment,source_channel,script,intent,primary_driver,value_orientation,affect,is_no_persona,notes
22736f0779ec,"maro dash maa brain drain vako xa meaning hamro dash ko skilled rw educated population dash xori gako xan this is a big problem for our economy, hamro dash maa bidashi company ko investment haru tanna sakhako xina jun ki only safe way ho aouta dash ko economy badaunu lai tara yaha ta business start garni jo garo xa, IT Sector ramro ho tara aouta pipe dream ni ho sabai youtuber banna sakdina so aba harnu hamro yaha dash xori jana culture vako xa aba kuni batdata vayana thanks to our country poor governments management, our  situation is sad but i hope for the better days, take care guys.",IDS,roman_nepali,Trapped/Regretful,Economic Necessity,Individualist-Self,Hopeful/Motivated,0,
849aa68a0db9,Malai esto lagx next 300 years ma Bangali r Indian Muslims ko dherai jansankhya hune x Nepali ko anupat ma kinabhane uniharulai jamin bhae hunx Tara Nepali American life chainx.,IDS,roman_nepali,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,0,
e0a598e37fb3,नेपाललाइ इसाई देश बनाए सबै समाधान हुन्छ,IDS,devanagari,,,,,1,
b6187eddd8e7,Appreciate your effort bro😊,IDS,latin,,,,,1,
5ee1d1ee5311,"That is why Trump wanted to build a wall and go against illegal immigrants. What you have researched is basically human trafficking. Trump actually was against human trafficking. Many big businesses, esp food and agro businesses require labors. The only way they can get cheap labour&#39;s is through human trafficking. It all makes logical sense.",The Nepali Comment,latin,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,0,
f8aff906ae0a,Mero uncle Pani gayeko 2 barsa vayo Tara Dunga paltera bepatta vayeko Khabar aayo Aru kehi information xaina,The Nepali Comment,roman_nepali,,,,,1,
21efadffbd76,Brilliantly cover garyau bro sabai topic really loved the content keep up the good work. More power to you man.,IDS,roman_nepali,,,,,1,
c6b1173500a5,"Bro, make video on &quot;Why businesses in Nepal aren&#39;t successful over country.",IDS,latin,,,,,1,
dc00f22a64b6,"Nepalese youth are looser, <br>When we do anything we see problem , we escape , we study we find hard we escape , we work we find problem we escape , same like that we see problem in country , we escape , <br>What country gives you does not matter , only matter what you did for nation , and remitance is not enough for country progress , <br>In this capitalist world we have to focus on industry and business , lets band all product from india , china and other country , do our own production and circulate money inside nation . <br>No remitance no  Government job will progress out nation economics ,",The Nepali Comment,latin,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,0,
57ba44c68799,background music chai kina ? remove it .,The Nepali Comment,latin,,,,,1,
11c3dbad83ae,Bottom line:...Go follow your dream!!!,IDS,latin,,,,,1,
fefd058f37bb,Im happy in dubai,The Nepali Comment,latin,Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,0,
ed37733f1aad,Manxe bides gaye ra xaena.desh xodi raxa hits hard😢,IDS,latin,,,,,1,
62ae52864590,Singapore ma pani Working visa pauchha..?,IDS,roman_nepali,,,,,1,
68957c453b8d,u guys need a cloud lifter input gain clipping vai ra cha jasto cha mic ko,IDS,roman_nepali,,,,,1,
d076ed5b335d,Heart touching :Nepal basna ta  born with golden spoon hunu parxa❤❤❤😢😢,IDS,latin,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,0,
42cc0af644a4,ma pani lagvag 9 barsa bidesh basera aaye yaha kam gareko 3 mahina vayo paisai didaina jhagada kati ko ko sanga xahi garnu,Thaha Research,roman_nepali,Trapped/Regretful,Economic Necessity,Individualist-Self,Angry/Frustrated,0,
70937980dcba,Yo video aaile samma kai best video ho mero lagi,IDS,roman_nepali,,,,,1,
003bdfbc74a4,"Nepal cannot compete with India and China in terms of being a service provider or a manufacturing hub. We need to focus on our strengths to create jobs, which are agriculture and tourism. Focus on adventure tourism, create better experiences for tourists and grow things that we can export. Look at small developed countries as case studies to see how they focus on their strengths to develop. But in the end it all comes down to political stability and leaders who are good in geopolitics.",IDS,latin,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,0,
1e90d0801125,Garo xa hou Nepal ma hami jastai lai😢😢 hope your words become reality ❤❤❤❤,IDS,roman_nepali,Trapped/Regretful,Economic Necessity,Individualist-Self,Hopeful/Motivated,0,
19652b247823,A 23 year old guy giving a hope and optimism  to a 29 year old boy . This is Change and as he said desh ma opportunity  jhan badera auxa sabai  bidesh  gayesi . Change is inevitable .  Thank yo for bringing inner voice  brother.  This is  todays youth  .,IDS,roman_nepali,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
6d3f3ac81823,I'm 15 yrs old and watching your videos made me realize many things  i wouldnt realize even after 10 years I'm grateful that you are inspiring youths like us and I'm grateful to be in this side of social media and someday our country will shine if we are try to be like you and I hope someday i can meet you and pay my respect for you😄anyways a lot of respect and support for you dai!!!,IDS,roman_nepali,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
1531c5881d85,Very nice content and wonderful thought brother you will do great in future 🙏🙏<br>Thank you so much brother and your entire team 🙏🙏❣️,IDS,latin,,,,,1,
bf5ff8d41fec,"bitter truth: yo desh ma basne vaneko  bidesh jana nasakeko,  bahira gayera settle huna nasakne matra ho. Ani freelancing garera 4-5 lakhs Nepal mai kamaune vaneko 1000 jana ma 10 jana matra ho. Jaba samma desh banauxu vanne mansaye vayeka 2,3 wota political party haru aaudainan taba samma yei desh ma vabisye banla vanne aasai nagarum. 1, 2 jana le matra desh banauxu vanera politics ma ayeka haru lai k k vai ra xa, kati tira bata khutta tanne haru aauxan sabai lai thaha nai xa.",IDS,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated,0,
c5ea730de6db,मुखमा सुपारी हालेर कुरा गर्ने हरु भन्दा तपाईको भिडियोहरुको content well researched र स्तरीय छन । राम्रो विषय उठाउनु भयो।,The Nepali Comment,code_mixed,,,,,1,
416c150b4670,आजको episode ले कता कता मन छोयो ❤,IDS,code_mixed,,,,,1,
e143b4cf7dce,"""You're parents aren't against you're passion, they just don't wanna see their child starving"" don't know but it hit different",IDS,latin,,,,,1,
d90259603db9,"Who doesn't want to go out and study abroad? It is not Nepalese don't want to go abroad and study, it is just because they can't afford.",IDS,latin,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,0,
8defc14a2ef4,Came to chat man! In insta,The Nepali Comment,latin,,,,,1,
03c35fd66070,Thukka mg nepal ko halt,The Nepali Comment,latin,Pro-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
3482f13aae62,Jo pani yo video herdai hununxa yo channel lai subscribe garnuhos as u know or felt that this video was simply amazing and so relatable,IDS,roman_nepali,,,,,1,
a5c0c3be097e,Missing our king,The Nepali Comment,latin,,,,,1,
6b29e9a98a77,Jholey haru cha ta ... kamauna... sikill bhale ta samjhane ho3 ba namarunjel,Thaha Research,roman_nepali,,,,,1,
749522da0898,LAST मा आएर भाबुक बनायो यार्😪😥,IDS,code_mixed,,,,,1,
e01c521d467c,Katti xan xan,The Nepali Comment,latin,,,,,1,
b5499723ae28,"Maybe it can be helpful for somebody, especially for students, just don't give your full time to course book. Read and learn about share market, content creating, can learn barista, driving, cooking, even go for the labour job, discuss with friends about ideas and business. For now, you may not make money but you will know lots of thing like investing ideas, communication skills, personal budgeting, how to deal with people and of course will be more confident. <br><br>And life is all about selling yourself and you need to know how to sell to get the best price.😊😊<br><br>Good luck for everyone. Cheers",IDS,latin,,,,,1,
f4d4de170264,jaura ra kamau yo padai mf ho,The Nepali Comment,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated,0,
8e1e74cc4664,Here after podcast with Sanjay silwal gupta ❤,The Nepali Comment,latin,,,,,1,
5e618d8eb3d4,Amazing work dude…maile ta desh chodisake tara ekdin auchu better manche vayera,IDS,roman_nepali,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
48d2522066a3,धेरै राम्रो भिडियो content  also you are creating your revenue. Very nice.,IDS,code_mixed,,,,,1,
9da3b0ef7b26,Euta video Lumbini Development Trust ko corruption ra politics ma ni banaunu paryo,Thaha Research,latin,,,,,1,
b14b35b802fc,"Yo Nepal ko neta haru lai tik parnu parcha, aba tiyo din aaucha jaba Nepal ma Nepali haru hoina foreigner haru baschan ra yahi foreigner haru le Nepal lai rule garchan, yo neta haru lai paisa matrai cahiyeko cha, yasto neta haru lai PUNCH hanera khola ma falidenu parcha",IDS,roman_nepali,Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
c1755c392024,How the hell its illegal to go from one place to another? Our earth is not the personal property. Its the common home of every living creatures. So its right of every living creatures to go from one place to another.,The Nepali Comment,latin,Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
84e214e43429,21 years old guy Watching from KHADI at 2 AM 🙂,IDS,latin,,,,,1,
e618568e5fed,"Honestly not only unemployment but it&#39;s like an interest of common people to go to foreign countries. Students want to go there for their better future. Our thinking is that we would be able to earn ourselves and live the way we want, no-one would be actually judging us. We aren&#39;t thinking far. But we aren&#39;t wrong here, situation makes us think so. Even our parents nowadays motivating us to try abroad like why? it&#39;s exactly because of &quot;what after education&quot;. unemployment is one thing and other thing is lack of job security in private sector. Our future isn&#39;t secure so what&#39;s the option? OfCourse abroad",IDS,latin,Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated,0,
496f760a28e4,sabai thok huncha tara 2085 ma hunxa naya leader auxa usle sabai thok garxa wait for the right time... hunxa,Thaha Research,roman_nepali,,,,,1,
674ed6472b9e,Nepali parents lai mbbs Ra engineering Ani loksewa baahek Aru kunai kaam kaam nai lagdaina,IDS,roman_nepali,,,,,1,
f4d0c26ff93f,"Jay hoss party ko jhole haru lai,<br>Desh ko halat yesto banayeko ma.",IDS,latin,,,,,1,
e7765415d33e,We need guys like u to lead the Nepal who r most aware of condition n who can really help to solve the issue. So better b in the field as well.🙏🙏🙏,IDS,latin,,,,,1,
f7d9eacf475a,This trend is even more popular in Dang district it’s like at least one family member hav been through this journey in many localities,The Nepali Comment,latin,Neutral/Observation,Family Obligation,Collectivist-Family,Despairing/Sad,0,
2d84f8f29f4e,Afno khusi k ma xaw kehi garnush aru lai taw prove gararaw dakhauni ho,IDS,roman_nepali,,,,,1,
759d0ec41c66,Best thing to do in Nepal is LEAVE THE COUNTRY !!!!!!!!!,Thaha Research,latin,Pro-Migration,Economic Necessity,Collectivist-Nation,Angry/Frustrated,0,
18217fcbb18a,Family la internet bata foran county ko <br>Video hara ra vacha tara aafno dream ra work idea fa rak cha . 🇳🇵 Hajur ko video hare pache nepal ma ke garna sacha vane yog cha❤❤,IDS,roman_nepali,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
401cbb424ae8,Mailey yo video just time pass ko lagi click gare but this video..... 😮😮😮😮😮😮😮😮,IDS,roman_nepali,,,,,1,
1aca6a998b5d,True brother i reached malta leagl but when i tried to go portugal from malta i got cought by malta immigration and depoted to Nepal😢😢😢😢,The Nepali Comment,latin,,,,,1,
1f528837aa7c,Nepal khokro bhaisakyo…<br>Too late…<br>Bhokmari lagcha Nepal ma…,Thaha Research,latin,Trapped/Regretful,Economic Necessity,Collectivist-Nation,Despairing/Sad,0,
fd171549110c,Being a modern slave in foreign which will take off our own experience for living and fooding expenses soo we should focus on Nepal condition jay Nepal 🇳🇵🫶,IDS,latin,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
803042fc18b7,"😂😂😂😂😂 this peoples ideas on <a href=""http://development.lol/"">development.lol</a>",The Nepali Comment,latin,,,,,1,
eb68f4a8d2c6,Nepal mai basinxa😊,IDS,latin,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
4cb5ee35301c,आशावादी ।,IDS,devanagari,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
3c824f2bba83,Yeah those greedy fuckers.<br>They would even sell their children to show off.,IDS,latin,,,,,1,
94ed58ac820a,This video is a loss for Nepali comment when it comes and talks so positively of the genocidal jewish ethno state like Israel,The Nepali Comment,latin,,,,,1,
8e92eb851181,Dai yo visit visa Pani 50% ta naauhnay manxay Hun,IDS,roman_nepali,,,,,1,
a8f9ae92c6ec,म जान म हि पासपोर्ट नेपाली चाहे अब मलेसिया बाट आको छ बर्स भयो नेपाली नै बनाइन्छ नागरिकता त च्यातिन्न आफ्नो बाध्यता काम गर्न जाने मात्र हो देस त नेपाल नै हो ॐ शिव,IDS,devanagari,Anti-Migration,Patriotism/Love,Individualist-Self,Despairing/Sad,0,
632b4ce4b8f1,Nepal will get merged with india after 20 years <br>So better settle yourself in abroad for your better and secure life aaile dekhi nai <br> <br>Madwari ra bihari le varinxa yo desh <br>Janmat sangraha and then rest will be history,IDS,roman_nepali,Pro-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
d0b115fcd0e4,Nepal mai basne le like garnu hola ✅,IDS,roman_nepali,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
cbc7eb6473dc,Well ask those who just completed their +2 study who are middle class. <br>How difficult to  get job and complete family dream😢😢,IDS,latin,Pro-Migration,Economic Necessity,Collectivist-Family,Despairing/Sad,0,
670d1db87f5b,True and right 😢,IDS,latin,,,,,1,
c9480365fdaa,Well said,IDS,latin,,,,,1,
1cdf350edcec,"असहज परिस्थितिमा सुविधा खोज्दै देश त्यागेका हरु,जस्ले नागरिकता त्यागे,नेपाली ढुकुटी रित्याउन मात्र सहयोग गरे भविष्यमा ती हर लाई नेपाल घुम्न आउन पनि बन्देज गरिने छ।।",IDS,devanagari,Anti-Migration,Patriotism/Love,Collectivist-Nation,Angry/Frustrated,0,
1f3657509c77,3 million = 30 lakh.<br>How 56 lakh are outside.<br>Podcast ho bhandai ma j ni bolidine,IDS,roman_nepali,,,,,1,
a7c48a864865,nepal ma basnu wa bidesh bata farkera nepal  aaunu nai galti hooo. huge mistake,IDS,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated,0,
bab7d2ef7491,I am IT student ani web development ko lagi free ma internship garxu vanda pani nepal ma company chaina esto bijok cha 😢,Thaha Research,roman_nepali,Trapped/Regretful,Economic Necessity,Individualist-Self,Despairing/Sad,0,
ae1f3b9441fc,"Thank you for good video, please more made to keep hopeful video dear Sir❤",IDS,latin,,,,,1,
572780636650,"Please continue creating this type of content. I hope it reaches every Nepali who has left their country so that when they open YouTube, your content appears on their feeds. Even if only 10 percent of viewers are inspired to think about returning and contributing to their homeland, it would be a significant achievement. I know it's challenging in Nepal right now, but change is possible. One day, people who left might start coming back. Keep making this kind of content—motivating even a small percentage means you've made a big impact.",IDS,latin,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
4da7dc876d75,Portugal ko alik research  pugena,The Nepali Comment,latin,,,,,1,
3a215f133765,Bitter reality 😢😢😢,IDS,latin,,,,,1,
a981c9f79377,"Even if some decided to stay in Nepal after their studies,pursued career in Nepal are leaving as there is very less chances of growth as &quot;ramro manche haina hamro manche&quot; are chosen.",IDS,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,0,
1d8f4b89eb3d,At the end of the day you should do what your parents tell you to do cus it's their lives not yours💀<br><br><br><br><br><br><br><br><br><br>lol,IDS,latin,,,,,1,
444313dd14a3,Baseka pani visa nalagera baseka huna hami jastai😢,IDS,roman_nepali,Trapped/Regretful,Economic Necessity,Individualist-Self,Despairing/Sad,0,
a94c34549b1a,For short term good life we are giving our lives to others hands yo aboard is a honey trap for us ahile sunda sochda testo nalagla tara kahile samma aboard ko border khulla hunxa? Gulf gayera 4-5 ota bhai bahine bhau aama ko karcha bihe afno chora chori paleka hamra buwa uncle haru nai xan ahile yuwa lai teti paisa le napugera Europe south africa even war zone country jana laisake PR hune yutai baslan ani nahune k garne ekdin desh farkinai parcha jawani sab bidesh ma sakera 40-50 katesi nepal farkera aauda haat ship hunna ani garne k ? Harek desh euta boundry hunxa resources ko You can see qatar as example worldcup huda kati nepali lai ghar pathaideko thiyo yestai yedi ekdin bidesh ko dhoka banda vo vaneh thau thau desh darap hunxa ekdin mai,The Nepali Comment,roman_nepali,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
0c01060adadb,"The content is not just well researched, but it also made me think deeply about the subject matter. It truly captures the current situation of our country and the potential it holds for the future 🇳🇵🇳🇵",IDS,latin,,,,,1,
a4156dd8dd5d,ees<br>This is too much. When i heard about this and watched related documentries i was literally shocked.,The Nepali Comment,latin,,,,,1,
c95594aad91f,Wow You’re age of 23 and you’re doing great job by staying Nepal.Good quality of information.I became more fan of you ❤,IDS,latin,,,,,1,
8eb85da0b771,I want to go home but I can&#39;t 😢,IDS,latin,Trapped/Regretful,Patriotism/Love,Individualist-Self,Despairing/Sad,0,
a7c64fe481e9,"To all those who are drowning in self pity in the comments:<br>Yea the corruption and politicians are bullshit but the youths are no better. Opportunities xaina bhane banau natw, learn skills through internet instead of watching reels, and do something that actually matters. It is eaay to get success in a country which has no basic facilities because let&#39;s be hobest, you don&#39;t need new innovations. Youths have the power, we are active and can protest but guess what everyone is too selfish. Bahira pani sukha xaina I have seen many of my friends suffer due to high cost of living. Only go to foreign country if you can&#39;t afford basic living here. Self pity is the biggest problem.",Thaha Research,roman_nepali,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated,0,
f4b9cec03af4,Wow...what a research what a content..<br>you deserve more views and subscribers...hats of to you brother....<br>keep uploading such quality content,The Nepali Comment,latin,,,,,1,
3edee3ed231f,"<a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=498"">8:18</a> this guy knows about Bhutanese refugees scams six months ago and there is nepal police who just barely start catching criminals.",The Nepali Comment,latin,,,,,1,
546c13e784a6,Think me immature but leaving country is good for our family ❤,IDS,latin,Pro-Migration,Family Obligation,Collectivist-Family,Hopeful/Motivated,0,
c800128dbc29,"Nepal has no future at all nepal is only for politicians, super rich ppl and gundas. Hardworking intelligent all are gone.  Nepal is hopeless",IDS,latin,Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated,0,
e5f6589aa511,Nepali life is much for fulfilling than life abroad!,Thaha Research,latin,Anti-Migration,Patriotism/Love,Individualist-Self,Pragmatic,0,
94109479103e,Thank you Bhai for this depth analysis video...hats of for your research and effort ❤❤,IDS,roman_nepali,,,,,1,
826e5c13d30c,kura haru jati share garnu vayo sabai milyo ma seetw ani mero friend group ma manai ho bidesh janna vanni 4 jana ko group bata eklo basney wala xu... thanks it sector is best ho aaile ko nepal ko halat dekherw vanna lai.. mani it nai padhdai xu...tapai bahun vayerw hola kura haru yesto milirako theyo ki ashu nai aayo mero love relation ship seetw ni milyo ani sathi ko mami ko kura ani aru thuprai>>>>,IDS,roman_nepali,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
dae5bdddf4b5,Never disappointed with urs content dai ..<br>Keep going bro,The Nepali Comment,roman_nepali,,,,,1,
296b97849e0c,"Some heros does not wear cape and you guys are one of them. Thanking your team for this positive effort. As a concerned citizen of Nepal, I request your team to create a video addressing the issue of online toxicity among youth. This behavior, prevalent in social media and online gaming, reflects negatively on our society's youth mentality. I urge you to raise awareness about this issue and its detrimental effects on our future. Thank you for considering this request.",IDS,latin,,,,,1,
5081a70c59bf,Yo aune chunab ma afno vote sochera dinu hola chor neta haru le garda desh xodnu naparosh,The Nepali Comment,roman_nepali,Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
9fce7ae703bd,Bro your content are too good..Hope to see nxt vid soon.,The Nepali Comment,latin,,,,,1,
b34409c9a0d2,मलाइ त यो video मा देखाउन खोजेको सबै चिज मन पर्यो | तपाई राम्रो content choose गर्नु हुने रहेछ | विदेश जाउ की नेपाल मै बसु भनेर दोधारे भएका युवा लाइ राम्रो संदेश दिनुभएको छ | म फेरी सोच माग्न भए - विदेश जाउ की यतै बसम .......,IDS,code_mixed,,,,,1,
cc901bab8542,Mww aaile diploma in civil engineering complete garerw baseko xuu result nw aauda samma 2... 3 months ali ghum gham gare aani result aaya paxi loksewa tayari garne vanne ghr batw sujhab aaya paxi ktm aaya .. maile 12 15 din class liya paxi loksewa batw maan maryo... Mww diploma garda 1st year batw aafno filed ko software haru aani practical knowledge maa badhi dhyan diyhe aani study maa chahi pass vairakhthe testo ramro marks ko lagi vanda pani practical knowledge mai dhyan diya rww college ko sabai sathi harule teacher harule pani ramro xaa timle paxi ramro garxau vanthe... So loksewa xodeko kei din maa nai maile yeuta draftsman ko vacancy dekhe tesma apply gare aani interview ko lagi call aayo... Maile interview pani diya aani college maa gareko aafno sabai project haru dekhaya rww tyaha job pani fix vayo... Upto 3 months kaam garepaxi... Dherai thau batw privet job bekar hoo loksewa nai garnu parxa vanne aayo tarw malai tyo privet job maa testo kei tension pani vairako thiyan kaam pani maile ramro nai gareko thiya but family vanda pani social pressure vanne ki k vanne... Maile feri job xoderw loksewa maa lage aaile 1 year vayo... I can't explain kasto feel hunx....  20 barsa  matra vayo malai but tei pani ghr ko jetho xora vayarw hola dherai nai jimmedari aakko feel hunx mero family lee kaile pressure deko xain kunai kurako lagi tei pani....... Maile youtube channel maa  software haru ko tutorials upload garne gareko hunale aali network pani thikai xaa... Kaam pani halka fulka aauxa monthly basis maa... room batw nai upto 10 to 15k earn garnw sakne gari only making some plans elevation simple design haru batw aani ramro kaam garnu pare badhi nai charge garnw... Tarw aaile yo loksewa study lee garda tyo pani xode... Natw malai aafno study maa improve vayako feel hunx rww... Skill haru maa pani continue garna pako xain.... So yadi koi hunuhunx jasle kei suggest garna saknu hunx... Engineering field ko hunuhunx vane aajha better hunthyo... Cause jo pani sarkari maa paisa xain vrastachar tww garnai parxa vanxan... Yati mehenat garerw naam nikale paxi decent amount decent tarika lee kamaunw sakinna vane... Kinw garne yati mehenat ...,IDS,roman_nepali,,,,,1,
00a6a0d3f4cb,"Nepaliko IQ 43 cha, so brain drain bhanda pani, muscle drain bhanna thik hola. Talented bhaeko bhae bideshine jatti le paila nepal banauna try garthein, ani banauna na sakda balla bidesh janthe. Aile ko generation ta bina try direct bideshincha😂😂😂😂<br><br>According to wiki human capital flight <br><a href=""https://en.wikipedia.org/wiki/Human_capital_flight?wprov=sfla1"">https://en.wikipedia.org/wiki/Human_capital_flight?wprov=sfla1</a><br>The term &quot;brain drain&quot; was coined by the Royal Society to describe the emigration of &quot;scientists and technologists&quot; to North America from post–World War II Europe. Another source indicates that this term was first used in the United Kingdom to describe the influx of Indian scientists and engineers. Although the term originally referred to technology workers leaving a nation, the meaning has broadened into &quot;the departure of educated or professional people from one country, economic sector, or field for another, usually for better pay or living conditions&quot;",The Nepali Comment,roman_nepali,Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,0,
f3f7b0af58ab,"Euta sarkar lai thik parna lai euta ramro karmachari nai pugxa tarah k garnu hamro desh ko pahilo chutia ani vrast vaneko nai karmachari ho ani tes paxi MC neta haru ani additional jhan yo corruption lai yo awastha samma purauna ma mainstream media and corporate ko haat xa ,esma most corrupted ko hola ? Sabai MC haru ustai ho ! Aba upai vaneko kada vanda kada punishment dinu parxa ani aaja samma ko sampatti ko xaanbin garera lifetime jail ma kochnu parxa ani matrae nepal ma kei changes auxa otherwise same ho kei huney wala xaina",Thaha Research,roman_nepali,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
