"comment","intent","primary_driver","value_orientation","affect"
"Alaxini khatey haru mujiko baan kukur bhusiya corrupt neta haru ley garda esto ramro desh guu jastai parey<br>Iniharuko narka ma pani baas naa hoss😢","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"What his name","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"3million haina 30million","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"3 crore doesn&#39;t mean 3 million, dear sir. Please correct it.","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"The reason why people are leaving Nepal is because of their high expectations. The people who are complaining there aren&#39;t enough jobs are the ones who seek highly skilled jobs where labour is not required. These types of jobs are not much in demand because the country is under developed and needs labour workers. I went to visit Nepal last year and saw many workers in construction sites and fixing roads, etc. So there are plenty of jobs in Nepal, you just chose to not to do them because you think you should be paid more. A country doesn&#39;t build itself magically without labour.","Anti-Migration","Economic Necessity","Collectivist-Nation","Pragmatic"
"3 crore=30 million","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"3 crore is 30 million not 3 million.","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"there is one harsh solution. <br>ban foreign visa <br>force people to live inside<br>people will figure out the solution if they&#39;re forced to stay instead of running","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"राजधानी सहर जन्ता बेच्ने बजार, जनताको व्यापार गर्ने नेपाल सरकार, देशभक्ति मरिसके देश बेच्न तयार, मुर्ख जन्ता, कस्ले रोक्ने भ्रष्टाचार ?<br><br>Bodhi","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"What is the solution? What is remady? What should do? For this situation and this problem?","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"Aba india le laijancha desh. Yo muji neta harule kei par layenan. Jhole harule bitaye desh. Laijos Modi le baru","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Dhost hunxa yo dess bistarai <br>Frustration is one of the main reason why students choose foreign countries","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"Mo Dubai ma xu daju ahiley 2 40 bajey Rati duty janxu Ani belka 8 9 bajey room aipugxu lastoi garo 🙃","Trapped/Regretful","Economic Necessity","Individualist-Self","Despairing/Sad"
"Any data how many nepalese living here in Delhi NCR ? Nepalese are everywhere here in hotel line, in govt job, police / army,  and even in big companies like MNCs.","Neutral/Observation","Economic Necessity","Collectivist-Nation","Pragmatic"
"Please speak full English or full nepali😢😊 like ur videos🎉","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"E dai ki tah purai english bolnu , ki natra nepali mai bolnu. Yesari what i seed garera nabolni","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Nepal won&#39;t remain for more than 50 years in existance","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"One of the few educational and entertaining nepali channal🙌❤️‍🔥❤️‍🔥","Neutral/Observation","Economic Necessity","Collectivist-Nation","Hopeful/Motivated"
"who was the speaker? not mentioned anywhere","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Something about brain drain I found <a href=""https://www.youtube.com/watch?v=YAUG-cNP-nM"">https://youtu.be/YAUG-cNP-nM?si=dq1nkDgmU2z3fxVy</a>","Neutral/Observation","Economic Necessity","Collectivist-Nation","Pragmatic"
"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=162"">2:42</a> hits different 😢","Neutral/Observation","Economic Necessity","Collectivist-Nation","Despairing/Sad"
"This is such a sad reality and I can&#39;t do anything :( .","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"They are going bhaira...","Neutral/Observation","Economic Necessity","Collectivist-Nation","Pragmatic"
"You cannot contain youths but you can certainly take advantages of brain drain by coming up with new policies that can utilize the youths and their skills/knowledge","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Hopeful/Motivated"
"I proud I left nepal early age and got abroad citizenship….. don’t waste your Time in nepal if you belong from mid class family","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"All are going baera","Neutral/Observation","Economic Necessity","Collectivist-Nation","Pragmatic"
"Honestly not only unemployment but it&#39;s like an interest of common people to go to foreign countries. Students want to go there for their better future. Our thinking is that we would be able to earn ourselves and live the way we want, no-one would be actually judging us. We aren&#39;t thinking far. But we aren&#39;t wrong here, situation makes us think so. Even our parents nowadays motivating us to try abroad like why? it&#39;s exactly because of &quot;what after education&quot;. unemployment is one thing and other thing is lack of job security in private sector. Our future isn&#39;t secure so what&#39;s the option? OfCourse abroad","Pro-Migration","Economic Necessity","Collectivist-Family","Pragmatic"
"Nepal cannot compete with India and China in terms of being a service provider or a manufacturing hub. We need to focus on our strengths to create jobs, which are agriculture and tourism. Focus on adventure tourism, create better experiences for tourists and grow things that we can export. Look at small developed countries as case studies to see how they focus on their strengths to develop. But in the end it all comes down to political stability and leaders who are good in geopolitics.","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"Dubai is not a country..","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"आफ्नो देश  नेताले   बिगारे भनेर अझै उनीहरुलाई  मोज गर्न दिएर  आफू  विदेश   तिर गएर दुःख गर्न बुद्धिमानी कि ? युवा भएर  देश बिगार्ने ती नेता लाई  श्रीलङ्का  मा ती भ्रष्ट नेतालाई  खेदे जसरी खेदेर आफ्नै देशमा सुख सुविधा खोज्नु कुन बुद्धिमानी ?  चेतना भया 👍👍👍👍👍👍👍👍👍👍👍👍👍","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Mero gau ma pani 4 ota pipal ko bot cha","Neutral/Observation","Patriotism/Love","Collectivist-Nation","Pragmatic"
"When I was a kid, I had a vigorous desire to bring change into the country. The first time I heard about brain drain, I was mad furious. Gradually, I&#39;ve come to understand the situation more and more, which certainly is fading my determination of changing Nepal. It&#39;s sorrowful what reality does to people.","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"This podcast is good but it can be better if you included the overcoming points of brain drain . How can we overcome this major problem ? Which plans to be taken to overcome this.","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Hopeful/Motivated"
"If youth don&#39;t make change then who would make. America developed xa kina ki tyaha ko citizens le america lai develop gareka hunx .. desh ma kei xain i agree but desh ma kei xain vanne yo sabai ko responsibility ho ki desh ma kei garnu paryo xodera janu is not a solution. If hami le garena vanne kasle garx ..garne vaye hunz natra hudaina .afno astitwa jogaunu xa vanne desh ma kei gara .. ma tw yahi kei na kei garxu. 🙂🇳🇵","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Hopeful/Motivated"
"Nepal sarkhar ko pragattii vanekoo nai , nepalii lae bedesh pathau neh hoo .... 😢 ...  111 <a href=""http://www.youtube.com/results?search_query=%23nepalrevolution"">#nepalrevolution</a>","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Aujha puranai neta haru Lai choose garau dherai ramro hunexa 😢😢😢😢<br><br><a href=""http://www.youtube.com/results?search_query=%23aamale"">#Aamale</a> <a href=""http://www.youtube.com/results?search_query=%23kongrees"">#kongrees</a> <a href=""http://www.youtube.com/results?search_query=%23mawobadi"">#mawobadi</a> sabai <a href=""http://www.youtube.com/results?search_query=%23bhastachari"">#Bhastachari</a> party Hun Sabailai <a href=""http://www.youtube.com/results?search_query=%23bahiskar"">#bahiskar</a> garau 🙏🙏🙏🙏","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Vai suni sakeko kura feri pani repost nagarana hau mujieee  chai vannu.. wait for reply of it 🤣","Neutral/Observation","Systemic/Political Anger","Individualist-Self","Angry/Frustrated"
"I hope this comment finds you well. I&#39;ve been an avid viewer of your YouTube channel&#39;s in-depth story, and I&#39;m continually impressed by the informative and engaging content you produce. Your ability to shed light on complex topics in an easy-to-understand manner is remarkable.
<br>
<br>I&#39;ve been doing extensive research lately on network marketing scams, and it&#39;s alarming to see how many people fall victim to these fraudulent schemes. Given your expertise in creating informative and eye-opening content, I thought it might be a fantastic idea to collaborate on a video that exposes the inner workings of these scams and provides viewers with the knowledge they need to protect themselves
<br> 
<br>Hope your team will go through it.","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"staying in nepal means no progress and cant but a car due to high  prices even with 10 years of saving what is benefit of studying in collages where teachers dont like to teach and whole collage is drowing in politics so 1st choice fly away and never return","Pro-Migration","Economic Necessity","Individualist-Self","Angry/Frustrated"
"And I&#39;m proud of being Nepali 😂😂","Anti-Migration","Patriotism/Love","Collectivist-Nation","Hopeful/Motivated"
"The main motivation of people going out of country is the political instability, if we get a right person on power like Balen, this trend will change on no time. <br>We need to vote to right people.<br>So as a youtuber, what we can do is give a brief about every candidate in next election so everyone knows who is good, who can make better change on the current situation.","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Hopeful/Motivated"
"Neta haru ley bujhna parni kuro ho yo","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"<a href=""http://www.youtube.com/results?search_query=%23correction"">#correction</a> - 3 crore is 30 million<br>you are welcome 🤌","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"Nowday&#39;s teacher&#39;s also recommend us to go out of the country nd not to stay in Nepal, if you&#39;re getting opportunity of good jobs nd higher studies go out of country nd tells us they&#39;re regretting to stay in Nepal. Nd two teachers already left with the their whole family ...","Pro-Migration","Economic Necessity","Collectivist-Family","Despairing/Sad"
"How can 3 million be 3 crore ?? When 1 million is equivalent to 10 lakh ??? Stop giving false information, if you mean we have 3 crore population it should be 30 million not 3 million !!! With such kinda videos you  are making a joke or yourself all over the world and bringing shame to all the Nepalese,shame on you 🤬","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"We are going abroad cuz aru desh ko falako allu nikalna matra ho…lakh lakh halaraw padyo last ma bahira gayaraw allu khanni arabi haru basni ghar banauni…thau ma tyo padni paisa halako vaya aila sauu vayaraw basthya","Neutral/Observation","Economic Necessity","Individualist-Self","Angry/Frustrated"
"And I’m too listening from Maldives 🇲🇻","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=74"">1:14</a> 😢","Neutral/Observation","Economic Necessity","Collectivist-Nation","Despairing/Sad"
"Very nice 🎉","Neutral/Observation","Economic Necessity","Individualist-Self","Hopeful/Motivated"
"As a +2 students who wants to study in my own country and contribute for the nation this makes me feel sad and worried about my own future as well as the nations future 😢","Anti-Migration","Patriotism/Love","Collectivist-Nation","Despairing/Sad"
"Ma +2 sakiye sakda mero dherai sathi haru Australia lai try gare, maile ni gare. Property ko jhamela le process hault vayo. Tespachhi halka jagar lagayera soch banaye ki Nepal mai padhchu baschhu and kei business kholchhu. Ma 20 years ko thiye. Reality ma vanda imagination ma jiudai rahechhu jun kura aafulai nai thaha thiyena. Hillside tira hotel kholchhu ki euta motorcycle showeoom kholchhu, dhukka le paisa kamaihalchhu vanne aasha ra jagar thiyo. Bachelor gardai garda dherai sathi harule bich bich mai Australia gaye. Koi koi chai Japan ni gaye. Antya ma Bachelor ni sakiyo ra aafu sanga 14k ko job bahek kehi thiyena haat ma. Tesle jiwan chalne thiyena. Jiwan ko kura chhodum tyo samaye ko eklo huda ko kharcha ni tarnu garo vayo. Tespachhi aayo corona. Tyaha samma aauda situation yeti garo vaisakeko thiyo ki Nepal basera napugne Australia jana nasakne vayo. So tyo bela ali popularity gain gardai aairaheko desh Croatia ko barema sunna thale. Interesting lagyo. Kei major cvs nachahine ani dherai lagani pani nachahine vayera aafno luck yetai try gare. Ra sabai process pura garera yaha aaye. Aile 2 barsha vayo. Suru ma aauda eklai thiyo company ma. Nyasro lagthyo. Ek barsha jasto vayepachhi company le ajhai Nepali haru lyaune vane pachhi maile aafno aafanta ra chineko sathiharulai kaam offer gare. Aile 4 jana plus 2 jana feri aaudai chhan. Kamai dherai chhaina tara company le sabai subidha diyera 1 lakh jati kamai hunchha. Aafno sathi bhai ra kei aafanta haru ni sangai chhan. So aba yo sabai huda ma Nepal kina farkine? Tei andhakar ra kalpana ma matra dubna? Malai Nepal ko maya chha tara tyo maya le mero jiwan ramro sanga chalchha ra? Hola Nepal ma ni opportunity haru tara ma jasto middle class family ko ghar herne euta matra income source le aafu ani pariwar sukha sanga rakhna sakla ra? Dherai high profile nahola tara Croatia ko salary le mero ghar ko pariwar haru aananda le khusi sanga basna pako chha. Malai future ko chinta chhaina. So ma kina Nepal farkine? Now I understand what do you mean by manchhe haru bidesh gairako chhaina, desh chhodidako chhan. Ma pani tei madhye euta hu. Jay Nepal, mero Nepal jindabaad tara sayed maile Europe lai nai aafno future sumpiye.","Trapped/Regretful","Economic Necessity","Collectivist-Family","Despairing/Sad"
"&quot;Bolna sakne Lai baira pathaide nasakne Lai yehi rakh.&quot; Well said .","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"&quot;One of the penalties for refusing to participate in politics is that you end up being governed by your inferiors.&quot; — Plato","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"Whats more depressing is <br>Even hamro ekdam close one I cannot convince them","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"I feel sad and helpless. I don’t believe in god but god please save my country 😢, ma parye pani mero desh bachi rahosh  🫡","Anti-Migration","Patriotism/Love","Collectivist-Nation","Despairing/Sad"
"Most effective plan is to leave country and settle down there. 😢","Pro-Migration","Economic Necessity","Individualist-Self","Despairing/Sad"
"Nepal ma bauko sampati cha vane matra basne ho ,, natra kta ho, bidesh gaihaal.","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"सर नेपालमा भोक मरीमा लाग्न लाई सकेयो  यस्मा कोसैकोनी ध्यान गको छैन मनिसको एक महिनाको तलबले आफ्नो खर्च टर्दैन झन परिवार कसरी पाल्ने सामान को मुल्य बढेर आकास छुन लाई सकेयो सर यो बारेमा एउटा भिडियो बनाउनु परेयो plz.😥🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏","Neutral/Observation","Economic Necessity","Collectivist-Nation","Despairing/Sad"
"They are not migrating, they are fleeing.","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"nepal ma basnu wa bidesh bata farkera nepal  aaunu nai galti hooo. huge mistake","Pro-Migration","Economic Necessity","Individualist-Self","Angry/Frustrated"
"Me watching from canada😎","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"sir , please make a video on ongoing private school strikes.","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"It is very sad that nepali youngsters are leaving Nepal and Indian are taking nepali citizenship. If it keeps on going on very soon there will be no Nepal in world map😢😢😢😢 you can’t find any happiness in this world. Just find peace inside you. Everything is inside us, don’t just follow money, cars house. Try to find happiness. I realise this recently n finding peace inside me. If 10%of educated ppl r like balen sir, soon nepal will become Switzerland. So stay positive n think positive. Jai balen sir","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Hopeful/Motivated"
"Yo editor dai chai rit ma padnu hunxa pune ma","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Timi po content banayera safal vayeu ta ani kai na hune haru jane ta ho ni bihera","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"class 1 ranker is leaving the country?<br><br>what the fuck I&#39;m doing here?<br><br>it&#39;s suck","Pro-Migration","Economic Necessity","Individualist-Self","Despairing/Sad"
"Its a bitter reality of REPUBLIC Nepal! How far do we go with this reality?? very awful!","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"Daju  nepal ko ancient architect ko bare ma vidio banaununa please 😢<br><br><br>Khathmandau ko ghar haru ko technology haru ko khash gari","Neutral/Observation","Patriotism/Love","Collectivist-Nation","Hopeful/Motivated"
"TU ko ta yo halat xa. AFU jasto manxe lai patto nai na vako uni ma K hola.","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"नेपाल लाई इंडिया बनाउन लागेको हो।","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"payra port bangladesh  le nepal lai deko barema ni bhujaunu na tes bata huney adv and dis \\\","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"नेपालीहरु विदेश गैरका छैनन् देश छोडिरका छन् । Exactly यस्तै भइरको छ ।","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"Everything has it’s time and cycle everyone is going aboard ok who have pr and green card they will remain in aboard and rest of others are mostly going as worker in gulf, malaysia, etc type country most of the country are facing economic issue now days and mostly after some years 50-100 years gulf will be out of oil and they aslo face some economic issue as vast now and our nepali brother will have to back in homeland and then the situation will be more wrost and everyone is not rich to affoard big country mostly today our country is stable in remittances and after some 50-100 years this will be became a disaster even many brother are facings low wages and job issues in gulf countries now days. How many of us will get chance to go usa Canada Australian some lakhs peoples only and mostly students didn’t send that much money like others which create more remittances. Already they took too much loans and stuff some years they will need to settle themselves and after they invest money in foreign for living there. We are so relabing in foreign one day that’s immigration will be stopped or low  and It’s will make a disasters. I am not saying not go to foreign am just saying our government create such a situation for us to go aboard and we also want make a good healthy and wealthy life but we are making a virus inself slowly which will surely create a huge economic revolution in future. If hope new leadears and youths will come in power take nation to another way so we can independence on toursim, electricity and local production.","Neutral/Observation","Economic Necessity","Collectivist-Nation","Pragmatic"
"तपाईं इलामको हो? Nice 👍 to hear your words😊","Neutral/Observation","Patriotism/Love","Collectivist-Nation","Hopeful/Motivated"
"30 million i guess ? Not 3 million 😅<br>1 million bhaneko 10 lakhs right?","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Sir Nepali bol nu garo vako sir lai","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Slowly the people of Nepal are leave country and the country will be empty😢😞","Neutral/Observation","Economic Necessity","Collectivist-Nation","Despairing/Sad"
"If you cant change the country,chang The Country.<br>Age average ma 65+ huncha, 20 barsa padiyo yeta uti vayo gayo, (ma chai yehi bachelor gardai ch),  Padisakey pachi ne life set huney khalko job chai unless you are corrupted, lifestyle ekdam low cha, yei mehenat uta garda thikai lifestyle huncha vaney kasley desh desh vanera bascha, job ko lagi ali ramro ma chirna power chaincha ki Highly Deserving huna paryo. Change the country is for us, kati desh vanera basnu. Engineering sakesi gaiyincha bidesh baru.","Pro-Migration","Economic Necessity","Individualist-Self","Pragmatic"
"Voice ta suneko thia..aba face pani dekhna paiyo..katainbatoma vetda kura garamla vai sanga..😎👍","Neutral/Observation","Economic Necessity","Individualist-Self","Hopeful/Motivated"
"its all beacaue of indian who are not giving first preference to nepalese... they are buying everything from india and don´t use nepalese product...i dont see indians in bhat bhateni...","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Thyakai vagi raheko xa chor daka lakhetna nasakne ani surakxya ma bachna chahane hami nai hau","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"3 crore would equal to 30 million and thank you for the statistical data about other facts","Neutral/Observation","Economic Necessity","Collectivist-Nation","Pragmatic"
"The government must stop, specially students.","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"Tension banai deyo yrr kura sunera nai😢","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"Jaba ma sano thi taba lagthyo afno desh chodera janchan ma mero desh lai maya grxu but jaba thulo vaiyo jaba responsibility aaiyo jaba future ayo ani nepal ma k hi hun skena ani aba bidesh jana man lagdai aayo 😢😢","Pro-Migration","Economic Necessity","Individualist-Self","Despairing/Sad"
"raja la janata marako thya neta haru la desh na khaideya worst bhayo Nepal Maobadi Congress Yamale ko raaj bata","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Nothing wrong with Nepali going Bahira .. Not even big deal.. <br>Nepal need enough capitalism, skilled resource, knowledge, good culture to compete with the rest of the world .. world of diasporas are common culture around the world, this is how generations perceives new world, it’s not us then upcoming generation.. we are already so much late behind first world countries .. but why would anyone think his stupid talks going to pay that cost … <br>Important issues supposed to be how to bring skilled manpower in Nepal, prosper business opportunities, beauty and culture of Nepal .. etc..","Pro-Migration","Economic Necessity","Collectivist-Nation","Pragmatic"
"A great personality","Neutral/Observation","Economic Necessity","Individualist-Self","Hopeful/Motivated"
"This is true, thanks for this voice","Neutral/Observation","Economic Necessity","Collectivist-Nation","Hopeful/Motivated"
"But, does this video content gonna work to specific person for change?    NEVER","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"k vannu ra dai <br>ya neta vanda pani janta khattam ho","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Nepal ma basne vaneko 3 jana matra ho.<br>1  Sargari job garera ghuss khana manche.<br>2 Poltical power misuse garera business garne manche.<br>3. Bau ko Tanna paisa vayera basi basi khana pugne manche.<br><br>Baki tapai hami nepali vaneko dhilo chado desh choderai jane ho. There is 0 opportunity and 101 challenged in nepal if you want to do anything good.","Pro-Migration","Systemic/Political Anger","Individualist-Self","Angry/Frustrated"
"Fun ak side tira xa rw geyan ak tira xa nepal ma yesto content banauna yt chanala 5/6 wota matrai <a href=""http://hola.love/"">hola.love</a> you bro from sankhawasava.keep it up✌️","Neutral/Observation","Economic Necessity","Collectivist-Nation","Hopeful/Motivated"
"Abo India ma pani estai cha halat","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"Thanku for your hard work and kind of information <br><br>aru kai help garna naskeyni hajur ko channel ma ayako Ad full time watch gardinxu ❤️<br>thanks again","Neutral/Observation","Economic Necessity","Collectivist-Nation","Hopeful/Motivated"
"We are youths have to speak out of podcast as well same kind of advocate","Anti-Migration","Systemic/Political Anger","Collectivist-Nation","Hopeful/Motivated"
"Me who is watching from bides 😂","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Wow! it&#39;s one of a sucessful achievement of Gaadtantra Nepal.","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"This is sad 😔😔😔😔.<br>Garne k ta ?","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"3 Million is not 3 crore, I don&#39;t know how you&#39;ll correct this lol.","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"3 million = 30 lakh.<br>How 56 lakh are outside.<br>Podcast ho bhandai ma j ni bolidine","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Durbar hatyakanda research garum na bro haru , i can trust about your homework","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Pragmatic"
"NO JOB OPPORTUNITY !!!!!","Neutral/Observation","Economic Necessity","Collectivist-Nation","Angry/Frustrated"
"Even if some decided to stay in Nepal after their studies,pursued career in Nepal are leaving as there is very less chances of growth as &quot;ramro manche haina hamro manche&quot; are chosen.","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"Manxe bides gaye ra xaena.desh xodi raxa hits hard😢","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"It&#39;s 30 million.","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"Nepal has no future at all nepal is only for politicians, super rich ppl and gundas. Hardworking intelligent all are gone.  Nepal is hopeless","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Despairing/Sad"
"Nepal will get merged with india after 20 years <br>So better settle yourself in abroad for your better and secure life aaile dekhi nai <br> <br>Madwari ra bihari le varinxa yo desh <br>Janmat sangraha and then rest will be history","Pro-Migration","Systemic/Political Anger","Individualist-Self","Despairing/Sad"
"Sad reality","Neutral/Observation","Economic Necessity","Collectivist-Nation","Despairing/Sad"
"<a href=""https://www.youtube.com/watch?v=_t2MyMVqddw&amp;t=85"">1:25</a> what was that","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
"ma ta janchu mauka paye. Nepal ko gusiya prabridi le garda sab bigrisakyo","Pro-Migration","Systemic/Political Anger","Individualist-Self","Angry/Frustrated"
"Ajhai pani chor haru lai vot dini rw Nepali haru le...","Neutral/Observation","Systemic/Political Anger","Collectivist-Nation","Angry/Frustrated"
"10% intellectual hoina pariwarik ramro batabarn vako haru chai vannu milxa","Neutral/Observation","Economic Necessity","Collectivist-Nation","Pragmatic"
"dai SAT ma 1400 kasari katauney euta video banaidina paryo","Neutral/Observation","Economic Necessity","Individualist-Self","Pragmatic"
