gen_id,comment,intent,primary_driver,value_orientation,affect,is_no_persona,notes
g0082,"Simple math ho — yahaa opportunity kam cha, baira cha. Manche rational decision linchan, emotional narrative dinu pardaina yesma. Kaam paisa future — bas tyati ho.",Pro-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic,0,
g0080,"Remittance le desh chaliracha bhanera youth lai guilty feel garaudaina hola. Manche afno life better banauna kaam garcha, desh chalayo ki chalena tyo byproduct ho, main goal haina.",Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,0,
g0001,"देशको माया त आफ्नो ठाउँमा छ, तर practical भएर हेर्दा career र financial stability को लागि विदेश जानु नै sensible choice हो for now. आफ्नो र family को future राम्रो हुन्छ भने बाहिर गएर opportunity grab गर्नु नै smart move हो।",Pro-Migration,Economic Necessity,Collectivist-Family,Hopeful/Motivated,0,
g0081,"Congrats bro 🎉 paisa kamau, plan banaera jau, aafno kura aafai manage gara. Baakilai dherai explain garnu pardaina, timi lai k suit huncha timi jaandachau.",Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,0,
g0019,"हाम्रो देश हामी युवाहरूले नै बनाउने हो, अर्कैको देशमा पसिना बगाएर के पाउँछौ र? सुरुआतमा अलि गाह्रो होला तर आफ्नै माटोमा सानो भए पनि केही गरौँ, नेपालको भविष्य हाम्रै हातमा छ। जय नेपाल! 🇳🇵",Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
g0070,"रोजगारी छैन, भ्रष्टाचार छ, पहुँचबिना अवसर छैन, अनि नेताहरूलाई युवाको भविष्यभन्दा चुनाव र कुर्सी प्यारो छ। युवा किन नभागून् त?",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
g0057,"Visa पाएकोमा खुसी छु, तर सम्भव भए केही समयपछि आफ्नै देशमा फर्केर केही गर्ने सोच पनि राख है। नेपाललाई तिमीहरूजस्तै युवाको आवश्यकता छ।",Anti-Migration,Patriotism/Love,Collectivist-Nation,Despairing/Sad,0,
g0077,"Migration rokinna unless Nepal le opportunities dina sakcha. But honestly, yo global era ma abroad experience linu is actually good for individuals. Desh ko future chai government le sochnu parcha, youth le afno future sochirachan — ani tyo galat chaina.",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0107,"Selfish ta tyo neta ho jasle 30 barsha raaj garyo ani ek ota hospital banaena!! Ama baba chhodera jaane le at least paisa pathaucha ghar ma. Tara neta le ta desh mai basera desh lutcha. Don't blame the youth, blame the system that made them choose between their dreams and their parents. Yo guilt trip dinu bhanda neta haru lai sodhnu — kina jaanu paryo hamra baccha haru lai?? 😡",Pro-Migration,Systemic/Political Anger,Collectivist-Family,Angry/Frustrated,0,
g0043,"आफ्नो future र peace of mind जहाँ राम्रो हुन्छ, त्यतै जाने हो, नेपालमै बस्नुपर्छ भन्ने rule छैन।",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,0,
g0013,"Nepal ma bishwas garera time waste garnu vanda bidesh jannu nai best option ho bhai. Desh ma jati mehnat gare ni kehi huney wala chaina, kam se kam Gulf ya West gaye pachhi dhanga ko kamaai ra future ta hunchha. Economic common sense use gara, apply gari hala!",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
g0037,मेरो विचारमा अहिले career र financial growth को लागि abroad जानु practical choice हो। यहाँ opportunity र income limited छ भने बाहिर गएर आफ्नो future strong बनाउनु गलत होइन।,Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,0,
g0065,"Selfish हो जस्तो लाग्दैन, परिवारकै लागि त धेरैजना विदेश जान्छन्। तर पैसा कमाउन गए पनि बाबुआमासँग बिताउने समय फर्केर आउँदैन भन्ने सोच्दा मन दुख्छ।",Pro-Migration,Economic Necessity,Collectivist-Family,Despairing/Sad,0,
g0027,"Sadhai aaphno khayal rakhnu hai sathi. Aama buwa ko sapana ra ghar ko jimmawari puraa garna jadaichhas, tara aaphno health bhanda thulo kura kehi hoina... bidesh ko dukha maile najeek bata dekheko chhu, bas aafulai samhalera kaam garnu, God bless you bro. 😔🤲",Pro-Migration,Family Obligation,Collectivist-Family,Despairing/Sad,0,
g0023,"आमाबुवालाई उमेर ढल्केको बेला एक्लै छाडेर विदेशिनु मलाई त कता कता मनले मान्दैन साथी। सुरुमा दुःख भए पनि यहीँ बसेर परिवारको साथमा बसेर गरेको मिहिनेतको खुसी र सन्तुष्टि अर्कै हुन्छ, देश र परिवार दुवैलाई हाम्रो खाँचो छ! 🇳🇵❤️",Anti-Migration,Family Obligation,Collectivist-Nation,Despairing/Sad,0,
g0032,"remittance को गफ दिएर यिनै नेताहरूले देश बेचेका हुन्! युवा विदेश पठाएर उताबाट रगत-पसिनाको पैसा ल्याउने, अनि यता भ्रष्टहरूले पजेरो चढ्ने? देश रित्याएर नेता मोटाउने यो नाटक बन्द हुनुपर्छ, अब यतै बसेर यी चोरहरूको हिसाबकिताब माग्नुपर्छ!",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
g0048,"Migration यस्तै बढिरह्यो भने नेपालमा young workforce कम हुन्छ, तर बाहिरबाट पैसा र experience पनि आउँछ। अन्ततः individual ले आफ्नो लागि best option रोज्ने हो।",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,0,
g0101,"Selfish? Selfish ta yo system ho जसले हामीलाई यस्तो choice दिन्छ — या त आफ्नो life sacrifice गर, या बुढा आमाबुबालाई एक्लै छोड। Duitai side ma dukha cha. जो जान्छ, उसलाई guilt खान्छ, जो बस्छ, उसलाई poverty खान्छ।",Trapped/Regretful,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
g0016,"Yaha k chha ra basna ko lagi? Neta haru ko bhashan ra corruption matrai chha, job ra kamai ko jillai nai chaina. Jati sasto katha vaneni money and career security bidesh mai chha, tyo sabai le bujhisake so jana khosiyeka hun.",Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad,0,
g0045,"Visa पाएछौ भने जाऊ, राम्रो कमाऊ, आफ्नो future secure गर—मन लागे फर्किने, नलागे नफर्किने।",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0089,"Selfish haina bro, sacrifice ho yo. Ama baba ko lagi nai ta jancha ni — uniharu lai ramro life dina. Yaha basera ama lai medicine kinna paisa chhaina vaney tyo chai selfish haina? Think about it. 🙏",Pro-Migration,Family Obligation,Collectivist-Family,Pragmatic,0,
g0090,"Sochda dukha lagcha tara reality yei ho — jaba samma Nepal ma opportunity chhaina, youth jairahancha. Government lai farak pardaina, hamro generation le aru desh banaidirachau. Sab jana kamayera farkera aaye vane Nepal ramro huncha natra ta khali budha buda ko desh huncha. 😔",Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad,0,
g0010,"Simple kura ho—yo desh ma jatibhai gare pani no peace of mind and no freedom. Aafno life ra career ma thikai sanga shanti pauna bidesh nai ramro option dekhinchha. Jaha aafulai thik lagchha tyahi jane ho, esma dherai tension line kurai chhaina.",Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,0,
g0034,"देशमा रोजगार छैन, उद्यमशीलताको वातावरनै छैन, अनि पहुँच हुने चोरहरूको मात्रै काम बन्छ! पढेलेखेका डिग्री समातेर खाडीको ढोका चहार्न बाध्य छन्, किनकि यी भ्रष्ट नेताहरूलाई आफ्नो कुर्ची जोगाउनेबाहेक अरू कुनै मतलब नै छैन। youth exodus को मुख्य कारण नै यिनै ८० वर्षे नेताहरू र यिनको गन्हाउने राजनीति हो!",Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
g0056,"Remittance ले अर्थतन्त्र धानेको छ, तर देशको भविष्य नै युवाहरु विदेश पठाएर चलाउनु दीर्घकालीन समाधान होइन।",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Pragmatic,0,
g0104,"Remittance ma desh chalcha re 😂😂 laj pani chaina bhanna. Neta haru chahi Switzerland ma ghar banauchan, ani hamra dai bhai haru Qatar ko gham ma marcha. Yo economy hoina, yo exploitation ho. Sarkar lai remittance ko aadat lagyo, kaam garna ta pardaina ni ab.",Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
g0029,"Selfish kasari bhanaunu yar, hamile aaphno khushi ra sapana sabai marera ta gairakheka chhaam. Aama buwa ko aushadhi, ghar ko rin, ra uniharu ko bhabishya ko lagi nai aaphno man marera jana pareko ho. Na chhodna sakinchha na ta yaha basera kehni pura hunchha... yo ta selfish hoina, euta chhoro/chhori ko sab bhanda thulo pyaro abhisap ra badiyata ho. 💔😔",Trapped/Regretful,Family Obligation,Collectivist-Family,Despairing/Sad,0,
g0041,"Parents छोडेर जानु emotionally गाह्रो हुन्छ, तर त्यसलाई selfish भन्न मिल्दैन। आफू financially stable भएर परिवारलाई राम्रो support गर्न सकिन्छ भने abroad जानु practical decision हो।",Pro-Migration,Family Obligation,Collectivist-Family,Pragmatic,0,
g0006,"Market logic simple छ, नेपालले decent salary र merit-based growth नदिएसम्म migration भइरहन्छ। Long run मा मान्छेहरूले बाहिरबाट capital, skill र global experience लिएर नेपालमै reinvest गर्ने सम्भावना हुन्छ, त्यसैले यसलाई negative भन्दा पनि market adjustment को रूपमा हेर्नुपर्छ।",Pro-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
g0054,"Migration यस्तै चलिरह्यो भने नेपालमा युवा जनशक्ति घट्छ, तर विदेशबाट आएको पैसा र investment ले economy केही हदसम्म चलिरहन्छ।",Neutral/Observation,Economic Necessity,Collectivist-Nation,Pragmatic,0,
g0108,"यसरी नै भयो भने १० बर्ष पछि Nepal ma budha budhi matra bachcha. Khet bari banjho, gaau khali, ani neta haru Kathmandu ma AC room ma basera ""bikas"" ko kura garchan 🤡🤡 Migration roknu cha bhane opportunity deu, natak hoina. Tara koslai chaso cha ra? Neta ko chora bidesh padhcha scholarship ma, hamro chora bidesh jaancha jyaan jokhim ma. Yahi ho ""New Nepal"" 👏",Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
g0040,"मुख्य कारण simple छ—नेपालमा राम्रो salary, career growth र opportunities limited छन्। Young people आफ्नो time र potential को better return खोजिरहेका छन्, त्यसैले abroad जानु logical देखिन्छ।",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0036,"यसरी नै युवा बाहिरिने हो भने नेपाल यी बुढा नेताहरूको एउटा ठूलो वृद्धाश्रम मात्रै बन्नेछ! भोलि गाउँमा मलामी जाने मान्छे समेत हुने छैनन्, अनि यी चोरहरू रित्तो देशमा कसलाई ढाँटेर मोज गर्छन्? यही स्थिति अन्त्य गर्न पनि हामीले यतै बसेर यो डकैत प्रणाली फ्याँक्नै पर्छ!",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
g0017,"Selfish hoina bhai, sensible decision ho. Yaha basera berozgar bhayera pachaas hazar ma thichine ki bidesh gayera afno ra pariwar ko future secure garne? Pasa pathayera aama-buba lai ramro life dinu nai asal kartabya ho, emotional bhaera yaha time barbad garnu ko kehi meaning chaina.",Pro-Migration,Economic Necessity,Collectivist-Family,Angry/Frustrated,0,
g0079,"Jaha ramro opportunity cha tyaha jane, it's that simple. Basera kei hunchha ki hudaina tyo ta afai le decide garnu parcha ni. Everyone's situation is different.",Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,0,
g0035,"आमाबुवालाई छोडेर विदेश जानु युवाको स्वार्थ होइन, यो भ्रष्ट व्यवस्थाले निम्त्याएको बाध्यता हो! बूढा आमाबाबुलाई गाउँमा एक्लै छाडेर मरुभूमिमा पसिना बगाउन कसलाई रहर हुन्छ र? स्वार्थी त ती नेताहरू हुन् जसले देशका युवालाई पठाएर तिनकै remittance मा आफ्नो कुर्सी र मोजमस्ती जोगाएका छन्!",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
g0067,"विदेश जानु नराम्रो होइन, तर देश चलाउनेहरूकै कारण सबै युवा भाग्नुपर्ने अवस्था चाहिँ लाजमर्दो हो। नेपालमै बसेर केही गरौँ भन्ने वातावरण नै छैन, अनि दोष युवालाई दिने?",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
g0008,"Desh ko economy remittance le chalcha ki k le chalcha, tyo sarkar ko headache ho, mero hoina. Aafno peace ra personal freedom jaha milcha tyahi jane ho. Afu khusi ra shanta bhaera basna paunu nai sab bhanda thulo kura ho.",Neutral/Observation,Systemic/Political Anger,Individualist-Self,Pragmatic,0,
g0044,Remittance ले economy धानेको छ भने पनि युवाले आफ्नो life sacrifice गर्नैपर्छ भन्ने होइन।,Anti-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0066,"यस्तै चलिरह्यो भने गाउँघर खाली हुँदै जानेछन्, अनि देश बनाउने उमेरका मान्छे नै बाहिर हुनेछन्। एक दिन आफ्नै देशमा अवसर नपाएकोमा हामी सबैले पछुताउनुपर्ने हो कि जस्तो लाग्छ।",Trapped/Regretful,Economic Necessity,Individualist-Self,Despairing/Sad,0,
g0073,"Honestly, Nepal ma opportunities nai chaina bhane basera k garni? Abroad jane is not running away, it's being smart about your future. Paisa kamayera skill sikera aauney ho, that's the plan.",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0028,"Afno desh ma payeko padhai ra dakhila le mukha dhupna pani pugdain, garo chha yar. Neta haru ko neta-giri matra dekhinchha, na bhalai job srijana chha na ta garne bhabishya nischit. Aama-buwa ko bimar hunda upachar garna paane ra sora-sarwa loan tirna sakne aamdani nai chaina bhane, yo desh ma basera k garnu? Badiyata le nai aafno manche ra mato chhodna pareko ho. 💔",Pro-Migration,Economic Necessity,Collectivist-Family,Despairing/Sad,0,
g0020,Remittance ले देश त चल्या छ तर कति समय अरूको भर पर्ने? युवाहरू नै विदेश पलायन भइरहे देशको स्थायी विकास कहिल्यै हुँदैन। Remittance भन्दा बढी हाम्रो युवाहरूको सोच र शक्ति यहीँ प्रयोग भयो भने नेपाल पछि होइन अगाडि बढ्छ! 🇳🇵💪,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
g0091,"बस्नुपर्छ दाजुभाइ हो, आफ्नो देश आफैले बनाउनु पर्छ। सबै जाने हो भने नेपाल कसले बनाउने? 🇳🇵❤️",Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
g0106,"किन जान्छन् भन्ने कुरा सबैलाई थाहा छ — नेताहरुले देश खाइसके!! Padhai sakyo, job chaina. Job cha bhane source chahiyo. Source cha bhane afno manchhe chahiyo. Afno manchhe cha bhane party ma hunu parcha. K ho yo cycle?? Youth lai option nai chhodeko chaina यो system ले। Frustrated भएर जान्छन्, choice le hoina।",Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
g0026,"Desh ko economy remittance le dhaneko chha bhandai ma hamro pain dekhidaena yar. Youth haru sab bahira gayerai desh chalchha bhane yo sarkar le k gareko chha ra? Aama buwa lai ghar ma eklai chhodera bidesh ko khadi ma pasina bagauna kaslai man hunchha ra, sabai badiyata ho. 😔",Pro-Migration,Systemic/Political Anger,Collectivist-Family,Despairing/Sad,0,
g0069,"Visa पाएकोमा खुसी छु, तर यो खुसीसँगै एउटा कुरा नबिर्स—तिमीलाई यहाँ अवसर नदिएको यही सिस्टम हो। कमाएर फर्केर आएर नेपालमै केही बनाउने सोच राख है।",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated,0,
g0050,Remittance ले देश धानिरहेको छ भने युवाले विदेश गएर कमाउनु नराम्रो कसरी भयो र?,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0014,"Remittance le nai ta desh thiyeko chha, natra yaha bidesh najani arule ke khayeras basne? Youth haru bidesh gayera nai afno ani gharko lifestyle sudhriyeko chha. Yaha political bhashan sunera bhabishya barbad garnu bhanda opportunitiy bhako thau ma janus, straight and simple economic common sense ho.",Pro-Migration,Systemic/Political Anger,Collectivist-Family,Angry/Frustrated,0,
g0025,"Rahar le bidesh jane kohi hudaina, bas badiyata ho. Nepal mai aama buwa sanga basera kehi garne sapana thyo, tara ghar ko loan ra jimmawari le garda afno khushi marera udna parne bho... Na yaha basna sakiyo na jana nai man chha. 💔",Trapped/Regretful,Family Obligation,Individualist-Self,Despairing/Sad,0,
g0004,"Simple kura ho guys, यहाँ आफ्नो मेहनतको ना त proper return छ ना त clear career progression. विदेशमा effort हाल्दा financial return र personal growth दुवै predictable हुन्छ, त्यसैले practical mindset भएको youth ले आफ्नो time र skills सहि ठाउँमा invest गर्नु completely logical हो।",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0018,"Desh ko future jasto bhaye ni aafno ra pariwar ko future dekhiyo bhaney pugyo bro. Youth sab bidesh gaera remittance le nai gadhiko chakka chalya chha, natra yaha basera guff matrai pelera bhabishya banne wala chaina. Migration is the only realistic way to survive and grow.",Pro-Migration,Economic Necessity,Collectivist-Family,Hopeful/Motivated,0,
g0039,"Congrats bro! मेहनत गरेर skill र पैसा दुवै build गर, सकेसम्म save र invest गर। Gulf लाई temporary stepping stone बनाएर future मा अझ राम्रो opportunity खोज्नु।",Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,0,
g0009,"All the best bro! Bidesh ma jatikai kam gare pani aafno health ra mental peace lai prathamikta deu. Jaha ramro opportunity cha tyahi jane ho, aruko kura sunera aafno decision ma doubt nagarnu.",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0085,"Basna ko lagi k chha yaha bro? Minimum wage 15 hajar ma ghar chalcha? Bahira jau, kamau, ani farkera invest gara — yei ho smartest move. 🇳🇵💯",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0007,"Nepal basera dukh paunu bhanda bidesh gayera afno freedom ra peace of mind khojnu dherai ramro ho. Jaha safe ra thik lagchha tyahi basne ho, khasai aruko kura sunna pardaina. Life afno ho, decision pani afnai hunuparchha.",Pro-Migration,Systemic/Political Anger,Individualist-Self,Hopeful/Motivated,0,
g0071,"आमाबुबा छोडेर जानु सजिलो हुँदैन, तर परिवार पाल्न र आफ्नो भविष्य बनाउन जानुपर्ने अवस्था आउनु selfish होइन। यस्तो अवस्था बनाउने सिस्टमलाई प्रश्न गर्नुपर्छ।",Pro-Migration,Systemic/Political Anger,Collectivist-Family,Angry/Frustrated,0,
g0095,Selfish bhanna mandaina tara aama buba lai chhodera janu kati garo hola sochnu ta — ani paisa pathayo bhane pani time ta firta aaudaina ni. आफ्नो माटोमा बसेर आमाबुबाको छेउमा बसेर कमाउन सक्यो भने त्यो नै सबभन्दा ठूलो कुरा हो।,Neutral/Observation,Economic Necessity,Collectivist-Family,Despairing/Sad,0,
g0100,"किन जान्छन् भन्ने? किनभने यहाँ कुनै future देख्दैनन्। मैले पनि आफ्नो सपना मारेर family lai sustain गर्नको लागि बाहिर जानुपर्यो। Passion follow garne luxury ta hamro lagi chaina, pahila pet palne kura garnu parcha.",Pro-Migration,Economic Necessity,Collectivist-Family,Hopeful/Motivated,0,
g0055,युवाहरु विदेश जानुभन्दा यहीँ बसेर देश बनाउनेतिर लाग्नुपर्छ जस्तो लाग्छ। नेपालमा सम्भावना छैन भन्ने सोच बदल्न जरुरी छ।,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
g0051,"Visa लाग्यो भने ढिला नगर, मेहनत गर, पैसा कमाऊ र आफ्नो future बनाऊ।",Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,0,
g0074,"Remittance le economy chaliracha bhanera youth lai blame garnu hudaina, appreciate garnu paryo. Hami afno career ko lagi rational decision liracha, desh lai pani help bhairako cha indirectly. Win-win situation ho yo ta.",Pro-Migration,Economic Necessity,Collectivist-Nation,Hopeful/Motivated,0,
g0047,"Selfish भन्न मिल्दैन, आफ्नो life को decision आफैंले लिनुपर्छ। Parents को care गर्न सकिन्छ, देशमै बसेर मात्र होइन।",Pro-Migration,Family Obligation,Collectivist-Family,Pragmatic,0,
g0098,"Remittance le desh chalcha bhanera garba garne? Hamro raktale chaleko desh ho yo. Ghar ma budi budo aama buba chhoderaw janu parcha ani tyo paisa lai ""economy"" bhanchan. Dukha lagcha sunera.",Trapped/Regretful,Systemic/Political Anger,Collectivist-Family,Despairing/Sad,0,
g0062,"Remittance ले घर चलिरहेको छ, देशको economy पनि धानिरहेको छ, तर यसरी आफ्नै युवाहरू बाहिरिनु देख्दा दुःख लाग्छ। देशमै अवसर भएको भए हामीलाई परिवार छोडेर जानुपर्ने थिएन।",Trapped/Regretful,Systemic/Political Anger,Individualist-Self,Despairing/Sad,0,
g0105,"Bhai, Gulf ma k cha ra? Tyo gham ma 12 ghanta kaam garna jaane ho? Passport khosne company lai paisa tirera jaane ho?? Ma ta bhandina ""najau"" but esto desh banaidiye ki timi janu naparney, tyo chai hamra neta harule kahilyai sochdainan. Safe basnu bro, tara yaad rakhnu — timi janchu bhanera yiniharu haschan. 💔",Anti-Migration,Systemic/Political Anger,Individualist-Self,Despairing/Sad,0,
g0086,"Remittance le desh chaliracha vanera sab lai thaha cha but government le kei garcha ra hamro lagi? 😂 Youth bahira najaney vaye Nepal ko economy ek din ma collapse huncha bro, tyo reality ho.",Pro-Migration,Systemic/Political Anger,Collectivist-Nation,Pragmatic,0,
g0042,"Migration यही rate मा चलिरह्यो भने Nepal मा skilled र young workforce झन् कम हुन सक्छ। तर abroad बाट पैसा, skills र experience लिएर फर्किने culture भयो भने यही migration लाई future investment मा बदल्न सकिन्छ।",Pro-Migration,Economic Necessity,Collectivist-Nation,Hopeful/Motivated,0,
g0059,"विदेश जानु मात्र selfish हो भन्न मिल्दैन, परिवारको जिम्मेवारी पनि हुन्छ। तर आमाबुबालाई छोडेर जानु नै सफलताको एकमात्र बाटो हो भन्ने सोचचाहिँ बदल्नुपर्छ।",Anti-Migration,Family Obligation,Collectivist-Family,Pragmatic,0,
g0049,"अवसर र कमाइ जहाँ छ, त्यहीँ जानुपर्छ—अहिलेको अवस्थामा विदेश जानु नै practical choice हो।",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0094,"Government le youth lai opportunity dina sakena, tei bhayera jancha ni manchhe. Tara hami sab bhagera gayo bhane chor neta haru lai jitaune kasle? Change hami nai bhaunu parcha, bhai. 🇳🇵",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
g0058,"रोजगारीको कमी, कम तलब, राजनीतिक अस्थिरता र भविष्यप्रतिको निराशाले धेरै युवा बाहिरिएका हुन्। अवसर यहीँ सिर्जना गर्न सके धेरै जना बस्न चाहन्छन्।",Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Pragmatic,0,
g0076,"Simple answer — Nepal ma pay scale extremely low cha, cost of living badhdai cha, ani growth opportunities limited cha. Koi ni bina reason desh chaddaina, people are just making logical decisions for their own life. Yehi reality ho.",Pro-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic,0,
g0033,"बधाई छ साथी, तर खुसी भन्दा बढी यी चोर नेताहरूप्रति रीस उठेको छ! यिनै भ्रष्टहरूले गर्दा तँ जस्तो सक्षम साथीले देश छोड्नुपर्‍यो। उता गएर आफ्नो राम्रो ख्याल राख, यता यी बुढा नेताहरूको सातो लिन म यहीँ छु!",Anti-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
g0102,Nepal ma budha budhi ra sana sana baccha matra bachlan. Youth sabbai bahira. Kaslai farak parcha ra? Neta haru lai ta remittance aayo bhane pugyo. Hamro generation le sacrifice garyo tara next generation ko lagi kehi banauna sakena bhane… sochda dar lagcha.,Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad,0,
g0060,सबै युवा बाहिरिँदै गए नेपालमा दक्ष जनशक्ति र नेतृत्वको ठूलो अभाव हुन्छ। तर हामीले यहीँ अवसर सिर्जना गर्न सक्यौं भने आफ्नै पुस्ताले नेपाललाई धेरै राम्रो बनाउन सक्छ।,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
g0064,"रहरले मात्र होइन, परिवारको जिम्मेवारीले पनि धेरैलाई धकेलिरहेको छ। नेपालमा मेहनत गरेर पनि भविष्य सुरक्षित हुन्छ भन्ने भरोसा नहुँदा आफ्नै मान्छे छोडेर जानुपर्छ।",Pro-Migration,Family Obligation,Collectivist-Family,Pragmatic,0,
